,TPM,LS,CI
rolling_nm_scale0.6_nslice2_v1.7_10yrs,0.9796097452905919,0.19175078269028245,0.5472214656425407
ddf_dither0.70_v1.7_10yrs,0.8748240162341072,0.810319438565164,0.5503926666981876
rolling_scale0.9_nslice3_v1.7_10yrs,0.6773047267378886,0.11573932205960524,0.5744352212168375
ddf_dither1.00_v1.7_10yrs,0.9977099155718393,0.31013129685659524,0.5357868983299973
ddf_dither0.05_v1.7_10yrs,0.8584862958629194,0.27659638958507204,0.5549903214211649
euclid_dither2_v1.7_10yrs,0.929256418112983,0.41559756755499944,0.5726087769015146
ddf_dither0.00_v1.7_10yrs,0.8635670421061294,0.2737602296487726,0.5575171191217674
twi_pairs_mixed_repeat_v1.7_10yrs,0.7126719315200177,0.128441073144751,0.5705762684115282
u_long_ms_60_v1.7_10yrs,0.8356747703431965,0.1018609290813005,0.5266507098470378
rolling_nm_scale0.9_nslice3_v1.7_10yrs,0.9672231554762577,0.3531630362890909,0.5318139251258258
rolling_scale0.6_nslice2_v1.7_10yrs,0.6677924257621228,0.7043839814652352,0.5770952942565227
twi_neo_pattern1_v1.7_10yrs,0.771583977096363,0.2920828866762102,0.5376778757680993
cadence_drive_gl30v1.7_10yrs,1.0,0.4407329406123891,0.5464619432724684
twi_neo_pattern4_v1.7_10yrs,0.8368948081599556,0.580959619016299,0.5619287813394256
twi_pairs_mixed_v1.7_10yrs,0.7338359086403973,0.16074422074988348,0.5646921441783167
cadence_drive_gl200v1.7_10yrs,0.815954226773985,0.13604515529839417,0.6406261015121617
ddf_dither2.00_v1.7_10yrs,0.8846810988773582,0.43539234042609803,0.5638073170206461
ddf_dither1.50_v1.7_10yrs,0.8810231149537581,0.23010641140936464,0.5541030456658671
twi_neo_pattern6_v1.7_10yrs,0.820586090717316,0.13840475398208213,0.5552764747131276
rolling_scale0.8_nslice3_v1.7_10yrs,0.6773429628033194,0.10374790417285616,0.5704124288370177
u_long_ms_40_v1.7_10yrs,0.867273971121823,0.3983209991573773,0.5750752313876301
rolling_nm_scale1.0_nslice3_v1.7_10yrs,0.979511854662259,0.22436085875133935,0.5359238331911119
baseline_nexp2_v1.7_10yrs,0.8748240162341072,0.810319438565164,0.5507593798446325
rolling_scale0.2_nslice3_v1.7_10yrs,0.6730987706521895,0.1886599108466924,0.5725620435891364
twi_neo_pattern3_v1.7_10yrs,0.8833429735158237,0.35839243510036783,0.5600671306619155
rolling_scale0.4_nslice3_v1.7_10yrs,0.6704840751646861,1.0,0.5771263863535893
u_long_ms_30_v1.7_10yrs,0.9332782290386363,0.13328686272234364,0.5901907287853186
rolling_nm_scale0.8_nslice3_v1.7_10yrs,0.9753983595862776,0.7381192662229704,0.5384810707656861
cadence_drive_gl100_gcbv1.7_10yrs,0.8650504481148555,0.3113741385802205,0.5631825413774013
euclid_dither5_v1.7_10yrs,0.9180662879691684,0.566143004253489,0.5545738638860264
rolling_nm_scale0.2_nslice3_v1.7_10yrs,0.9643010843521074,0.17050330285624024,0.5393770568800981
rolling_scale1.0_nslice3_v1.7_10yrs,0.6763170230318671,0.2090634445520776,0.5745310861755732
rolling_nm_scale0.4_nslice3_v1.7_10yrs,0.9740451673647307,0.2096036221981736,0.5384300964578496
footprint_0_v1.710yrs,0.7290167037168148,0.9057560229540722,0.5035357437355871
rolling_nm_scale0.2_nslice2_v1.7_10yrs,0.9584096665425449,0.2797962716769356,0.5501753890426309
rolling_scale1.0_nslice2_v1.7_10yrs,0.6718583807426326,0.19747856043492668,0.5837575074413771
cadence_drive_gl100v1.7_10yrs,0.8543210873235279,0.33094085593506306,0.5465377446121353
euclid_dither1_v1.7_10yrs,0.8748240162341072,0.810319438565164,0.5504853018306669
footprint_1_v1.710yrs,0.7496926427355184,0.5228442295720639,0.5143904480014133
rolling_nm_scale0.4_nslice2_v1.7_10yrs,0.9555623295507333,0.22677390826245686,0.5479060836159969
rolling_nm_scale0.8_nslice2_v1.7_10yrs,0.9578244208197273,0.26143648507842615,0.5377110417634583
footprint_3_v1.710yrs,0.7234419140430207,0.17770455773113766,0.5243437937378771
footprint_2_v1.710yrs,0.7554968626712172,0.18681387788203652,0.5228883890773361
euclid_dither4_v1.7_10yrs,0.8858164933806064,0.21409225438924792,0.5384237890246083
ddf_dither0.30_v1.7_10yrs,0.8886742975948733,0.2730852367656106,0.5382566925338934
footprint_7_v1.710yrs,0.732035132920113,0.10367949888987839,0.5374172706210648
rolling_nm_scale1.0_nslice2_v1.7_10yrs,0.9713039583915521,0.2097919146752844,0.5486817160861577
rolling_scale0.2_nslice2_v1.7_10yrs,0.6650258707261385,0.5168547549809122,0.5744244306633827
twi_neo_pattern2_v1.7_10yrs,0.7471932237625142,0.6093579296567728,0.5369133593591087
rolling_scale0.4_nslice2_v1.7_10yrs,0.6710360495746025,0.27373100255085925,0.6039057140002279
pair_times_55_v1.7_10yrs,0.9485689012693445,0.40993254782326743,0.5695624036949465
footprint_6_v1.710yrs,0.7074472047635157,0.416412622787801,0.5179751871092689
u_long_ms_50_v1.7_10yrs,0.8588348866611888,0.2659014153946583,0.565511387592247
twi_neo_pattern7_v1.7_10yrs,0.9105091637721273,0.18494293816475513,0.5445749199827502
rolling_scale0.8_nslice2_v1.7_10yrs,0.6698328716062212,0.20291679843601412,0.610984130768361
cadence_drive_gl30_gcbv1.7_10yrs,0.9068193482192036,0.16370943771961877,0.5374861639935078
footprint_4_v1.710yrs,0.7260635269904743,0.1335298315214968,0.5254518239292595
