db,uu_field,uu_star,ug_field,ug_star,ur_field,ur_star,ui_field,ui_star,uz_field,uz_star,uy_field,uy_star,gg_field,gg_star,gr_field,gr_star,gi_field,gi_star,gz_field,gz_star,gy_field,gy_star,rr_field,rr_star,ri_field,ri_star,rz_field,rz_star,ry_field,ry_star,ii_field,ii_star,iz_field,iz_star,iy_field,iy_star,zz_field,zz_star,zy_field,zy_star,yy_field,yy_star
agnddf_v1.4_10yrs.db,964,60866100,741,45713376,777,41709960,818,37204200,826,49190616,96,8344188,1055,64940040,954,62683776,848,58867056,849,59560164,783,47920716,1201,69166980,964,62730324,824,54828936,770,41261472,1207,69554592,941,62482860,887,55368252,1178,68923836,955,60809148,1129,66144924
alt_roll_mod2_dust_sdf_0.20_v1.4_10yrs.db,405,30052332,115,8302428,56,2981628,120,7822368,222,15429744,39,2545596,226,17337888,480,32061636,338,23065092,421,31509756,582,49176612,107,7879500,302,21457080,428,28405548,449,32738616,124,10604448,282,18972540,126,7895268,128,10104948,143,8492760,275,21251916
baseline_2snapsv1.4_10yrs.db,489,33389712,670,28959876,592,26472492,658,36855648,811,52263288,45,6237144,177,19908540,357,27993708,435,37298160,552,38098260,623,40028364,81,8281548,378,31226976,442,30763872,570,31738896,90,9535212,381,25538940,437,29814336,107,11961144,392,29354832,188,13264956
baseline_v1.4_10yrs.db,814,54526572,748,34786656,754,34760592,771,43632252,811,47373228,97,6309252,734,54292968,750,51953760,748,55234512,765,54469584,743,48711060,764,51480216,749,53051940,759,50389848,767,44315568,780,52920000,750,53351208,733,45618120,786,53021088,747,46532916,763,48145284
bulges_bs_v1.4_10yrs.db,410,16139952,651,24408468,500,16610796,534,19108296,591,27301968,69,2657160,98,6855552,207,12764268,325,19613988,460,24881580,538,29866032,17,2371356,295,19187676,382,21594852,471,22772592,15,1495944,214,11881116,303,17121384,16,1083888,315,18477324,77,3972348
bulges_bulge_wfd_v1.4_10yrs.db,359,16318548,610,20754828,429,15465492,512,20141568,649,29601648,89,4786452,67,5016780,160,10199916,304,20709108,453,24804864,577,37886832,10,1502604,213,13729140,352,17681400,426,25261920,8,602460,196,12062808,263,15035724,10,534456,257,16007544,39,2675700
bulges_cadence_bs_v1.4_10yrs.db,383,17924832,625,19257876,519,18838368,573,26414712,621,31019904,72,3581676,104,9949320,237,18093888,348,24564492,468,27948600,597,39170988,23,2343744,278,21626568,360,21016764,520,32172696,23,4064256,208,13750344,298,20050272,25,3741804,312,24025788,71,5424012
bulges_cadence_bulge_wfd_v1.4_10yrs.db,364,17919720,577,16554780,446,15684588,532,24685200,730,31663476,91,3437892,63,4688964,169,11146068,261,18684504,432,22120164,472,21895884,8,1310796,226,17187444,362,19041120,418,14808564,11,767952,188,9773568,294,15507756,8,1261368,275,18673632,34,1938708
bulges_cadence_i_heavy_v1.4_10yrs.db,356,20053656,562,22089528,445,19770012,551,23776236,711,36253584,67,1145304,74,4669920,170,10353600,280,18401796,407,18962460,496,23516640,6,1211688,211,16816320,337,15469704,408,20166228,13,4284540,167,8594676,259,12676284,18,1877724,272,19827432,42,2490624
bulges_i_heavy_v1.4_10yrs.db,399,17492184,607,24429600,368,12616704,466,21039084,608,30202704,90,3705912,62,2569284,192,8499024,312,21626748,474,23176512,576,29050560,11,670104,247,17359992,356,17846136,485,19919664,13,3570912,184,8820720,285,15319980,15,1382292,251,15773040,49,3389688
dcr_nham1_v1.4_10yrs.db,932,57773952,269,13549932,936,51523380,976,51159492,849,49221072,112,3416112,775,53682696,310,24101820,733,48525120,876,57430224,869,56951028,684,45146484,825,54381420,779,52233876,823,52518024,772,48503124,740,51347772,682,45727740,715,49895136,740,49739148,761,51077664
dcr_nham2_v1.4_10yrs.db,1063,69947136,78,4755096,1022,71611200,1103,68275152,856,54513432,108,5554044,885,65423520,95,8430768,667,53147700,894,61300260,830,58820508,643,51929316,924,72084600,846,67095936,910,63632772,781,62142624,767,66451932,648,49269960,726,58208148,728,55269936,735,54228348
dcr_nham3_v1.4_10yrs.db,1097,64764900,73,7651620,998,63783972,966,59301900,793,50087340,90,7149240,997,64274544,27,2913912,606,43439724,824,52681932,770,40136508,615,43899552,981,62967132,849,57555252,955,57373200,763,52904340,744,50506380,634,39629448,702,49741380,726,49871196,726,48819888
dcr_nham4_v1.4_10yrs.db,1111,63955512,41,2376936,997,60931728,981,57165372,837,51754680,152,7124400,1095,70336836,9,1101312,612,43860312,894,56093148,828,46747260,571,43045812,1064,69921864,925,65015460,1006,64502532,765,56390472,764,58853088,567,44550540,685,53205120,675,53509824,698,47939364
dcr_nham5_v1.4_10yrs.db,1115,71288532,46,1401192,1090,61000452,1033,59316732,854,48996900,129,8159760,1147,74881116,2,23544,622,42868692,924,60595812,835,49943520,584,43982712,1060,70859988,857,59006628,1007,63083988,779,56453472,728,55091556,566,45277704,665,47644596,695,48015612,751,50783940
descddf_v1.4_10yrs.db,882,56539188,684,40251600,685,41277420,765,44831808,828,46129032,130,2617848,992,65649384,833,62289360,802,61508232,803,57240396,732,55519920,1112,66397716,982,64050804,820,58959864,731,45081756,1129,69610320,803,58901976,732,50709708,1094,67644540,1005,63248112,1024,62729064
euclidddf_v1.4_10yrs.db,790,55336788,759,39700116,762,37643868,808,39194640,710,42800616,41,8275068,731,53444772,772,56939472,747,56944404,728,49623372,711,43992252,752,52128612,747,56536488,744,52227216,706,45532656,779,56435616,718,51685776,655,46547352,752,53693424,741,55090764,771,53505216
footprint_add_mag_cloudsv1.4_10yrs.db,607,46481364,297,15425460,333,19931472,597,41292432,880,65563416,51,1525284,637,56644560,802,64251180,801,65967192,898,69901524,724,60333516,690,61535376,754,66594780,867,68780376,712,51384600,690,56998296,739,63282024,633,47425104,685,60336432,613,52704144,689,56926404
