,TPM,LS,CI
dcr_nham1_ugri_v1.5_10yrs,0.3290410473420657,0.00024700869220373254,1.0686813186813187
rolling_mod6_sdf_0.20_v1.5_10yrs,0.3317284825578038,0.0006372984957275634,1.081043956043956
wfd_depth_scale0.95_noddf_v1.5_10yrs,0.3346659905980183,0.0016999451626426862,1.0584594222833563
u60_v1.5_10yrs,0.33867359484565074,0.002092822385743448,1.045360824742268
footprint_stuck_rollingv1.5_10yrs,0.3058053775915183,0.0004482536323713062,1.0828729281767955
filterdist_indx4_v1.5_10yrs,0.3424075794198515,0.00038028293344231445,1.0665751544269046
wfd_depth_scale0.70_noddf_v1.5_10yrs,0.3267478979304433,0.00043755936674239304,1.0805785123966942
daily_ddf_v1.5_10yrs,0.33670849321237756,0.0012598368672750535,1.0723638869745002
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.32328879304464564,0.0011744070712322754,1.0654843110504775
goodseeing_gz_v1.5_10yrs,0.3402853372559979,0.0006515447736374335,1.0604810996563574
filterdist_indx1_v1.5_10yrs,0.3404691202072225,0.00020571978292806324,1.0583390528483185
footprint_standard_goalsv1.5_10yrs,0.3354096252747718,0.00022502176586910544,1.0693681318681318
footprint_big_sky_dustv1.5_10yrs,0.3331709434266923,0.000395717947605619,1.0616860863605209
footprint_bluer_footprintv1.5_10yrs,0.33625839550864434,0.0002578430148480152,1.0685400959561344
twilight_neo_mod4_v1.5_10yrs,0.3091337408507184,0.0010086551133314983,1.0612525808671713
goodseeing_gi_v1.5_10yrs,0.3416265176911084,0.000465031097082891,1.0536451169188445
footprint_big_wfdv1.5_10yrs,0.32588958242078175,0.0008786816108148665,1.0685682940208447
dcr_nham2_ugr_v1.5_10yrs,0.34359741250386827,0.0009376258239088167,1.065979381443299
short_exp_5ns_5expt_v1.5_10yrs,0.32692877793429054,0.0015358185628635323,1.069511355815554
goodseeing_griz_v1.5_10yrs,0.33942662700502796,0.0004959178384071642,1.0599173553719008
twilight_neo_mod1_v1.5_10yrs,0.2731894176376557,0.001294782116758656,1.0940934065934067
bulges_cadence_bulge_wfd_v1.5_10yrs,0.3235754522082975,0.00040418313453881706,1.0722145804676755
third_obs_pt120v1.5_10yrs,0.3327677626475134,0.0007623972665931414,1.0772413793103448
wfd_depth_scale0.95_v1.5_10yrs,0.3343442431101742,0.0005317962623234408,1.065337001375516
wfd_depth_scale0.85_noddf_v1.5_10yrs,0.32963882316845877,0.0010561832520269159,1.0646048109965636
footprint_no_gp_northv1.5_10yrs,0.3305031535689015,0.0005677630689884446,1.0673539518900343
footprint_big_skyv1.5_10yrs,0.33620788638416294,0.0002564284593948787,1.0702740688685874
footprint_newBv1.5_10yrs,0.3326242674620373,0.0003143025814363167,1.0633802816901408
baseline_2snaps_v1.5_10yrs,0.3354174838081479,0.0005975503618061724,1.0674002751031637
footprint_big_sky_nouiyv1.5_10yrs,0.3421097929874418,0.0002266468771550312,1.0811573747353564
twilight_neo_mod3_v1.5_10yrs,0.2996455194530729,0.00039731288109657876,1.0884167237834133
greedy_footprint_v1.5_10yrs,0.3208091799966696,0.001029296588522928,1.0666666666666667
wfd_depth_scale0.90_v1.5_10yrs,0.33357604156655446,0.0005576375831836233,1.0804123711340206
dcr_nham1_ug_v1.5_10yrs,0.31208480565306684,0.0009368067692711557,1.077716643741403
rolling_mod2_sdf_0.10_v1.5_10yrs,0.3319332353518035,0.0003779057231288065,1.0786206896551724
footprint_newAv1.5_10yrs,0.3291557383319076,0.0005142086595692553,1.0713276836158192
rolling_mod3_sdf_0.10_v1.5_10yrs,0.3318042313241124,0.00028466021889728756,1.0853406744666207
var_expt_v1.5_10yrs,0.33253823982168734,0.00043239784962974893,1.0412938747419134
bulges_i_heavy_v1.5_10yrs,0.32302445591093887,0.0010273900024141776,1.073793103448276
wfd_depth_scale0.75_v1.5_10yrs,0.3292301050723528,0.0013060638468973317,1.0716747070985526
dcr_nham2_ug_v1.5_10yrs,0.33554189516569755,0.00023863391324304169,1.0626290433585686
filterdist_indx3_v1.5_10yrs,0.3373458365136664,0.00019736916641116618,1.0602739726027397
goodseeing_i_v1.5_10yrs,0.33469052469747396,0.0012107456987955768,1.0673076923076923
short_exp_2ns_5expt_v1.5_10yrs,0.326405374454056,0.0022613225315523166,1.0750172057811425
footprint_add_mag_cloudsv1.5_10yrs,0.3340687996495771,0.0005238013814200019,1.0640055058499656
filterdist_indx6_v1.5_10yrs,0.3375858593148814,0.0014199863604514547,1.0823610157858614
agnddf_v1.5_10yrs,0.3337234677769521,0.0011664527000816362,1.0625
wfd_depth_scale0.70_v1.5_10yrs,0.32193213334073284,0.00028811126936505697,1.0749656121045392
alt_dust_v1.5_10yrs,0.3254622716673337,0.0006546463666478428,1.0703551912568305
baseline_v1.5_10yrs,0.33566151300995767,0.0015506087136117736,1.073489010989011
filterdist_indx7_v1.5_10yrs,0.3407449359163049,0.00037449784430819666,1.059670781893004
wfd_depth_scale0.65_v1.5_10yrs,0.3188905136007779,0.0002714638273886916,1.0809883321894302
descddf_v1.5_10yrs,0.32903084459550225,0.0003297920961524527,1.0762886597938144
bulges_bs_v1.5_10yrs,0.32352851173432373,0.0010111658046424571,1.0836212854181064
baseline_samefilt_v1.5_10yrs,0.3474915444150759,0.001538660560608354,1.0608996539792388
filterdist_indx2_v1.5_10yrs,0.33570090372121647,0.00028435369115119177,1.0707417582417582
short_exp_5ns_1expt_v1.5_10yrs,0.33520770351619894,0.0020797545511974176,1.0545580110497237
wfd_depth_scale0.80_noddf_v1.5_10yrs,0.3345768747659075,0.0007794493797717831,1.0714776632302405
wfd_depth_scale0.85_v1.5_10yrs,0.3363224277709418,0.0011128122007084155,1.0687757909215956
dcr_nham2_ugri_v1.5_10yrs,0.3439962507962546,0.0002991026284262161,1.0460481099656358
third_obs_pt45v1.5_10yrs,0.3216800781819704,0.000848703503766205,1.0728021978021978
wfd_depth_scale0.65_noddf_v1.5_10yrs,0.3238421696499735,0.0008091703026431492,1.0689179875947623
wfd_depth_scale0.80_v1.5_10yrs,0.32984430228758416,0.00042158097216724207,1.0728021978021978
bulges_cadence_i_heavy_v1.5_10yrs,0.32221265785842257,0.000623830485024895,1.06960716747071
filterdist_indx8_v1.5_10yrs,0.33917774214830554,0.0002997048339612838,1.0632302405498282
rolling_mod6_sdf_0.10_v1.5_10yrs,0.33173558412710336,0.0006943093778741918,1.0762362637362637
footprint_gp_smoothv1.5_10yrs,0.3286672925320129,0.0002520246515595115,1.053066850447967
twilight_neo_mod2_v1.5_10yrs,0.292620769503543,0.00040391008311852156,1.0743289745354438
third_obs_pt15v1.5_10yrs,0.33566151300995767,0.0015506087136117736,1.0741758241758241
bulges_bulge_wfd_v1.5_10yrs,0.32422955167268597,0.001024796217001971,1.0852233676975944
goodseeing_gri_v1.5_10yrs,0.34410359458136297,0.0004840539207494804,1.059228650137741
rolling_mod3_sdf_0.20_v1.5_10yrs,0.3315421429579181,0.0003488090924093376,1.0811554332874829
short_exp_2ns_1expt_v1.5_10yrs,0.32287659830096327,0.002157401721138279,1.0694635488308115
spiders_v1.5_10yrs,0.33142237407474484,0.0013065632174477835,1.0612525808671713
third_obs_pt90v1.5_10yrs,0.3329940577431952,0.0010870178884094374,1.0639175257731959
dcr_nham1_ugr_v1.5_10yrs,0.32286416505387106,0.0002716367417089837,1.0638736263736264
wfd_depth_scale0.75_noddf_v1.5_10yrs,0.3259819620518025,0.001048858137230052,1.0720658888126287
third_obs_pt60v1.5_10yrs,0.32986228431629155,0.001130942112794966,1.06121045392022
rolling_mod2_sdf_0.20_v1.5_10yrs,0.33169442490683543,0.0005613791076309542,1.0730027548209367
wfd_depth_scale0.90_noddf_v1.5_10yrs,0.33806377392169995,0.0009317067789483017,1.0713795470144132
wfd_depth_scale0.99_noddf_v1.5_10yrs,0.33646615498452404,0.0009450913218963885,1.078404401650619
bulges_cadence_bs_v1.5_10yrs,0.32219376948109246,0.0003665340531783895,1.0742778541953233
third_obs_pt30v1.5_10yrs,0.3285335704360536,0.0011018636047195262,1.0715760495526496
wfd_depth_scale0.99_v1.5_10yrs,0.3341942506797937,0.0004088954997326183,1.0658888126286892
filterdist_indx5_v1.5_10yrs,0.33227308072800865,0.00028990872196705256,1.0754975978037062
