,CI,TPM,LS,star count
rolling_ns2_rw0.5,0.8343051475123436,0.6910177724993325,0.9742475518102224,0.9873786407766997
rolling_ns3_rw0.9,0.7743882285397073,0.7118883275220004,0.9930651508411703,0.9873786407766997
rolling_ns3_rw0.5,0.8223112409758848,0.6775383558953307,0.9833730303541601,0.9873786407766997
rolling_ns2_rw0.9,0.8128258818298325,0.7054064557800417,0.9834714463900243,0.9873786407766997
baseline_retrofoot,0.8068708147569663,0.5086207287582912,0.9827830065359477,0.9961165048543703
retro_baseline,0.8521963208319636,0.5366496514441423,0.9827830065359477,1.0
ddf_frac_ddf_per1.6,0.7954856207896603,0.6597366210511766,0.9930651508411703,0.9873786407766997
ddf_frac_ddf_per0.6,0.8189741932725805,0.6962217414239954,0.9902247321982571,0.9873786407766997
carina,0.7928748589653015,0.6413356001700129,0.9827830065359477,0.988349514563103
virgo_cluster,0.818823769184213,0.700319926371388,0.9878265409617967,0.9825242718446606
roman,0.8179381108443177,0.6962359219370738,1.0,0.9873786407766997
multi_short,0.3848968345821371,0.49366476332177023,0.9930651508411703,0.9873786407766997
north_stripe,0.7940235926738761,0.4667581394824125,0.9920890634169891,0.9184466019417491
twilight_neo_nightpattern2,0.45644631472758807,0.6762766741403912,0.9875231174999474,0.9398058252427169
twilight_neo_nightpattern3,0.5605139003035936,0.6697946468501694,0.9916852126228836,0.9436893203883507
twilight_neo_nightpattern1,0.1917723672319634,0.6842429848905336,0.989897866519121,0.9398058252427169
twilight_neo_nightpattern5,0.4603577915290401,0.658468763855514,0.9930651508411703,0.9417475728155339
twilight_neo_nightpattern4,0.6103313327396672,0.6359760651085167,0.9920692973004149,0.9456310679611649
twilight_neo_nightpattern6,0.502418923472803,0.6710549061381625,0.9887152983259031,0.9436893203883507
twilight_neo_nightpattern7,0.5571339653435914,0.6748916164521227,0.9896550875807623,0.9436893203883507
short_exp,0.7343495482984591,0.6599091797981715,0.9887152983259031,0.9873786407766997
too_rate10,0.8195551741731182,0.6927690410114093,0.9875231174999474,0.9873786407766997
too_rate50,0.800837515178287,0.6477759357232692,0.9875231174999474,0.9873786407766997
local_gal_bindx1,0.8150342770105677,0.6631958958912131,0.9897984891607716,0.9873786407766997
local_gal_bindx0,0.8168414824505132,0.6546830154889822,0.9883175850120149,0.9873786407766997
local_gal_bindx2,0.8127901935166397,0.64089320587933,0.2875975095092218,0.9873786407766997
smc_movie,0.8154994261149191,0.7033948404118475,0.2842138310928447,0.9873786407766997
noroll,0.8615589573506857,0.7021107773460447,0.28176938404840396,0.9873786407766997
vary_nes_nesfrac0.20,0.8174770100410115,0.6854741461790786,0.28672703241582154,0.988349514563103
vary_nes_nesfrac0.55,0.8288678899194053,0.7563012431411811,0.2845206719881411,0.9873786407766997
vary_nes_nesfrac0.25,0.8140469409850626,0.6642172341611521,0.27578375983161624,0.988349514563103
vary_nes_nesfrac0.50,0.822940181543783,0.7766595796264647,0.28610873032292244,0.9864077669902962
vary_nes_nesfrac1.00,0.8612455865280969,0.8387097658806624,0.2833486314466261,0.9864077669902962
vary_nes_nesfrac0.05,0.8066677232174649,0.6563730024849902,0.2877321759561575,0.9883495145631037
vary_nes_nesfrac0.75,0.8264162575588955,0.8223429257194291,0.28350639156305546,0.9873786407766997
vary_nes_nesfrac0.15,0.8164949652081441,0.6647655432037515,0.28903596642444357,0.9873786407766997
vary_nes_nesfrac0.01,0.8048134494706415,0.6945811813151228,0.2847467320261438,0.9941747572815515
vary_nes_nesfrac0.10,0.808514503466406,0.6337565908128457,0.2820244130391685,0.988349514563103
vary_nes_nesfrac0.30,0.8128258818298325,0.7054064557800417,0.2820244130391685,0.9873786407766997
vary_nes_nesfrac0.45,0.8117336004330985,0.7162594170299342,0.2850540866871151,0.9873786407766997
vary_nes_nesfrac0.35,0.8195444692397506,0.7077634397038838,0.2902885600603283,0.9873786407766997
vary_nes_nesfrac0.40,0.8175759983785109,0.7360885985605337,0.27385737660312126,0.9873786407766997
long_gaps_np_nightsoff2_delayed-1,0.7747614941909179,0.6535744781444138,0.27617383587098204,0.9873786407766997
