db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,2521556,15175292,29890,18390604,24521014,27122727,17687658,75559,17767004,27060809,27122727,109588,15216822,17733082,27077500,19118688,15249547,27110832,3810692,8100428,6916523
alt_dust_v1.5_10yrs.db,27143557,27075606,9531458,24672721,24706750,29890,27143557,27143557,27143557,24638799,6325648,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,27143557,27041577,27143557,27143557,21521466,3886529,27143557,12002294,24706750,24706750,6400788,27143557,27143557,27075606,24672721,27143557,27143557,27143557,27143557,27143557,27143557
baseline_2snaps_v1.5_10yrs.db,2590515,17706939,50720,2595851,24685920,24839,2557790,2591819,27143557,23969775,66057,8134457,177539,23969775,6292726,15216822,141616,27042881,75559,26976824,3810692
baseline_samefilt_v1.5_10yrs.db,27143557,54859,2468835,9565487,0,8742952,21534862,0,115473,0,11848783,20793489,18961145,0,29890,24641997,0,24661326,23408424,18457358,75559
baseline_v1.5_10yrs.db,3248144,21400787,141616,5001786,128672,0,3248144,177539,20759460,18349074,3173782,209567,5731572,5642921,3224502,6326952,2624544,5026625,2659770,5062548,5062548
bulges_bs_v1.5_10yrs.db,27075606,24638799,27075606,24638799,20874973,15219657,27143557,27143557,27143557,27143557,27042881,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
bulges_bulge_wfd_v1.5_10yrs.db,27143557,24638799,27041577,27109528,19073019,3835809,27143557,27143557,27143557,27143557,27043578,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
bulges_cadence_bs_v1.5_10yrs.db,27143557,24604770,27143557,27143557,23285614,0,27143557,27143557,27143557,27143557,26922095,27143557,27143557,27143557,27041577,27143557,27143557,27143557,27143557,27143557,27143557
bulges_cadence_bulge_wfd_v1.5_10yrs.db,27143557,24604770,27143557,27143557,22194629,5663447,27143557,27143557,27143557,27143557,23254913,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
bulges_cadence_i_heavy_v1.5_10yrs.db,27041577,27041577,27143557,27143557,27041577,17578070,27143557,27143557,27075606,27143557,21462705,27143557,27143557,27143557,27118718,27143557,27143557,27143557,27143557,27143557,27143557
bulges_i_heavy_v1.5_10yrs.db,27143557,24604770,27143557,27109528,2527900,3173782,27143557,27143557,27143557,27143557,12002294,27143557,27143557,27109528,27143557,27143557,27143557,27143557,27143557,27143557,27143557
daily_ddf_v1.5_10yrs.db,109588,3262540,79698,3130670,24443873,27003245,75559,15216822,88758,17736917,11827953,75559,75559,45669,9323440,20858242,17687658,20135860,2546395,2512366,2580317
dcr_nham1_ug_v1.5_10yrs.db,3878643,3735133,2532951,5062548,8875633,67951,177539,83445,9466705,27111529,143510,2512366,5663621,2557790,109588,8132456,11867589,9486034,8132456,143510,6358980
dcr_nham1_ugr_v1.5_10yrs.db,20234642,23891381,82748,2557790,20896058,29890,109588,50720,3189276,5739261,0,2545091,11936237,27143557,24595269,20860136,23342367,27143557,18390604,20860136,20759460
dcr_nham1_ugri_v1.5_10yrs.db,5716979,22078174,3181390,50720,11780832,0,6948551,3780802,2625741,11905650,0,5618197,2625741,5763600,2557790,2657769,2557790,5830354,75559,2590515,2611148
dcr_nham2_ug_v1.5_10yrs.db,21534862,0,6338847,24562544,26990046,0,75559,54729,3160560,27045716,45669,3843417,6916523,27080942,6249637,19052631,23870993,27143557,17767004,27076803,15216822
dcr_nham2_ugr_v1.5_10yrs.db,84749,24604459,18931255,50720,86887,22014255,75559,82748,115473,141616,29890,15282879,2589818,20904863,22068984,75559,75559,27143557,75559,17686354,75559
dcr_nham2_ugri_v1.5_10yrs.db,27008852,23166132,20729570,27024075,27048914,87454,2557790,78394,17631625,17666828,50720,3214115,108284,143510,75559,2679099,6414232,12002294,2580317,24604770,9531458
descddf_v1.5_10yrs.db,5095273,8830406,23903718,27075606,26955994,24473763,143510,3810692,21487544,24473763,0,5796325,23306444,29890,3181390,3281369,3181390,12002294,2512366,27111529,143510
filterdist_indx1_v1.5_10yrs.db,75559,75559,24839,29890,29890,0,75559,0,29890,75559,0,75559,0,29890,54729,75559,75559,75559,75559,75559,75559
filterdist_indx2_v1.5_10yrs.db,0,0,0,50720,29890,20830,75559,75559,50720,29890,0,75559,75559,29890,29890,75559,75559,75559,75559,75559,75559
filterdist_indx3_v1.5_10yrs.db,0,45669,0,0,0,0,75559,75559,75559,24839,0,75559,45669,0,0,75559,75559,75559,75559,75559,75559
filterdist_indx4_v1.5_10yrs.db,75559,0,75559,0,20830,29890,45669,0,0,29890,0,75559,29890,54729,0,75559,75559,75559,75559,75559,75559
filterdist_indx5_v1.5_10yrs.db,0,0,0,24839,0,45669,20830,0,0,29890,29890,75559,75559,0,29890,75559,75559,75559,75559,75559,75559
