db,g,i,r,u,y,z
agnddf_v1.5_10yrs.db,24.553977862122142,23.479031220196212,24.06381571094485,23.596546835929928,22.030345388505168,22.802752876109977
alt_dust_v1.5_10yrs.db,24.514700938296542,23.41863139915747,24.009913216028956,23.552836710528087,21.973123561257253,22.746577053651045
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,24.494271489577205,23.352120414329153,23.953845210825563,23.547948651781486,21.930217288358747,22.69921952477583
baseline_2snaps_v1.5_10yrs.db,24.48604177235972,23.446334507755083,24.023829785712685,23.409902489413735,22.02175733425324,22.791511888470993
baseline_samefilt_v1.5_10yrs.db,24.5102515420679,23.481499346112123,24.00897291409516,23.610256742992235,22.014226701014525,22.745702278812345
baseline_v1.5_10yrs.db,24.55394692402433,23.45776537623716,24.05719698102655,23.606673341728765,22.030264777660577,22.79990202497916
bulges_bs_v1.5_10yrs.db,24.55221530920642,23.46768673149865,24.056825513376914,23.603195225742144,22.03112929147513,22.805216599363483
bulges_bulge_wfd_v1.5_10yrs.db,24.552469939164055,23.4706171670535,24.05619039915701,23.604164401792286,22.031636687644546,22.809943855190845
bulges_cadence_bs_v1.5_10yrs.db,24.553018865026342,23.467589998211107,24.05594958321834,23.606056719898795,22.02678471363681,22.808994281777746
bulges_cadence_bulge_wfd_v1.5_10yrs.db,24.5465023175226,23.473809832305236,24.056001024893014,23.603758134308652,22.02811749564414,22.8091656537722
bulges_cadence_i_heavy_v1.5_10yrs.db,24.555507608718678,23.4635715463216,24.058397219182215,23.604750922335498,22.033112518718106,22.806341330596435
bulges_i_heavy_v1.5_10yrs.db,24.54649599347178,23.467035197026945,24.05704709560111,23.596974238086744,22.03019652209565,22.808508696248097
daily_ddf_v1.5_10yrs.db,24.56140997540026,23.45369954952575,24.054319678676382,23.608601232913937,22.02141574541301,22.79806581131914
dcr_nham1_ug_v1.5_10yrs.db,24.41952470138889,23.473012086832842,24.051990500674826,23.472355321028473,22.025560783943924,22.79976432434239
dcr_nham1_ugr_v1.5_10yrs.db,24.45220868835576,23.456357908304152,24.00091652810245,23.477235685465708,22.030130826233272,22.80895128805041
dcr_nham1_ugri_v1.5_10yrs.db,24.451592373381754,23.399754094552776,24.00638775651931,23.484924533626433,22.026207688171368,22.801097358111104
dcr_nham2_ug_v1.5_10yrs.db,24.3199645001716,23.47936393332266,24.038548629789297,23.363182158264976,22.02738213533665,22.797344517962394
dcr_nham2_ugr_v1.5_10yrs.db,24.365349816600776,23.445974466772846,23.951939389016466,23.37392975218951,22.02309372370202,22.80707520208502
dcr_nham2_ugri_v1.5_10yrs.db,24.376020740915703,23.343717509495654,23.958952654359972,23.38533955055616,22.029143264258533,22.790936973774855
descddf_v1.5_10yrs.db,24.55643553714681,23.48441537302628,24.06038773035347,23.61030956304191,22.03242601899558,22.798301662301505
filterdist_indx1_v1.5_10yrs.db,24.549156163321058,23.397760746339223,24.026365720828185,23.607664937697272,22.024371934480243,22.811861161435267
filterdist_indx2_v1.5_10yrs.db,24.55954529254764,23.496240327951018,24.066110627739754,23.606810878355503,22.04480489110473,22.828853364822223
filterdist_indx3_v1.5_10yrs.db,24.539382796997398,23.406303032745413,24.065952687323353,23.60800046333128,22.032943868012218,22.817597885096745
filterdist_indx4_v1.5_10yrs.db,24.566189949845253,23.41818685454129,24.04799520777767,23.60242958331765,22.031636964763194,22.836656840498627
filterdist_indx5_v1.5_10yrs.db,24.569098120236365,23.557718867474982,24.087869964240028,23.60144188295562,22.052715473071316,22.826736562945058
filterdist_indx6_v1.5_10yrs.db,24.560536798413267,23.46719561528031,24.065381772492266,23.59728648104642,22.03735192494573,22.839722939547926
filterdist_indx7_v1.5_10yrs.db,24.570823938918313,23.458877820978177,24.06153647213071,23.61829470788579,22.03520917942424,22.829071541715166
filterdist_indx8_v1.5_10yrs.db,24.553283021229298,23.505221949357548,24.080212068689615,23.601001312800058,22.047835722535982,22.83850342969141
footprint_add_mag_cloudsv1.5_10yrs.db,24.556452935177518,23.468300950291553,24.057432423794335,23.608017730002963,22.026128842632666,22.803793206048372
footprint_big_sky_dustv1.5_10yrs.db,24.504975864610795,23.415148327974567,24.0044843195083,23.545600406622018,21.97861612957599,22.762564786628296
footprint_big_sky_nouiyv1.5_10yrs.db,24.48827575198143,23.39627011035219,23.989914291038104,23.535271004010816,21.956792051420887,22.736631430955637
footprint_big_skyv1.5_10yrs.db,24.49017299442333,23.398296255714815,23.994474503666353,23.535254074645884,21.959799061597582,22.73578350668275
footprint_big_wfdv1.5_10yrs.db,24.48713328474695,23.411359229217275,23.999219438296244,23.53817999309026,21.97131645314057,22.7575673887443
