db,flux change,color,footprint,star count,depth,family
agnddf_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,agnddf
alt_dust_v1.5_10yrs.db,0.7335105949401773,0.7980406659753122,1.0,0.9991507367335823,1.0,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.8640118304833387,1.0,0.9668246445497631,1.0,0.8036990447483656,alt
baseline_2snaps_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,baseline
baseline_samefilt_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,baseline
baseline_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,baseline
bulges_bs_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,bulges
bulges_bulge_wfd_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,bulges
bulges_cadence_bs_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,bulges
bulges_cadence_i_heavy_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,bulges
bulges_i_heavy_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,bulges
daily_ddf_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,daily
dcr_nham1_ug_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,dcr
dcr_nham1_ugr_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,dcr
dcr_nham1_ugri_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,dcr
dcr_nham2_ug_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,dcr
dcr_nham2_ugr_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,dcr
dcr_nham2_ugri_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,dcr
descddf_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,descddf
filterdist_indx1_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,filterdist
filterdist_indx2_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,filterdist
filterdist_indx3_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,filterdist
filterdist_indx4_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,filterdist
filterdist_indx5_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,filterdist
filterdist_indx6_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,filterdist
filterdist_indx7_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,filterdist
filterdist_indx8_v1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,filterdist
footprint_add_mag_cloudsv1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,footprint
footprint_big_sky_dustv1.5_10yrs.db,0.8036548060195823,0.5524186189098801,0.8767772511848342,0.8070406538449129,0.6185140724283522,footprint
footprint_big_sky_nouiyv1.5_10yrs.db,0.925908201508961,0.5932739787317659,0.8957345971563981,0.8309154606626473,0.3203981806006578,footprint
footprint_big_skyv1.5_10yrs.db,0.9317711099002105,0.49408078655126236,0.943127962085308,0.8710555475547197,0.0356165289103644,footprint
footprint_big_wfdv1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,footprint
footprint_bluer_footprintv1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,footprint
footprint_gp_smoothv1.5_10yrs.db,0.0,0.0,0.0,0.0,0.0,footprint
footprint_newAv1.5_10yrs.db,0.44709354045575395,0.5212241189317021,0.933649289099526,0.8465979387307867,0.9402334044255588,footprint
footprint_newBv1.5_10yrs.db,0.7387528735141072,0.5433624457457342,0.943127962085308,0.7684517079107372,0.9135293015400348,footprint
