db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
alt_dust_v1.5_10yrs.db,3.0551036849702595,0.013456180277765505,0.004255969731844074,0.002654222265789847,,,12.069434650632179,0.009520980811692174,0.0029330153986001513,0.0006194756396805537,,157.7528807338652,0.009388464051626804,0.0021941467363602103,,73.08129099693636,0.014489427019242648,0.01564900356823365,186.8292455661906,0.01192230181002106,143.74253358324648
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,2.982376134402734,0.003949785444592732,0.008441792035165076,0.0026855819139601908,,,13.646231496172879,0.016426670537771422,0.003160735697495406,0.0006194756396805537,0.0007837390765034353,228.76072577933553,0.021374163235948946,0.0022892906537452084,0.0007837390765034353,164.23701641098782,0.013662154719582353,0.013906565893662213,251.16622898752263,0.017723163242152885,64.77922354033264
baseline_2snaps_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
baseline_samefilt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
baseline_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_bs_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_bulge_wfd_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_cadence_bs_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_cadence_bulge_wfd_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_cadence_i_heavy_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_i_heavy_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
daily_ddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham1_ug_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham1_ugr_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham1_ugri_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham2_ug_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham2_ugr_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham2_ugri_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
descddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx1_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx2_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx3_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx4_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx5_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx6_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx7_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx8_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_add_mag_cloudsv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_big_sky_dustv1.5_10yrs.db,0.995596599710573,0.0011024079696362445,0.005265202156890843,0.0008428913606370779,,,4.411939334535962,0.012417771064406315,0.002288112033576107,,,368.1573849588551,0.019572594910190977,0.0007837390765034353,,152.00026403914586,0.018496415915429634,0.011682744179542426,293.84404590547,0.024964457003334918,132.41546661487772
footprint_big_sky_nouiyv1.5_10yrs.db,4.633919184016837,0.0017896270784021112,0.005357256993841794,0.0034739129288038706,,,12.680161030777823,0.010626743235939193,0.0023702200379680147,,,232.3393543580031,0.0074981485959075694,0.0010579437009790445,0.0006194756396805537,133.72427072369138,0.014932454832474825,0.007314545963561378,116.1353576761556,0.019758220927910963,205.85001852239603
footprint_big_skyv1.5_10yrs.db,3.4347894049235994,0.0030497105134266946,0.005145373391952088,0.000991397606183697,,,7.880895412512253,0.00960340297493906,0.001729984354881548,,,361.79976600585263,0.012733552965379783,0.001379890476396954,,141.58542620792835,0.019670801099361517,0.004320051773100466,148.5080558145193,0.025233201883958258,230.02956470363148
footprint_big_wfdv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_bluer_footprintv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_gp_smoothv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_newAv1.5_10yrs.db,1.1585324071427217,0.002256004409873643,0.0023259158806717773,0.0007837390765034353,,,7.1240861600494565,0.0048211764900931865,0.001455425635975887,,,194.20617259960147,0.00870863582469786,0.0006194756396805537,0.0016088241020266927,47.619166283569676,0.0212663945226622,0.00700500834474932,102.88418535264692,0.02492828830125955,69.80979533013323
footprint_newBv1.5_10yrs.db,1.9415976072114494,0.0037060129359432047,0.006145892686837762,0.0012719222543246538,,,11.494177080349951,0.015516987182503519,0.0014237352608118957,,,236.2385732874207,0.011638114823381101,0.0017309715423922758,,136.75215900747335,0.023440191453353056,0.0033344616642520045,115.20426036402583,0.019536482925922794,145.15412230334465
footprint_no_gp_northv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_standard_goalsv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_stuck_rollingv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_gi_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_gri_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_griz_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_gz_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_i_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
greedy_footprint_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,4.394045611517448,0.006459747264920213,0.014119748248966217,0.001668796216347209,,,14.975529462950215,0.010051626366712009,0.0023097779666120186,,,222.98552615335717,0.05581645047071743,0.0036033202571924996,0.0013007979225872614,193.89641235075175,0.013327510979221467,0.00714434274504036,278.9033323664948,0.030807504815212217,71.59076893317085
rolling_mod2_sdf_0.10_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod2_sdf_0.20_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod3_sdf_0.10_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod3_sdf_0.20_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod6_sdf_0.10_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod6_sdf_0.20_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_2ns_1expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_2ns_5expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_5ns_1expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_5ns_5expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
spiders_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt120v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt15v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt30v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt45v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt60v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt90v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod1_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod2_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod3_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod4_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
u60_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
var_expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.65_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.70_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.75_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.80_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.85_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.90_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.95_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.99_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
