db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,10773.203214912399,2.8467603467892073,3.265939184405198,2.1816314392758716,,0.04146160732849812,20040.48514311779,4.051621966179565,1.066190769024014,0.6099231397965749,0.40108268419864423,87894.19107173376,5.494426486401767,1.3039068868311596,0.4654692388223695,72812.95817728274,5.347911892922665,2.4770763582647213,75792.93249280172,4.9873383381374214,70556.82952676808
alt_dust_v1.5_10yrs.db,12341.104839342084,2.961901328795791,3.333358793482988,2.7155640826466234,,0.03056668999558198,24332.448925032873,3.996979482499116,2.0055895919047915,1.1109605292090419,0.8098516714747876,81505.69217752469,5.883616494206275,1.8650494241172006,1.0628500233924183,70147.50565551574,5.606547602331858,3.6016284928038322,67149.8794726383,5.5234312711313915,47672.48777731055
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,12946.487612904282,3.19214454334174,3.3135504717868502,2.8092594241105493,,0.05507920486662661,25198.530018778474,4.1570103348519805,2.1010427605192348,1.146879378444972,0.7632207683377852,67034.3017699995,6.784992924431476,2.5409557823247617,1.4432967216159405,77038.15500383389,5.83605575976299,4.039798912444748,77951.49434078517,5.879543235169824,51681.40289780827
baseline_2snaps_v1.5_10yrs.db,12316.289497177911,2.6479284339180436,2.8777524985003926,1.966939125862215,,0.021967425354214073,22573.222852951272,3.871766251220565,1.3717526309935344,0.820079596031379,0.48142412822038977,80283.20055964153,5.125546226276747,0.9808291187962654,0.6851914689603384,66506.12474860465,5.227641347229759,2.7011712304716564,68737.45895331928,4.970966058510588,60924.56668799543
baseline_samefilt_v1.5_10yrs.db,24512.619412181048,0.5641062949001368,0.9607720066177942,0.5250233867926365,,0.1696394006886312,30871.510283320098,1.2074953616322168,1.0393852064225255,0.4629400479031254,0.21073950597992183,99934.51746649349,2.549156676776334,0.9954865202486093,0.4907102007832166,59179.881976289595,1.689632428003141,1.2780159249927523,73194.68413152096,2.0549445800616284,99396.88751917216
baseline_v1.5_10yrs.db,11160.552213318337,2.937168208619969,3.212536747418506,2.3456089679657897,,0.013445335304990473,26282.772875936043,4.241607486553124,1.1160196379048493,0.6099985290361427,0.6026908168097188,89450.08893364633,5.460246829601631,1.08003811598274,0.9192616232159302,59167.427038622765,5.427239528747717,3.0596163229155815,58530.87590271639,5.1920150795312825,67945.1873629365
bulges_bs_v1.5_10yrs.db,8925.009589664693,2.681970269112783,2.8360194593864403,1.7624930082900425,,0.012100172452723617,21601.674983246594,3.714742011382121,1.2956369714059615,0.8143729935205671,0.43037208863241777,70451.56754632806,4.8618788095926915,1.0931908516564446,0.7821270433514911,47211.76085290553,4.816628126573432,2.556187556045272,46877.13740922354,4.609390644295572,70082.6550593479
bulges_bulge_wfd_v1.5_10yrs.db,11272.932226709914,2.59465995709447,2.876120589761242,1.844869817717898,,0.026619913415605243,20758.41777806816,3.689665706506365,1.1913650047280664,0.7836676728972817,0.22395590462705092,71486.15372787371,4.808720934162205,0.8666082212487318,0.7377866233498528,46332.442895734675,4.751960662216836,2.640426789899123,46212.36115090592,4.645704368403863,69454.57478118036
bulges_cadence_bs_v1.5_10yrs.db,11484.494878448082,2.693270026215364,2.82388791246556,1.8384391832114553,,0.071316481260465,21785.436983689327,3.6707362280134177,0.9528466692702192,0.6907181156865203,0.43253732429110947,71908.47998539844,4.91151353827417,0.9488766048376274,0.6642813379637467,45354.67962001193,4.800136846541796,2.5253944605304786,47236.87473573652,4.606657022690639,71122.6862078731
bulges_cadence_bulge_wfd_v1.5_10yrs.db,11109.60699481724,2.684963776335998,2.745244527891319,1.890059771423395,,0.0705507102045491,22307.805134103255,3.7223259457141653,1.235997456486882,0.6685288873908509,0.22027854831926894,70242.75032579912,4.868881513590312,1.2708625242951146,0.4439715123562209,46031.85087095571,4.788970497570372,2.570838131552994,45219.037700283756,4.632679344801211,71086.30988739808
