db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,12,12,12,9,0,0,12,12,8,4,0,4,7,6,0,3,12,3,6,7,10
alt_dust_v1.5_10yrs.db,12,12,12,12,0,0,12,12,12,1,1,12,12,12,6,12,12,12,12,12,12
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,12,12,12,12,0,0,12,12,11,8,3,12,12,11,7,12,12,12,12,12,12
baseline_2snaps_v1.5_10yrs.db,12,12,12,4,0,0,12,12,11,0,0,7,5,9,0,3,12,7,8,8,8
baseline_samefilt_v1.5_10yrs.db,12,0,0,0,0,0,12,0,0,0,0,7,0,0,0,4,0,0,12,0,9
baseline_v1.5_10yrs.db,12,12,12,2,0,0,12,12,11,0,0,6,5,2,1,3,12,8,10,9,12
bulges_bs_v1.5_10yrs.db,12,12,12,11,0,0,12,12,12,1,0,12,12,12,3,12,12,12,12,12,12
bulges_bulge_wfd_v1.5_10yrs.db,12,12,12,10,0,2,12,12,12,1,0,12,12,11,2,12,12,12,12,12,12
bulges_cadence_bs_v1.5_10yrs.db,12,12,12,10,0,0,12,12,11,4,0,12,12,11,2,12,12,12,12,12,12
bulges_cadence_bulge_wfd_v1.5_10yrs.db,12,12,12,11,0,0,12,12,12,0,0,12,12,12,3,12,12,12,12,12,12
bulges_cadence_i_heavy_v1.5_10yrs.db,12,12,12,10,0,0,12,12,12,1,0,12,12,12,3,12,12,12,12,12,12
bulges_i_heavy_v1.5_10yrs.db,12,12,12,11,0,0,12,12,12,3,0,12,12,11,0,12,12,12,12,12,12
daily_ddf_v1.5_10yrs.db,12,12,12,6,0,0,12,12,9,0,0,3,4,5,1,4,12,4,6,4,10
dcr_nham1_ug_v1.5_10yrs.db,12,12,12,3,0,0,12,12,8,0,0,4,5,6,0,4,12,9,9,10,11
dcr_nham1_ugr_v1.5_10yrs.db,12,12,12,6,0,0,12,12,10,0,0,5,8,12,3,3,12,9,8,10,11
dcr_nham1_ugri_v1.5_10yrs.db,12,12,12,9,0,0,12,12,8,0,0,5,5,9,1,3,11,7,4,7,12
dcr_nham2_ug_v1.5_10yrs.db,12,12,12,6,0,0,12,12,8,0,0,5,5,8,0,3,11,9,8,11,10
dcr_nham2_ugr_v1.5_10yrs.db,12,12,12,9,0,0,12,12,6,0,0,6,7,10,8,3,12,8,3,7,10
dcr_nham2_ugri_v1.5_10yrs.db,12,12,12,6,0,1,12,12,9,0,0,5,5,4,0,5,12,9,10,11,12
descddf_v1.5_10yrs.db,12,12,12,11,0,0,12,12,11,2,0,8,12,5,0,3,11,10,6,12,12
filterdist_indx1_v1.5_10yrs.db,3,3,3,2,0,0,3,3,2,0,0,3,1,2,0,3,3,3,3,3,3
filterdist_indx2_v1.5_10yrs.db,3,3,3,3,0,0,3,3,3,0,0,3,3,3,0,3,3,3,3,3,3
filterdist_indx3_v1.5_10yrs.db,3,3,0,1,0,0,3,3,3,0,0,3,2,3,0,3,3,3,3,3,3
filterdist_indx4_v1.5_10yrs.db,3,3,3,1,0,0,3,3,1,0,0,3,1,3,0,3,3,3,3,3,3
filterdist_indx5_v1.5_10yrs.db,3,3,2,2,0,0,3,3,3,1,0,3,3,2,0,3,3,1,3,3,3
filterdist_indx6_v1.5_10yrs.db,3,3,3,2,0,0,3,3,3,0,0,3,3,3,0,3,3,3,3,3,3
filterdist_indx7_v1.5_10yrs.db,3,3,3,3,0,0,3,3,3,1,0,3,3,3,0,3,3,3,3,3,3
filterdist_indx8_v1.5_10yrs.db,3,3,3,2,0,0,3,3,3,1,0,3,3,2,1,3,3,3,3,3,3
footprint_add_mag_cloudsv1.5_10yrs.db,12,12,12,12,0,0,12,12,12,0,0,12,12,12,1,12,12,12,12,12,12
footprint_big_sky_dustv1.5_10yrs.db,12,12,12,11,0,0,12,12,11,1,3,12,12,11,0,12,11,11,12,12,12
footprint_big_sky_nouiyv1.5_10yrs.db,12,12,12,12,0,0,12,12,12,4,0,12,12,12,3,12,12,12,12,12,12
footprint_big_skyv1.5_10yrs.db,12,12,12,12,0,0,12,12,12,1,0,12,12,12,1,12,12,12,12,12,12
footprint_big_wfdv1.5_10yrs.db,12,12,12,8,0,0,12,12,12,0,1,5,6,10,1,3,12,3,6,6,11
footprint_bluer_footprintv1.5_10yrs.db,12,12,12,8,0,0,12,12,11,0,0,6,10,10,0,3,12,5,9,10,11
footprint_gp_smoothv1.5_10yrs.db,12,12,12,8,0,1,12,12,11,0,0,7,8,9,1,3,12,9,8,9,10
footprint_newAv1.5_10yrs.db,12,12,12,12,0,0,12,12,12,2,1,12,12,10,1,12,12,12,12,12,12
footprint_newBv1.5_10yrs.db,12,12,12,12,0,0,12,12,12,0,0,12,12,12,1,12,12,12,12,12,12
footprint_no_gp_northv1.5_10yrs.db,12,12,12,8,0,0,12,12,10,0,0,7,9,10,0,3,12,6,7,7,12
footprint_standard_goalsv1.5_10yrs.db,12,12,12,1,0,0,12,12,9,0,0,5,12,2,0,3,8,7,6,12,11
