uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
896,922,1009,860,0,47,927,981,884,772,243,943,1024,823,631,919,854,755,857,806,725
324,914,953,1028,0,48,366,920,1118,1017,514,224,999,1174,1066,226,920,1196,239,1096,293
416,1154,955,1092,0,64,540,1048,1231,1086,500,117,1128,1320,1287,159,1047,1305,166,1181,324
343,712,676,612,0,35,359,688,706,739,208,181,775,807,684,170,674,795,197,779,257
1327,8,8,88,0,136,1065,8,34,329,194,1129,8,130,466,1086,8,10,1147,8,860
820,994,989,884,0,33,988,1001,954,767,312,1002,1015,994,801,1016,1013,1016,1001,1007,867
281,771,636,587,0,34,215,548,705,716,260,75,798,951,725,79,556,916,76,931,124
261,728,678,637,0,49,203,493,688,688,255,43,758,920,720,36,519,918,51,863,97
289,799,635,607,0,74,212,557,745,641,269,67,791,870,736,68,558,900,88,872,111
230,766,586,614,0,54,216,505,711,580,193,46,777,911,656,40,488,871,64,855,99
261,736,569,543,0,22,196,486,713,715,285,40,786,845,740,75,574,913,51,791,78
228,775,564,616,0,26,178,503,721,620,294,39,850,882,725,79,513,910,36,830,77
508,816,740,619,0,28,602,710,671,671,195,439,729,760,703,434,800,721,432,745,437
932,109,815,855,0,18,999,606,790,782,255,984,1172,986,660,1002,902,1040,928,1052,828
999,247,474,580,0,62,996,408,706,662,179,1009,922,894,807,933,1038,1072,950,1042,836
973,122,634,644,0,28,1015,539,762,759,256,1003,670,907,751,985,802,1076,931,1102,851
1120,35,574,640,0,15,1021,201,458,809,216,912,1183,980,748,959,837,1007,894,1031,831
1111,91,199,430,0,26,1053,132,368,564,120,1027,782,875,840,950,1048,1077,949,1019,825
1117,45,472,397,0,39,1092,280,503,640,227,1006,355,809,721,1054,628,994,868,1138,840
767,1042,843,810,0,38,898,861,826,719,274,866,1124,837,741,864,601,755,784,984,712
1552,1552,1237,281,0,24,1525,602,882,853,275,0,53,1320,726,0,1246,1026,288,799,306
1403,1264,1364,1108,0,20,1430,1400,1278,762,250,1447,1412,1210,822,1447,1325,1228,1437,1256,1399
1224,1471,1,25,0,15,1550,1529,1330,1046,306,978,58,1015,423,541,1298,1108,779,827,617
1552,1495,1551,367,0,14,1133,6,132,476,84,809,35,1332,660,659,1422,1085,957,715,726
399,843,1011,871,0,50,140,671,874,364,214,7,994,286,930,9,849,1132,1452,1491,1452
890,1439,322,627,0,45,1012,559,941,303,83,956,1452,1310,369,1452,1450,885,1029,443,760
1469,1481,1437,1112,0,20,1452,1428,1170,782,310,1234,842,1256,728,1178,1375,1144,1246,999,1058
1048,1168,1113,908,0,10,1079,1126,1151,533,167,885,1370,902,568,1437,1350,1314,1452,1382,1451
755,950,933,747,0,29,849,926,908,757,286,843,1006,994,752,845,954,1049,862,1026,765
613,876,915,773,0,57,835,984,974,694,383,939,1021,1033,770,963,993,1078,951,998,865
1168,1086,1183,919,0,21,1259,1258,1092,697,251,1321,1185,1047,682,1320,1287,1239,1313,1239,1266
1093,1133,1107,954,0,22,1224,1170,1070,813,293,1285,1169,1095,720,1289,1090,1187,1277,1200,1162
85,514,618,508,0,21,28,334,693,633,253,8,624,1010,754,9,395,976,8,596,15
946,1409,11,41,0,11,1448,1426,1181,1048,262,990,169,896,377,727,902,713,7,283,9
545,917,911,794,0,54,560,861,918,726,222,286,944,978,690,265,818,1011,253,928,324
45,432,419,311,0,48,11,179,485,539,173,9,434,963,718,9,313,687,8,265,10
143,567,532,439,0,27,96,378,570,546,216,30,651,1005,720,35,471,854,14,564,34
867,996,932,843,0,17,1006,1003,922,720,237,1059,999,1009,710,1035,1028,1036,1044,1029,944
808,1038,928,844,0,33,965,973,938,766,219,987,1028,989,781,1009,957,1038,980,1048,885
712,727,691,726,0,64,742,705,720,708,357,753,717,755,728,754,706,739,754,734,729
783,962,828,736,0,21,981,900,737,924,416,996,988,947,824,1011,956,805,940,822,836
859,881,968,698,0,51,995,956,718,966,377,988,919,944,871,1021,952,855,961,837,841
810,979,902,731,0,46,965,951,713,935,430,986,969,930,915,964,798,822,977,1051,814
813,818,1002,762,0,50,962,982,750,1101,463,966,895,977,872,961,923,865,959,947,834
718,1114,658,712,0,17,954,745,742,744,206,980,996,925,786,1030,1014,832,980,826,840
858,1026,757,738,0,9,952,826,813,621,238,1025,531,937,801,1059,746,1160,859,1256,895
451,1079,589,525,0,43,553,659,791,692,293,129,885,987,888,145,677,1011,184,980,318
920,1225,884,819,0,41,1087,983,924,851,336,859,1068,1177,951,876,1036,1070,929,1043,903
947,1174,850,772,0,59,1116,990,921,837,293,854,1038,1165,921,857,998,1053,888,1062,891
