db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,894,917,1039,975,900,823,923,937,971,900,985,940,1015,898,934,919,862,865,871,904,732
alt_dust_v1.5_10yrs.db,317,743,643,676,746,646,358,585,744,759,933,217,742,960,1083,225,527,509,247,601,293
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,409,980,648,789,928,769,532,732,974,966,1030,108,1032,1136,1186,152,869,882,166,890,323
baseline_2snaps_v1.5_10yrs.db,335,679,647,587,671,553,350,618,658,749,736,173,691,789,850,166,638,693,200,779,255
baseline_samefilt_v1.5_10yrs.db,1326,91,54,829,543,577,1064,15,957,1049,932,1129,244,844,739,1088,38,162,1149,647,865
baseline_v1.5_10yrs.db,816,1000,980,972,892,657,985,996,997,942,896,1000,1011,1011,981,1015,1001,1002,1015,1012,867
bulges_bs_v1.5_10yrs.db,275,718,562,513,651,643,208,464,610,727,772,68,697,844,937,72,525,685,76,797,119
bulges_bulge_wfd_v1.5_10yrs.db,254,685,555,538,736,742,195,408,532,701,803,35,653,834,888,29,483,636,47,732,90
bulges_cadence_bs_v1.5_10yrs.db,281,680,534,539,701,667,203,451,660,754,826,58,755,908,883,59,535,597,84,715,108
bulges_cadence_bulge_wfd_v1.5_10yrs.db,223,713,492,540,755,734,207,365,564,726,732,37,697,913,905,31,461,591,57,697,92
bulges_cadence_i_heavy_v1.5_10yrs.db,254,677,469,468,685,656,187,363,534,720,772,31,671,812,854,66,503,677,48,706,71
bulges_i_heavy_v1.5_10yrs.db,220,686,482,488,647,626,169,387,509,668,802,30,706,804,922,71,482,590,31,674,69
daily_ddf_v1.5_10yrs.db,501,816,737,620,855,701,597,712,719,812,765,433,743,840,839,431,830,816,437,810,436
dcr_nham1_ug_v1.5_10yrs.db,926,136,997,1045,787,533,996,618,984,1165,1145,979,1131,933,952,1008,927,1003,939,1067,833
dcr_nham1_ugr_v1.5_10yrs.db,997,448,749,852,829,686,994,658,883,926,854,1009,925,1086,1058,934,1043,994,967,1047,835
dcr_nham1_ugri_v1.5_10yrs.db,971,273,883,938,794,742,1011,722,979,996,966,1001,837,1024,999,986,909,1012,947,1060,853
dcr_nham2_ug_v1.5_10yrs.db,1118,35,832,1024,835,621,1019,291,939,1177,1152,909,1134,976,988,959,844,936,905,1058,835
dcr_nham2_ugr_v1.5_10yrs.db,1110,180,501,798,861,623,1049,363,776,857,836,1025,856,1036,1052,947,1061,1038,961,1061,827
dcr_nham2_ugri_v1.5_10yrs.db,1116,82,727,839,696,699,1091,546,980,1010,1080,1006,759,1068,1073,1057,794,999,886,1101,840
descddf_v1.5_10yrs.db,764,1036,870,919,911,771,895,851,893,901,861,862,1103,891,920,864,633,737,797,951,714
filterdist_indx1_v1.5_10yrs.db,1552,1552,1395,955,1297,678,1525,937,1168,1295,1085,0,99,1329,1201,0,1243,1072,300,862,309
filterdist_indx2_v1.5_10yrs.db,1403,1220,1348,1281,1086,838,1430,1370,1353,1247,1109,1447,1394,1285,1218,1447,1332,1195,1439,1270,1399
filterdist_indx3_v1.5_10yrs.db,1224,1458,16,94,839,453,1550,1466,1448,1394,1123,978,152,1040,757,549,1303,1190,794,957,621
filterdist_indx4_v1.5_10yrs.db,1552,1468,1514,1121,1402,869,1133,3,152,941,805,809,144,1293,1119,666,1433,1274,982,889,734
filterdist_indx5_v1.5_10yrs.db,399,852,993,933,1157,1361,140,744,824,803,1174,7,906,647,1193,9,842,944,1452,1461,1452
filterdist_indx6_v1.5_10yrs.db,890,1408,455,1098,903,484,1012,679,1186,749,562,956,1452,1190,761,1452,1451,1198,1048,733,764
filterdist_indx7_v1.5_10yrs.db,1469,1454,1440,1346,1257,761,1452,1426,1359,1210,1035,1234,875,1222,1105,1180,1368,1217,1257,1097,1065
filterdist_indx8_v1.5_10yrs.db,1048,1162,1153,1090,1136,953,1079,1143,1251,1083,1116,885,1351,1081,1053,1438,1379,1271,1452,1405,1451
footprint_add_mag_cloudsv1.5_10yrs.db,752,921,895,830,841,678,845,876,914,959,868,839,969,941,952,848,937,969,882,1059,768
