db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,61,109,58,48,129,59,57,59,58,78,121,56,50,60,84,52,45,37,52,53,55
alt_dust_v1.5_10yrs.db,3,16,5,4,58,69,6,4,4,13,68,3,5,6,31,1,2,2,4,3,5
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,1,27,3,5,76,54,5,6,7,19,74,2,8,9,33,3,3,3,2,6,4
baseline_2snaps_v1.5_10yrs.db,31,84,45,43,116,78,28,46,48,56,83,22,41,49,67,17,33,30,20,46,28
baseline_samefilt_v1.5_10yrs.db,84,22,7,133,47,51,63,0,73,105,120,58,23,80,61,56,0,5,60,47,54
baseline_v1.5_10yrs.db,53,99,59,60,127,66,58,58,56,82,110,57,56,62,66,57,57,55,56,56,56
bulges_bs_v1.5_10yrs.db,1,12,4,2,46,50,3,7,8,22,60,5,8,12,49,3,6,9,2,10,4
bulges_bulge_wfd_v1.5_10yrs.db,8,35,13,8,37,78,7,17,9,22,78,2,35,34,52,2,10,12,6,32,5
bulges_cadence_bs_v1.5_10yrs.db,2,11,6,6,21,39,3,6,8,17,45,2,10,9,25,1,3,4,1,8,2
bulges_cadence_bulge_wfd_v1.5_10yrs.db,5,25,19,20,66,72,15,15,3,12,53,9,33,19,54,4,7,7,6,35,7
bulges_cadence_i_heavy_v1.5_10yrs.db,2,31,4,15,46,55,3,4,8,16,53,1,31,9,25,39,11,6,0,9,3
bulges_i_heavy_v1.5_10yrs.db,3,24,2,26,61,59,2,2,10,18,56,0,32,10,24,38,23,20,1,9,3
daily_ddf_v1.5_10yrs.db,43,100,42,50,153,74,48,49,59,75,99,33,50,56,79,30,38,39,34,48,41
dcr_nham1_ug_v1.5_10yrs.db,62,60,65,74,146,47,64,54,67,94,111,60,69,61,79,58,48,52,56,62,55
dcr_nham1_ugr_v1.5_10yrs.db,62,77,55,55,141,102,51,44,53,82,101,57,55,70,91,54,51,46,49,57,48
dcr_nham1_ugri_v1.5_10yrs.db,59,65,51,63,112,76,60,52,60,78,110,53,45,58,60,56,43,51,52,61,54
dcr_nham2_ug_v1.5_10yrs.db,61,32,44,62,128,72,56,28,53,79,88,51,62,55,57,53,37,47,48,58,57
