db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,61,88,55,33,0,0,57,62,78,64,20,56,62,61,41,52,47,36,52,54,55
alt_dust_v1.5_10yrs.db,3,16,8,10,0,5,6,7,12,35,19,3,7,11,24,1,5,10,4,9,5
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,1,24,6,8,0,5,5,7,14,43,8,2,8,26,45,3,4,6,2,9,4
baseline_2snaps_v1.5_10yrs.db,31,72,42,37,0,3,28,49,62,58,21,22,45,48,53,17,37,33,20,54,28
baseline_samefilt_v1.5_10yrs.db,84,0,0,10,0,3,63,0,5,47,3,58,0,17,27,56,0,0,60,0,54
baseline_v1.5_10yrs.db,53,94,61,48,0,0,58,57,63,74,13,57,54,66,49,57,57,54,56,58,56
bulges_bs_v1.5_10yrs.db,1,13,4,5,0,1,3,8,17,29,13,5,8,15,44,3,6,14,2,11,4
bulges_bulge_wfd_v1.5_10yrs.db,8,34,15,16,0,16,7,19,31,40,17,2,40,38,74,2,6,9,6,33,5
bulges_cadence_bs_v1.5_10yrs.db,2,9,7,5,0,7,3,8,17,16,15,2,11,18,41,1,3,8,1,9,2
bulges_cadence_bulge_wfd_v1.5_10yrs.db,5,15,21,15,0,0,15,30,26,33,16,9,38,20,34,4,11,16,6,41,7
bulges_cadence_i_heavy_v1.5_10yrs.db,2,27,5,7,0,2,3,3,18,43,24,1,32,21,43,39,14,11,0,10,3
bulges_i_heavy_v1.5_10yrs.db,3,21,5,13,0,5,2,9,20,32,17,0,35,31,38,38,24,19,1,11,3
daily_ddf_v1.5_10yrs.db,43,100,37,28,0,3,48,50,56,64,27,33,48,53,65,30,37,44,34,59,41
dcr_nham1_ug_v1.5_10yrs.db,62,50,56,50,0,0,64,62,82,67,13,60,74,68,52,58,46,49,56,66,55
dcr_nham1_ugr_v1.5_10yrs.db,62,43,46,33,0,8,51,38,69,74,9,57,55,61,63,54,51,52,49,60,48
dcr_nham1_ugri_v1.5_10yrs.db,59,40,44,36,0,0,60,46,69,68,28,53,48,46,66,56,36,48,52,66,54
dcr_nham2_ug_v1.5_10yrs.db,61,24,30,36,0,0,56,25,59,63,15,51,67,57,52,53,40,43,48,65,57
dcr_nham2_ugr_v1.5_10yrs.db,64,39,15,23,0,0,55,22,49,60,5,58,48,54,63,50,50,47,53,61,50
dcr_nham2_ugri_v1.5_10yrs.db,62,35,30,17,0,1,62,28,67,55,14,55,29,53,39,55,35,49,52,69,53
descddf_v1.5_10yrs.db,49,91,48,27,0,0,53,56,65,65,19,51,62,55,44,49,33,39,44,60,50
filterdist_indx1_v1.5_10yrs.db,195,195,164,16,0,8,187,108,155,99,30,0,5,161,103,0,157,125,50,139,65
filterdist_indx2_v1.5_10yrs.db,179,157,178,131,0,0,178,181,181,97,24,181,180,151,97,181,171,146,180,175,179
filterdist_indx3_v1.5_10yrs.db,156,184,0,3,0,0,195,194,182,126,27,143,12,118,43,98,170,131,135,153,120
filterdist_indx4_v1.5_10yrs.db,195,185,194,35,0,0,148,2,39,61,7,127,7,164,96,99,178,125,136,129,136
filterdist_indx5_v1.5_10yrs.db,55,98,140,62,0,2,23,127,140,50,29,0,150,39,101,2,113,138,181,188,181
filterdist_indx6_v1.5_10yrs.db,122,180,58,50,0,0,135,107,153,41,4,141,181,161,39,181,181,119,152,117,136
filterdist_indx7_v1.5_10yrs.db,181,183,179,123,0,0,181,181,168,78,17,172,137,158,70,161,177,157,172,171,165
filterdist_indx8_v1.5_10yrs.db,146,146,150,89,0,1,147,164,168,71,11,135,178,109,58,181,174,166,181,179,181
footprint_add_mag_cloudsv1.5_10yrs.db,55,88,64,41,0,0,52,61,75,83,34,55,58,62,86,53,46,48,53,66,49
footprint_big_sky_dustv1.5_10yrs.db,2,9,9,9,0,0,5,9,12,22,11,7,8,11,14,5,8,8,6,8,6
footprint_big_sky_nouiyv1.5_10yrs.db,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0
footprint_big_skyv1.5_10yrs.db,0,0,0,0,0,0,0,4,1,18,0,0,0,3,0,0,0,0,0,0,0
footprint_big_wfdv1.5_10yrs.db,7,51,35,19,0,0,2,39,65,68,12,0,45,51,43,1,20,47,0,49,3
footprint_bluer_footprintv1.5_10yrs.db,62,108,1,3,0,0,91,87,77,84,8,51,8,38,30,45,46,37,0,23,0
footprint_gp_smoothv1.5_10yrs.db,111,124,179,95,0,3,107,190,193,111,22,82,174,124,83,62,129,146,61,182,100
footprint_newAv1.5_10yrs.db,2,43,51,15,0,7,0,20,107,42,12,0,71,109,77,0,14,47,0,35,0
footprint_newBv1.5_10yrs.db,0,21,31,10,0,0,0,21,61,36,17,0,61,93,57,0,8,40,0,24,0
footprint_no_gp_northv1.5_10yrs.db,40,81,37,33,0,0,42,49,61,42,4,40,49,53,39,43,40,37,42,54,39
footprint_standard_goalsv1.5_10yrs.db,53,92,59,46,0,0,57,62,78,62,17,58,59,54,78,55,51,49,56,66,56
footprint_stuck_rollingv1.5_10yrs.db,34,49,31,31,0,0,35,31,35,46,16,33,32,37,50,33,29,31,35,30,34
