uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
240,240,239,234,170,59,252,254,249,242,189,253,252,243,192,254,254,235,253,239,239
223,223,223,209,108,69,250,252,247,205,162,251,250,235,191,252,252,222,252,223,223
223,223,223,213,118,54,252,252,248,236,169,252,252,249,215,252,252,222,252,223,222
241,241,239,233,166,78,254,252,246,232,174,254,253,241,196,252,252,235,253,239,241
240,228,225,224,52,51,254,244,245,209,147,252,245,232,166,254,243,216,253,234,240
240,240,239,230,166,66,253,252,245,228,185,253,250,240,201,253,254,236,253,237,240
221,222,220,174,75,50,252,252,243,202,145,252,252,247,210,252,251,223,251,223,223
221,221,222,172,79,78,250,250,247,233,181,251,250,248,215,251,251,223,250,223,223
222,222,222,156,56,39,251,252,247,191,133,251,249,247,193,252,252,221,252,222,223
221,222,221,182,110,72,252,252,245,213,163,252,250,243,198,252,252,223,250,223,223
222,222,223,179,92,55,251,252,247,212,142,252,251,245,200,252,252,223,252,223,223
223,223,222,174,109,59,252,252,246,220,153,252,251,242,197,252,252,223,252,223,223
241,240,239,233,195,74,253,252,246,242,187,253,253,241,209,253,254,237,254,240,240
240,240,241,234,189,47,253,252,246,237,194,253,250,240,207,254,254,235,253,238,239
240,239,239,235,185,102,251,251,247,236,184,252,253,240,198,254,254,235,253,239,240
241,241,240,233,154,76,254,254,247,231,204,253,253,232,215,254,254,237,254,239,239
240,241,239,236,173,72,252,252,246,237,156,253,253,241,171,252,253,235,252,239,239
239,239,240,234,184,71,250,250,248,230,183,252,251,237,197,254,254,237,253,240,240
239,240,239,233,155,96,253,254,247,241,197,253,251,244,215,252,253,234,253,239,239
241,241,240,234,181,49,253,252,248,230,161,252,252,237,185,253,253,234,253,239,239
195,195,195,193,171,58,195,195,195,192,174,195,195,194,192,195,195,195,195,195,195
195,195,195,195,173,89,195,195,195,192,182,195,195,195,194,195,195,195,195,195,195
195,195,195,195,154,50,195,195,195,193,176,195,195,195,188,195,195,195,195,195,195
195,195,195,195,182,83,195,195,195,193,166,195,195,195,194,195,195,195,195,195,195
195,195,195,195,167,153,195,195,195,194,186,195,195,195,193,195,195,195,195,195,195
195,195,195,195,156,39,195,195,195,191,139,195,195,195,191,195,195,195,195,195,195
195,195,195,195,182,74,195,195,195,194,175,195,195,195,194,195,195,195,195,195,195
195,195,195,195,163,96,195,195,195,191,177,195,195,195,187,195,195,195,195,195,195
239,239,239,233,191,71,252,253,248,246,185,252,251,246,213,252,253,234,253,240,241
67,67,66,55,24,14,66,68,59,43,43,70,70,59,55,71,72,62,71,71,73
1,1,1,0,0,0,38,39,0,18,0,39,1,33,0,1,1,0,39,1,1
1,1,1,0,0,0,38,38,37,34,0,38,38,36,0,38,38,0,38,1,1
248,248,248,244,177,93,254,254,251,247,191,254,254,250,206,254,254,246,254,247,248
239,240,237,232,152,34,253,254,246,235,171,253,250,245,222,253,253,236,253,240,240
240,241,240,237,184,85,253,254,251,245,201,254,254,246,232,254,254,236,254,241,241
250,250,250,250,174,51,252,252,250,247,212,252,252,246,238,251,249,249,249,249,252
250,250,250,246,139,55,250,252,249,239,195,251,252,245,230,252,252,249,251,251,251
209,209,208,207,141,45,222,222,219,216,168,222,221,216,183,222,222,207,221,208,209
240,241,239,234,183,74,253,252,247,243,188,253,253,242,207,254,254,235,254,240,240
240,241,238,229,122,55,252,251,246,206,142,252,253,240,173,252,252,235,253,241,240
239,240,239,235,163,81,252,252,249,233,201,252,253,242,198,253,253,234,253,238,240
239,240,237,230,176,82,253,251,244,240,212,252,251,240,219,254,254,235,253,239,241
239,239,240,232,170,84,252,252,247,220,172,253,252,239,215,253,252,236,253,240,240
240,241,239,230,137,72,252,253,246,240,183,252,250,226,198,252,253,235,253,239,240
240,241,238,234,164,59,254,254,247,232,160,254,252,241,209,254,254,235,254,241,240
241,241,241,236,165,71,252,253,249,236,185,254,252,236,190,253,254,235,253,238,238
221,222,222,208,95,58,251,252,249,230,173,252,251,247,207,252,252,223,251,223,223
240,240,239,236,168,39,252,253,247,234,177,253,252,241,208,254,254,234,254,240,239
241,240,240,228,143,49,253,253,247,236,184,254,251,243,205,254,254,236,254,239,241
239,240,239,232,114,36,253,253,247,227,179,253,251,241,202,253,252,236,254,239,240
240,241,236,233,145,88,253,250,246,240,180,253,252,243,190,253,252,234,253,240,241
238,241,237,233,178,87,252,253,248,230,163,252,252,241,187,252,253,237,252,239,240
239,239,239,232,143,79,252,251,246,234,180,252,250,246,221,254,254,232,252,237,239
241,241,240,219,136,60,253,251,244,224,168,253,250,237,190,253,253,233,254,239,240
239,239,237,227,152,47,253,250,242,226,148,254,253,229,162,254,252,232,253,237,240
241,240,239,217,120,45,254,251,240,181,125,253,247,202,158,253,252,233,253,236,240
241,239,237,206,107,30,253,253,236,216,145,254,251,238,178,253,252,227,254,240,241
240,240,240,234,158,50,253,253,246,240,201,253,252,236,206,254,254,234,254,240,241
240,240,239,235,163,63,253,253,249,241,194,254,253,239,207,254,253,235,252,239,240
240,240,239,230,166,66,253,252,245,228,185,253,250,240,201,253,254,236,253,237,240
240,239,239,234,165,65,252,253,247,239,170,253,252,239,188,253,253,235,253,240,240
240,239,240,235,166,40,252,253,247,223,172,254,250,238,198,254,254,237,254,240,241
239,240,240,234,185,72,254,254,246,240,186,253,251,244,197,253,254,234,253,235,239
241,241,240,233,179,84,254,254,247,223,183,254,251,224,215,253,254,235,253,240,241
240,241,221,236,109,68,252,239,249,153,125,254,251,244,183,254,253,180,254,238,241
241,241,233,215,152,47,254,250,236,192,128,254,247,211,148,254,250,225,254,238,240
240,240,236,216,170,58,253,253,238,192,125,254,250,193,193,254,253,227,253,239,240
240,240,239,207,132,56,252,252,226,211,136,253,250,227,166,253,253,232,253,235,240
236,238,236,193,102,16,254,254,244,236,185,254,251,237,200,253,253,235,253,239,239
241,240,241,232,182,126,251,252,244,234,176,254,249,244,216,252,251,234,254,239,241
240,241,239,235,172,97,254,254,246,232,162,254,254,246,217,253,253,238,253,240,241
241,241,240,234,172,57,254,253,247,237,167,254,254,242,213,253,253,236,254,240,241
240,241,240,234,167,73,254,254,247,241,166,253,252,243,207,254,254,237,254,240,241
240,240,240,235,184,94,254,253,246,237,175,254,253,243,210,253,253,235,254,239,241
240,240,240,233,175,105,253,253,245,238,206,253,253,244,203,253,253,237,253,240,241
240,240,240,235,180,89,253,254,245,231,179,253,251,241,220,254,254,234,254,240,241
241,240,241,235,173,114,254,252,246,239,203,253,253,240,222,254,254,236,254,240,240
241,241,241,234,175,83,254,253,247,242,209,253,250,243,218,254,254,238,254,240,241
240,240,239,234,179,86,253,254,248,228,187,254,254,244,203,254,254,237,254,241,241
241,241,241,235,192,49,253,254,247,241,191,254,253,243,204,254,254,235,254,239,241
240,239,239,237,193,68,253,253,247,241,182,253,253,243,212,252,252,235,252,240,240
240,241,239,234,178,59,252,253,247,229,179,253,252,239,203,253,254,234,254,238,239
240,240,239,232,164,70,253,253,247,224,164,253,252,223,175,252,253,234,254,239,240
240,241,237,230,169,76,253,252,247,226,168,252,253,241,200,253,253,235,253,239,239
239,239,232,200,139,69,252,251,244,209,168,250,250,222,171,249,249,233,249,238,240
238,240,236,193,118,41,251,251,239,185,140,250,249,237,172,250,252,226,249,238,238
