db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,52,51,49,27,0,0,50,55,62,41,14,48,57,54,35,45,44,32,46,48,50
alt_dust_v1.5_10yrs.db,1,5,4,6,0,0,3,6,8,5,3,2,6,7,9,1,1,7,3,6,4
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0,6,4,5,0,3,3,6,7,8,2,1,6,8,7,2,3,6,1,8,3
baseline_2snaps_v1.5_10yrs.db,27,37,36,30,0,1,24,44,51,25,15,19,39,43,36,15,30,29,17,46,24
baseline_samefilt_v1.5_10yrs.db,64,0,0,3,0,2,56,0,4,11,3,51,0,5,23,49,0,0,55,0,48
baseline_v1.5_10yrs.db,47,49,51,42,0,0,51,52,50,33,11,51,51,49,32,51,51,50,51,51,52
bulges_bs_v1.5_10yrs.db,1,7,3,3,0,0,3,8,14,10,10,5,8,11,16,3,6,12,2,11,4
bulges_bulge_wfd_v1.5_10yrs.db,2,12,4,5,0,0,3,9,13,15,5,1,13,16,12,1,4,7,4,13,3
bulges_cadence_bs_v1.5_10yrs.db,2,8,7,5,0,4,3,8,16,7,10,2,11,15,23,1,3,7,1,9,2
bulges_cadence_bulge_wfd_v1.5_10yrs.db,2,10,2,2,0,0,2,7,12,16,9,2,11,9,14,2,4,8,3,12,2
bulges_cadence_i_heavy_v1.5_10yrs.db,2,11,2,3,0,0,3,3,14,14,11,1,8,6,18,7,1,9,0,10,3
bulges_i_heavy_v1.5_10yrs.db,2,6,5,7,0,3,2,8,11,14,12,0,9,10,26,6,3,9,1,11,3
daily_ddf_v1.5_10yrs.db,39,53,31,24,0,2,43,45,48,33,18,28,42,43,46,28,36,42,30,54,34
dcr_nham1_ug_v1.5_10yrs.db,53,17,49,37,0,0,56,55,65,49,11,53,63,53,40,52,40,41,48,61,47
dcr_nham1_ugr_v1.5_10yrs.db,55,18,36,25,0,7,46,33,54,27,8,50,51,44,50,49,46,44,43,53,45
dcr_nham1_ugri_v1.5_10yrs.db,49,16,31,31,0,0,54,42,56,34,16,45,43,37,47,47,30,43,44,62,47
