db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,70,61,69,69,56,26,79,72,75,67,55,88,84,80,72,89,82,76,87,81,85
alt_dust_v1.5_10yrs.db,8,5,8,8,9,8,9,9,8,4,3,13,12,10,12,13,10,8,13,10,12
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,6,6,6,6,8,8,9,9,9,6,8,13,12,9,9,13,10,10,13,12,13
baseline_2snaps_v1.5_10yrs.db,69,54,70,68,48,31,72,69,72,59,32,88,82,72,62,89,79,75,88,80,86
baseline_samefilt_v1.5_10yrs.db,78,12,34,68,19,9,78,44,73,42,45,89,73,70,53,90,34,49,87,78,85
baseline_v1.5_10yrs.db,68,59,69,73,52,27,76,71,73,62,52,89,82,74,70,90,79,79,86,82,83
bulges_bs_v1.5_10yrs.db,20,10,17,16,31,29,30,23,23,16,22,52,48,35,32,59,38,29,49,40,56
bulges_bulge_wfd_v1.5_10yrs.db,21,14,20,15,16,17,32,25,22,17,24,54,47,36,33,62,36,27,53,36,52
bulges_cadence_bs_v1.5_10yrs.db,20,10,21,18,15,23,29,24,23,15,22,53,47,33,31,61,34,28,55,45,53
bulges_cadence_bulge_wfd_v1.5_10yrs.db,21,14,20,16,32,26,28,24,25,11,15,56,51,38,39,65,33,32,57,44,59
bulges_cadence_i_heavy_v1.5_10yrs.db,24,13,21,21,18,25,30,25,24,14,16,56,50,28,26,68,32,28,55,34,52
bulges_i_heavy_v1.5_10yrs.db,21,11,18,17,18,27,30,25,22,10,23,52,48,35,29,65,30,28,51,36,52
daily_ddf_v1.5_10yrs.db,69,59,68,70,61,26,76,70,72,60,48,86,82,77,67,88,78,75,88,82,84
dcr_nham1_ug_v1.5_10yrs.db,71,27,70,75,50,20,77,72,75,69,65,89,85,77,69,89,81,80,86,83,85
dcr_nham1_ugr_v1.5_10yrs.db,70,45,72,72,61,37,77,72,74,61,40,89,84,78,74,89,81,76,89,83,86
dcr_nham1_ugri_v1.5_10yrs.db,73,31,71,71,54,37,79,71,73,63,46,89,83,77,71,89,80,79,87,83,84
dcr_nham2_ug_v1.5_10yrs.db,72,7,71,73,53,39,76,72,73,57,54,88,85,75,64,89,79,78,89,83,85
dcr_nham2_ugr_v1.5_10yrs.db,71,22,69,74,64,42,77,72,77,54,44,89,83,80,71,90,82,77,89,82,86
dcr_nham2_ugri_v1.5_10yrs.db,70,16,70,72,38,28,78,71,74,67,50,89,83,78,72,89,77,79,88,83,85
descddf_v1.5_10yrs.db,72,64,71,72,61,26,77,73,73,62,44,89,83,77,63,89,80,79,88,83,86
filterdist_indx1_v1.5_10yrs.db,88,84,76,61,66,29,86,71,70,68,47,86,76,77,69,87,82,80,87,81,83
filterdist_indx2_v1.5_10yrs.db,73,59,74,73,66,47,81,77,72,66,56,89,83,77,65,91,81,80,89,82,86
filterdist_indx3_v1.5_10yrs.db,71,75,36,47,46,20,87,83,76,65,54,88,77,66,56,90,81,78,87,80,84
filterdist_indx4_v1.5_10yrs.db,89,72,86,68,73,31,76,62,56,55,38,88,74,78,68,88,84,82,88,82,85
filterdist_indx5_v1.5_10yrs.db,67,51,72,70,56,65,73,73,72,39,54,86,84,69,70,88,80,76,91,88,90
filterdist_indx6_v1.5_10yrs.db,70,64,69,71,60,13,78,69,72,48,26,88,84,74,54,91,84,82,88,81,86
filterdist_indx7_v1.5_10yrs.db,83,73,80,74,72,32,83,78,74,62,50,89,82,77,64,89,82,79,88,81,83
filterdist_indx8_v1.5_10yrs.db,71,58,71,70,61,39,77,73,74,59,56,89,83,73,66,90,82,81,91,83,88
footprint_add_mag_cloudsv1.5_10yrs.db,70,60,71,71,62,31,74,74,76,57,42,89,84,75,71,89,80,78,89,83,87
footprint_big_sky_dustv1.5_10yrs.db,7,5,10,9,6,5,10,10,9,7,5,13,13,10,7,14,10,8,13,12,13
footprint_big_sky_nouiyv1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
footprint_big_skyv1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
footprint_big_wfdv1.5_10yrs.db,77,46,76,61,41,36,86,84,79,61,55,102,98,88,74,105,93,90,105,97,100
footprint_bluer_footprintv1.5_10yrs.db,71,72,43,48,33,7,87,84,76,60,38,89,79,73,52,90,81,80,84,80,82
footprint_gp_smoothv1.5_10yrs.db,70,47,70,64,62,32,75,73,70,58,40,88,83,74,65,88,79,77,87,82,83
footprint_newAv1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
footprint_newBv1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
footprint_no_gp_northv1.5_10yrs.db,66,53,67,64,45,21,71,68,68,58,35,82,78,70,59,81,75,70,80,76,79
footprint_standard_goalsv1.5_10yrs.db,72,62,73,70,62,40,78,75,74,65,50,90,84,77,70,90,81,75,88,82,85
footprint_stuck_rollingv1.5_10yrs.db,29,27,29,30,40,32,34,30,31,33,40,39,55,42,46,46,35,41,40,54,40
goodseeing_gi_v1.5_10yrs.db,72,63,71,74,59,30,78,73,73,66,64,89,83,77,76,89,81,77,88,82,84
goodseeing_gri_v1.5_10yrs.db,73,60,73,71,59,35,78,72,74,72,69,88,83,80,80,89,82,82,88,83,85
