db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,784,678,775,705,0,45,654,652,655,764,234,648,756,603,366,602,554,436,618,528,614
alt_dust_v1.5_10yrs.db,233,648,704,867,0,39,147,619,923,1014,508,78,755,968,815,92,585,926,117,836,191
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,334,917,695,955,0,55,327,757,1055,1081,492,40,936,1151,1061,58,734,1103,89,959,222
baseline_2snaps_v1.5_10yrs.db,238,407,414,449,0,26,155,396,455,734,200,52,446,567,427,58,381,454,92,473,161
baseline_samefilt_v1.5_10yrs.db,1291,0,0,49,0,128,887,0,10,321,187,964,0,58,346,893,0,0,1015,0,745
baseline_v1.5_10yrs.db,716,730,733,697,0,24,733,721,696,760,303,740,734,767,527,743,723,699,736,718,739
bulges_bs_v1.5_10yrs.db,202,454,377,419,0,26,84,276,408,708,252,15,439,656,426,22,284,470,24,547,79
bulges_bulge_wfd_v1.5_10yrs.db,190,428,413,445,0,40,76,246,429,683,246,5,419,656,442,6,250,446,15,507,54
bulges_cadence_bs_v1.5_10yrs.db,206,464,376,439,0,65,76,276,461,633,260,11,433,614,432,13,288,460,26,488,54
bulges_cadence_bulge_wfd_v1.5_10yrs.db,165,463,334,421,0,45,78,214,421,572,184,10,416,629,387,11,230,447,18,487,46
bulges_cadence_i_heavy_v1.5_10yrs.db,187,417,321,347,0,15,70,226,377,707,277,7,441,586,453,42,285,491,12,463,44
bulges_i_heavy_v1.5_10yrs.db,156,426,307,423,0,17,62,235,421,614,286,5,499,627,471,45,265,437,10,494,40
daily_ddf_v1.5_10yrs.db,409,561,489,466,0,19,350,436,456,663,186,199,497,539,432,210,525,433,226,503,335
dcr_nham1_ug_v1.5_10yrs.db,819,41,554,678,0,10,773,338,543,778,246,697,957,695,427,725,605,715,688,793,688
dcr_nham1_ugr_v1.5_10yrs.db,898,122,244,406,0,53,744,230,452,654,171,743,637,669,549,631,738,704,695,728,707
dcr_nham1_ugri_v1.5_10yrs.db,901,40,366,474,0,20,760,287,482,751,247,728,366,670,471,722,477,743,678,805,715
dcr_nham2_ug_v1.5_10yrs.db,1055,8,361,476,0,6,795,83,249,805,207,616,1003,768,486,640,547,662,657,763,717
dcr_nham2_ugr_v1.5_10yrs.db,1021,28,93,294,0,17,821,49,188,557,111,750,499,609,625,633,815,741,685,731,658
dcr_nham2_ugri_v1.5_10yrs.db,1049,15,287,250,0,31,858,132,295,632,218,759,150,534,444,768,340,665,628,876,689
descddf_v1.5_10yrs.db,676,771,582,629,0,31,630,587,591,712,268,564,868,603,489,532,351,447,524,701,584
filterdist_indx1_v1.5_10yrs.db,1552,1552,1067,207,0,24,1521,332,608,853,275,0,7,1195,467,0,954,645,140,471,217
filterdist_indx2_v1.5_10yrs.db,1367,1050,1224,951,0,20,1399,1274,1097,762,250,1426,1262,1013,517,1424,1126,915,1417,1013,1368
filterdist_indx3_v1.5_10yrs.db,1164,1453,0,12,0,15,1549,1494,1183,1046,306,642,7,777,236,271,1090,737,522,518,460
filterdist_indx4_v1.5_10yrs.db,1552,1472,1547,258,0,14,897,1,51,476,84,476,6,1208,374,353,1338,752,705,435,577
filterdist_indx5_v1.5_10yrs.db,292,531,686,684,0,50,48,356,609,364,214,4,613,139,664,2,474,732,1452,1468,1452
filterdist_indx6_v1.5_10yrs.db,767,1401,143,437,0,45,730,309,673,303,83,622,1448,1145,211,1452,1433,527,751,231,631
filterdist_indx7_v1.5_10yrs.db,1463,1463,1406,944,0,20,1452,1348,955,782,310,971,441,1059,482,896,1198,821,1039,717,936
filterdist_indx8_v1.5_10yrs.db,930,931,837,742,0,10,771,803,912,533,167,574,1153,648,286,1398,1162,1027,1452,1250,1451
footprint_add_mag_cloudsv1.5_10yrs.db,636,647,656,560,0,20,591,636,640,752,279,539,713,764,482,530,630,651,610,729,622
footprint_big_sky_dustv1.5_10yrs.db,523,584,641,611,0,51,563,701,751,687,375,673,788,851,484,651,675,712,715,691,711
footprint_big_sky_nouiyv1.5_10yrs.db,1117,866,987,782,0,13,1172,1062,859,691,245,1282,1020,890,422,1283,1145,1004,1276,1082,1222
footprint_big_skyv1.5_10yrs.db,1021,914,883,800,0,14,1107,957,863,808,286,1200,1008,921,464,1195,838,874,1191,1024,1083
footprint_big_wfdv1.5_10yrs.db,57,232,324,341,0,14,4,136,362,625,245,0,271,698,425,0,152,467,0,252,4
footprint_bluer_footprintv1.5_10yrs.db,844,1376,0,15,0,2,1446,1400,1013,1044,253,727,65,664,215,428,567,396,0,105,0
footprint_gp_smoothv1.5_10yrs.db,440,570,629,585,0,46,292,491,605,723,215,101,577,710,399,98,512,611,124,576,229
footprint_newAv1.5_10yrs.db,17,176,197,178,0,39,1,53,207,530,164,0,140,664,374,0,124,228,0,67,0
footprint_newBv1.5_10yrs.db,99,280,268,286,0,18,29,153,269,537,207,5,299,678,400,4,212,413,3,243,18
footprint_no_gp_northv1.5_10yrs.db,769,737,703,670,0,9,785,714,679,714,230,834,747,750,416,812,712,712,825,716,823
footprint_standard_goalsv1.5_10yrs.db,693,732,676,656,0,25,707,715,688,758,211,735,744,757,479,735,679,696,748,742,749
footprint_stuck_rollingv1.5_10yrs.db,699,683,670,695,0,55,729,678,693,702,349,734,688,719,624,738,676,705,739,706,714
goodseeing_gi_v1.5_10yrs.db,659,646,555,552,0,13,716,569,464,918,410,707,709,678,565,756,661,461,707,534,686
