db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,451,534,708,789,900,823,392,477,710,736,985,192,677,745,841,190,411,596,159,532,202
alt_dust_v1.5_10yrs.db,92,398,301,483,746,646,65,151,433,595,933,10,358,748,999,10,167,273,16,251,27
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,144,655,340,584,928,769,183,299,681,803,1030,5,716,1028,1121,8,420,555,16,502,44
baseline_2snaps_v1.5_10yrs.db,82,315,325,404,671,553,63,178,355,571,736,6,267,613,750,4,234,408,8,384,13
baseline_samefilt_v1.5_10yrs.db,1222,45,26,728,543,577,734,4,785,1017,932,566,108,690,647,498,12,72,637,302,308
baseline_v1.5_10yrs.db,405,613,624,766,892,657,479,480,710,762,896,217,658,869,896,222,579,747,250,698,267
bulges_bs_v1.5_10yrs.db,55,327,234,355,651,643,29,108,279,544,772,0,252,668,840,2,155,405,0,366,4
bulges_bulge_wfd_v1.5_10yrs.db,59,310,217,341,736,742,21,84,230,518,803,0,209,637,769,0,137,348,0,322,3
bulges_cadence_bs_v1.5_10yrs.db,61,306,194,353,701,667,24,105,327,570,826,0,277,691,797,0,180,344,1,328,8
bulges_cadence_bulge_wfd_v1.5_10yrs.db,57,326,183,349,755,734,26,62,276,557,732,0,232,718,780,0,112,328,1,308,3
bulges_cadence_i_heavy_v1.5_10yrs.db,58,298,179,289,685,656,22,73,238,560,772,2,266,623,736,37,153,382,0,322,0
bulges_i_heavy_v1.5_10yrs.db,45,278,172,293,647,626,11,66,212,502,802,0,261,641,817,37,132,329,0,282,2
daily_ddf_v1.5_10yrs.db,190,453,397,442,855,701,164,281,444,634,765,24,425,676,739,31,410,564,28,475,75
dcr_nham1_ug_v1.5_10yrs.db,502,47,645,891,787,533,503,204,665,999,1145,196,836,767,837,210,470,699,222,736,246
dcr_nham1_ugr_v1.5_10yrs.db,577,182,404,661,829,686,494,240,625,759,854,219,589,888,968,185,565,736,204,695,257
dcr_nham1_ugri_v1.5_10yrs.db,570,88,500,722,794,742,496,270,732,819,966,225,454,856,919,238,456,758,212,749,265
dcr_nham2_ug_v1.5_10yrs.db,820,8,451,876,835,621,526,84,669,1030,1152,175,845,802,902,195,401,667,222,753,245
dcr_nham2_ugr_v1.5_10yrs.db,792,55,228,626,861,623,595,111,492,653,836,250,487,874,962,189,652,794,205,732,217
dcr_nham2_ugri_v1.5_10yrs.db,796,20,374,663,696,699,583,142,738,836,1080,222,387,882,980,248,348,714,188,773,222
descddf_v1.5_10yrs.db,340,638,513,717,911,771,381,371,587,709,861,134,690,743,828,125,303,482,140,594,181
