uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
1458,1457,1457,1433,1238,707,1458,1458,1447,1416,1334,1459,1459,1439,1418,1461,1463,1449,1461,1458,1460
1471,1472,1462,1436,1150,502,1473,1472,1443,1422,1341,1478,1475,1439,1432,1477,1475,1445,1478,1476,1475
1471,1475,1468,1443,1229,649,1475,1475,1448,1427,1363,1478,1478,1445,1429,1478,1472,1447,1477,1473,1475
1458,1458,1456,1427,1117,467,1459,1460,1443,1419,1306,1461,1459,1436,1413,1459,1458,1449,1458,1458,1459
1455,1378,1392,1379,531,487,1457,1421,1404,1289,1053,1461,1440,1416,1363,1460,1440,1425,1459,1445,1458
1458,1458,1456,1435,1212,584,1458,1459,1447,1417,1309,1459,1461,1436,1418,1460,1460,1448,1460,1459,1460
1453,1454,1452,1385,990,465,1454,1455,1420,1354,1230,1458,1459,1428,1392,1460,1461,1438,1459,1459,1458
1458,1459,1454,1389,1066,520,1458,1458,1430,1378,1243,1459,1456,1421,1400,1455,1457,1446,1459,1459,1458
1451,1456,1452,1378,1040,491,1457,1456,1431,1369,1263,1457,1456,1424,1375,1458,1459,1442,1458,1457,1456
1453,1457,1450,1391,1100,543,1456,1458,1429,1376,1266,1459,1460,1421,1395,1460,1459,1443,1459,1459,1457
1451,1451,1450,1384,1034,469,1456,1457,1431,1390,1260,1458,1460,1429,1377,1458,1458,1444,1456,1457,1459
1453,1454,1452,1388,1006,446,1453,1457,1429,1360,1240,1459,1461,1422,1386,1460,1460,1442,1457,1457,1458
1458,1459,1457,1425,1205,623,1456,1456,1443,1407,1284,1460,1461,1439,1417,1461,1459,1445,1459,1459,1460
1457,1456,1456,1438,1181,457,1458,1458,1443,1421,1372,1460,1461,1439,1424,1460,1459,1449,1459,1458,1460
1458,1458,1457,1425,1228,577,1458,1459,1444,1413,1330,1459,1457,1446,1425,1459,1459,1447,1459,1457,1461
1455,1456,1454,1433,1173,671,1458,1458,1445,1416,1359,1459,1458,1443,1427,1459,1458,1449,1459,1460,1460
1455,1449,1456,1427,1161,554,1457,1460,1446,1431,1365,1460,1460,1447,1421,1460,1459,1450,1460,1458,1460
