uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
27143557,27143557,27143557,27143557,27092837,27122727,27143557,27143557,27143557,27143557,27122727,27143557,27143557,27143557,27111529,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,24706750,29890,27143557,27143557,27143557,27143557,21600919,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27143557,3886529,27143557,27143557,27143557,27143557,27109528,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27143557,24839,27143557,27143557,27143557,27143557,21454819,27143557,27143557,27143557,21454819,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,23408424,27143557,0,8742952,27143557,27143557,27143557,0,11848783,27143557,27143557,3151500,15191983,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,9406443,0,27143557,27143557,27143557,23408424,23279752,27143557,27143557,27143557,23408424,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,23344505,15219657,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27118718,3835809,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27020747,0,27143557,27143557,27143557,27143557,27076803,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27113667,5663447,27143557,27143557,27143557,27143557,23279752,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27075606,17578070,27143557,27143557,27143557,27143557,27118718,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,2527900,3173782,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27109528,27003245,27143557,27143557,27143557,27143557,27024075,27143557,27143557,27143557,11906347,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27122727,67951,27143557,27143557,27143557,27143557,3249341,27143557,27143557,27143557,7083256,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,24685920,29890,27143557,27143557,27143557,27118718,3135721,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,11848783,0,27143557,27143557,27109528,11968265,54729,27143557,27143557,27109528,5663621,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27022771,0,27143557,27143557,27143557,27143557,3348123,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,19063959,22014255,27143557,27143557,21600919,174341,29890,27143557,27143557,27143557,24661326,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27111529,87454,27143557,27143557,27143557,27143557,20759460,27143557,27143557,27110832,20826214,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,26988719,24473763,27143557,27143557,27143557,27088698,24473763,27143557,27143557,23408424,3282066,27143557,27143557,27143557,27143557,27143557,27143557
75559,75559,75559,75559,54729,0,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559
75559,75559,75559,75559,29890,20830,75559,75559,75559,54729,0,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559
75559,75559,75559,75559,29890,0,75559,75559,75559,75559,24839,75559,75559,75559,0,75559,75559,75559,75559,75559,75559
75559,75559,75559,75559,50720,29890,75559,75559,75559,75559,0,75559,75559,75559,29890,75559,75559,75559,75559,75559,75559
75559,75559,75559,75559,50720,45669,75559,75559,75559,50720,54729,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559
75559,75559,75559,75559,75559,0,75559,75559,75559,75559,0,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559
75559,75559,75559,75559,54729,0,75559,75559,75559,54729,24839,75559,75559,75559,54729,75559,75559,75559,75559,75559,75559
75559,75559,75559,75559,0,20830,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559,75559
27143557,27143557,27143557,27143557,5635428,0,27143557,27143557,27143557,27118718,8242322,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,5800464,56867,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,26963183,29890,27143557,27143557,27143557,27143557,27118718,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,24451062,21345231,27143557,27143557,27143557,27143557,27075606,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,24581235,3851910,27143557,27143557,27143557,27143557,2557593,27143557,27143557,27143557,9487338,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27113667,0,27143557,27143557,27143557,27143557,97841,27143557,27143557,27143557,24651891,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27067998,95947,27143557,27143557,27143557,27143557,3171888,27143557,27143557,27143557,8166485,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,24706750,15141263,27143557,27143557,27143557,27075606,5734407,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,20926193,26990046,27143557,27143557,27143557,27143557,27084689,27143557,27143557,27143557,27109528,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27056670,54729,27143557,27143557,27143557,27143557,17799032,27143557,27143557,27143557,27076803,27143557,27143557,27143557,27143557,27143557,27143557
27143557,27143557,27143557,27143557,27047610,20830,27143557,27143557,27143557,27118718,17820362,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
