db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,0,20830,0,29890,0,0,20830,45669,0,0,0,24839,24839,24839,0,24839,24839,0,75559,0,45669
alt_dust_v1.5_10yrs.db,9565487,24706750,9565487,9565487,0,0,9565487,9565487,9565487,2482231,2482231,9565487,9565487,24706750,5707544,9565487,24706750,9565487,9565487,9565487,9565487
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,9565487,24706750,9565487,24706750,0,0,9565487,9565487,9497536,6357676,82748,9565487,9497536,9497536,140312,9565487,9565487,9565487,9565487,9565487,9565487
baseline_2snaps_v1.5_10yrs.db,0,45669,0,0,0,0,75559,50720,0,0,0,29890,0,0,0,24839,24839,0,24839,50720,0
baseline_samefilt_v1.5_10yrs.db,45669,0,0,0,0,0,54729,0,0,0,0,75559,0,0,0,29890,0,0,24839,0,75559
baseline_v1.5_10yrs.db,20830,29890,20830,0,0,0,29890,29890,29890,0,0,29890,29890,0,0,29890,0,24839,24839,24839,20830
bulges_bs_v1.5_10yrs.db,0,0,24839,0,0,0,0,45669,20830,0,0,0,0,20830,0,0,0,0,0,45669,29890
bulges_bulge_wfd_v1.5_10yrs.db,75559,75559,75559,0,0,0,29890,29890,0,0,0,0,0,0,0,0,24839,0,54729,0,0
bulges_cadence_bs_v1.5_10yrs.db,50720,50720,50720,0,0,0,29890,29890,0,0,0,29890,0,20830,0,0,0,24839,24839,24839,75559
bulges_cadence_bulge_wfd_v1.5_10yrs.db,50720,50720,0,0,0,0,50720,54729,0,0,0,0,20830,29890,29890,0,0,0,29890,24839,29890
bulges_cadence_i_heavy_v1.5_10yrs.db,50720,54729,0,24839,0,0,50720,20830,0,0,0,50720,0,29890,29890,0,0,0,29890,29890,29890
bulges_i_heavy_v1.5_10yrs.db,54729,54729,54729,20830,0,0,54729,75559,0,0,0,54729,0,0,0,24839,24839,0,29890,0,0
daily_ddf_v1.5_10yrs.db,50720,29890,0,0,0,0,54729,54729,0,0,0,24839,0,54729,0,0,0,0,0,0,0
dcr_nham1_ug_v1.5_10yrs.db,29890,0,0,24839,0,0,45669,45669,0,0,0,54729,29890,0,0,24839,45669,0,45669,75559,24839
dcr_nham1_ugr_v1.5_10yrs.db,54729,0,29890,0,0,0,54729,50720,20830,0,0,50720,50720,50720,29890,29890,0,0,0,54729,54729
dcr_nham1_ugri_v1.5_10yrs.db,29890,29890,0,0,0,0,75559,20830,24839,0,0,75559,50720,45669,0,75559,45669,24839,75559,75559,75559
dcr_nham2_ug_v1.5_10yrs.db,75559,0,29890,24839,0,0,54729,0,0,0,0,75559,50720,0,0,24839,24839,0,54729,75559,75559
dcr_nham2_ugr_v1.5_10yrs.db,20830,0,0,0,0,0,54729,0,0,0,0,45669,0,0,0,54729,75559,0,75559,75559,29890
dcr_nham2_ugri_v1.5_10yrs.db,75559,0,0,0,0,0,75559,24839,29890,0,0,75559,0,24839,0,20830,50720,20830,50720,50720,29890
descddf_v1.5_10yrs.db,29890,45669,0,0,0,0,20830,20830,0,0,0,45669,75559,0,0,0,0,0,75559,75559,24839
filterdist_indx1_v1.5_10yrs.db,75559,75559,75559,0,0,0,75559,0,0,0,0,29890,0,29890,0,0,0,24839,0,75559,29890
filterdist_indx2_v1.5_10yrs.db,54729,54729,0,24839,0,0,75559,75559,50720,0,0,75559,54729,29890,0,54729,0,24839,54729,54729,45669
filterdist_indx3_v1.5_10yrs.db,75559,75559,0,0,0,0,75559,75559,75559,0,0,75559,0,50720,0,75559,54729,29890,75559,54729,0
filterdist_indx4_v1.5_10yrs.db,75559,75559,75559,0,0,0,24839,0,0,0,0,24839,0,0,0,24839,45669,54729,75559,75559,0
filterdist_indx5_v1.5_10yrs.db,45669,75559,20830,0,0,0,75559,20830,0,0,0,24839,54729,20830,0,0,29890,0,75559,75559,75559
filterdist_indx6_v1.5_10yrs.db,0,20830,0,0,0,0,24839,24839,0,0,0,75559,75559,50720,0,75559,75559,29890,75559,54729,75559
filterdist_indx7_v1.5_10yrs.db,75559,75559,54729,75559,0,0,75559,75559,29890,0,0,75559,20830,20830,0,24839,0,0,54729,50720,0
filterdist_indx8_v1.5_10yrs.db,50720,54729,20830,0,0,0,75559,45669,45669,20830,0,45669,54729,20830,20830,75559,29890,0,75559,75559,75559
