db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,24839,0,0,24839,54729,0,0,75559,0,20830
alt_dust_v1.5_10yrs.db,9463507,3875445,3246143,9531458,7049227,29890,9497536,9463507,9497536,9463507,3843417,9565487,9565487,9531458,9565487,9565487,9497536,9565487,9565487,9565487,9565487
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,9463507,140312,9463507,9497536,3875445,3886529,9463507,9463507,9497536,9531458,6400788,9565487,9497536,9463507,9531458,9565487,9497536,9565487,9565487,9565487,9565487
baseline_2snaps_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,29890,0,0,0,54729,0,0,24839,0,0
baseline_samefilt_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,75559,0,0,0,54729,0,0,24839,0,29890
baseline_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,50720,0,0,29890,75559,0,24839,24839,0,0
bulges_bs_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bulges_bulge_wfd_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24839,0,0,24839,0,0
bulges_cadence_bs_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,29890,0,0,24839,0,0,0,0,0,0
bulges_cadence_bulge_wfd_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50720,20830,0,0,0,0,0
bulges_cadence_i_heavy_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,29890,0,50720,0,0,0,0,0,0,0,0,0
bulges_i_heavy_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,29890,0,54729,0,0,0,75559,0,0,0,0,0
daily_ddf_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,24839,0,0,0,50720,0,0,0,0,0
dcr_nham1_ug_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,20830,20830,54729,0,0,29890,45669,0,0,45669,0,0
dcr_nham1_ugr_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,50720,20830,0,0,50720,0,0,0,0,0
dcr_nham1_ugri_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,75559,0,0,0,75559,0,20830,75559,0,50720
dcr_nham2_ug_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,75559,0,0,0,75559,0,0,54729,0,0
