db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,65314160,75490156,52495567,51567148,0,983179,59740667,51583351,56470886,81055895,21401902,50893286,58414508,50369277,24768831,48601231,48470994,37019281,51374011,43504309,51201167
alt_dust_v1.5_10yrs.db,11937145,38343273,29033634,39538617,0,18484443,9683095,26914979,39953639,92651504,54689863,5463880,32733869,44921518,50029087,6405819,24703964,43786219,8555097,39213265,10832659
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,12705909,42218686,29647728,58870070,0,8096722,14184787,31647594,44116746,74127698,24648895,2398693,38175656,63122255,82431745,3957507,28607908,44824242,5070469,37360865,10528337
baseline_2snaps_v1.5_10yrs.db,26982533,47969139,34027317,45331773,0,4187039,17612722,34125655,40805231,65969934,24321815,5749867,41708530,42899257,38337437,9055476,30495966,35903225,9608972,36425577,14639425
baseline_samefilt_v1.5_10yrs.db,98538247,0,0,31836657,0,7996462,68736152,0,1562321,49879490,9806074,70618942,0,19336515,28530067,65256708,0,0,71742030,0,55586105
baseline_v1.5_10yrs.db,61650595,80505261,61190209,60645755,0,243505,62860152,57189905,54689986,110062812,18977035,59608438,60566295,62031585,42035725,61850260,61327277,53436715,59726188,50585617,57889390
bulges_bs_v1.5_10yrs.db,26401206,24867469,45388889,36909063,0,949907,7236878,39703023,30455237,43964351,22380318,1694104,26116787,50248472,58544467,4893145,40552150,50118454,2634708,30465694,6765217
bulges_bulge_wfd_v1.5_10yrs.db,38291398,86955337,62634558,87847747,0,14735073,7451167,44375224,33337696,105673510,29875840,523086,95539872,85914948,126506159,576056,39898879,47410387,1653299,34285995,3914189
bulges_cadence_bs_v1.5_10yrs.db,13707653,26131727,40273015,25534548,0,9993258,5902187,33141324,41357226,51806853,23601863,1372004,29675520,44124856,31275586,1162817,39957873,45304165,17313545,42408361,3127188
bulges_cadence_bulge_wfd_v1.5_10yrs.db,19840488,33192481,104857171,92699314,0,1702639,54682726,81699222,57854255,115079963,60512812,13510153,104016499,94855110,49556898,4461449,46780896,60020036,1187400,72918989,7581613
bulges_cadence_i_heavy_v1.5_10yrs.db,24923666,50440887,33818736,30144710,0,901293,5574119,27649354,35300744,118213869,58796728,15964419,117372567,44692031,102929984,117741691,80958373,32937616,1174171,28320751,2557065
bulges_i_heavy_v1.5_10yrs.db,27851651,81191920,38997025,62062576,0,5329242,3760694,20717208,25500582,60066825,31689451,822560,116552606,46428799,47991504,118475489,114186434,41326514,1111765,24605026,2615846
daily_ddf_v1.5_10yrs.db,40343436,71253405,39247460,39555534,0,2972421,38220462,39357218,41468287,80876153,31489365,18531256,43776824,45116825,66737517,19645121,39976832,43581104,20415337,42126784,33813714
