db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,40155328,63491431,45472000,47021687,92495891,101021361,41797707,39753238,55121460,55183571,269063577,19570579,49042394,54162135,119314107,20312026,31556415,39660509,17432039,40910327,18444872
alt_dust_v1.5_10yrs.db,5096200,23203392,10994368,19996810,76020060,126025647,5000460,7300818,16071473,25464492,174701201,1193376,16458466,24562197,85418966,1567206,7424028,11012488,1003432,8657196,1866787
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,5422224,29803140,10794565,21245208,91767457,157810794,8334354,14704742,27094729,28401511,118799580,306686,29556956,36981867,117332516,579743,15231853,18550790,1269100,18593794,2407239
baseline_2snaps_v1.5_10yrs.db,11729642,34889943,27325689,35483284,147753906,150627743,8062230,14898317,30702673,45174230,169211907,761727,23312189,37445897,141796711,569397,15290485,32469186,778554,30601064,1166067
baseline_samefilt_v1.5_10yrs.db,90699453,10272160,2829038,193334473,53907393,101308999,56662166,238360,67202106,158020440,238068456,45387841,12434863,113581936,98544008,41799538,545269,2447260,49512217,26895757,28155689
baseline_v1.5_10yrs.db,37593947,54123527,50973693,57094066,154904126,123883424,44664596,40855718,54081705,59470301,161017329,22161738,50953424,58200724,74865176,26372359,44697425,55231283,22195383,50162298,23417718
bulges_bs_v1.5_10yrs.db,17530231,30652606,33758868,29689257,62063896,101349492,2522438,7442719,15746996,38901274,147250083,0,14615958,40727308,83283417,331849,32140088,38379921,0,21909787,246946
bulges_bulge_wfd_v1.5_10yrs.db,21761121,35375402,37306602,16030576,85515216,142853058,1629012,7400378,11160878,37587430,122656124,0,59458912,44669436,89136952,0,31029667,25554911,0,37335448,334448
bulges_cadence_bs_v1.5_10yrs.db,7326780,15290151,16464314,18396574,41996283,58966678,2017773,7474194,19837934,29102118,82866481,0,19379343,40900937,45873762,0,24796129,40530815,250847,31998282,216524
bulges_cadence_bulge_wfd_v1.5_10yrs.db,7010692,22644807,68390137,83934133,104143377,158762285,38051881,9742368,15889584,44109672,136397943,0,58919381,32903302,107612422,0,20176529,52105520,0,50928271,100192
bulges_cadence_i_heavy_v1.5_10yrs.db,3723180,35640120,23618467,35765761,56848905,156040991,2203870,4560542,31359361,46271601,124373167,86970,79246346,33929291,34089883,117361569,23622660,24479404,0,17909856,0
bulges_i_heavy_v1.5_10yrs.db,6355502,31383086,11980981,69886751,60340321,85926350,703343,3733724,13479580,18633087,126583383,0,75044098,19768642,74387908,117361569,45346453,33044995,0,16251549,134012
daily_ddf_v1.5_10yrs.db,19626971,51255805,33835798,39074065,161923048,173544392,19822689,27957145,40125456,49086807,192272023,4516883,38701890,48421932,136786582,3964111,28971395,39695028,3374235,35636347,8012271
dcr_nham1_ug_v1.5_10yrs.db,49457758,31838471,52502107,70304066,190692150,71885753,49886214,23245506,50135184,116445238,178233704,22610553,64413728,49897207,121984166,21985960,31286377,46662439,20393309,53257859,20619088
dcr_nham1_ugr_v1.5_10yrs.db,51763288,45319755,36748986,53169782,176346073,187010234,46182881,24793029,50386115,82730188,186927688,23190070,48563281,59874908,175291915,21679719,37602771,52897255,20524007,50443781,21884378
dcr_nham1_ugri_v1.5_10yrs.db,51696500,17951748,44744702,59849558,153880066,106056947,42710671,27289687,53677934,65843436,208437487,21778229,39449732,54006309,84082148,21854559,28904939,57408705,21867045,58214100,21439675
dcr_nham2_ug_v1.5_10yrs.db,63221821,6763496,35131664,65781705,216677743,170362903,46246380,10219945,49980389,82296883,215624873,17943334,60214102,42347215,95279940,19307303,27375839,45602534,22239350,57604486,25936233
dcr_nham2_ugr_v1.5_10yrs.db,65357313,20691576,22468884,55902012,130700735,110374294,49165308,12520683,45584493,61639225,205644102,25506585,41465579,61203440,127302506,19339336,42909751,53276665,17427695,50966791,20038971
dcr_nham2_ugri_v1.5_10yrs.db,61893045,8253966,32337203,54459522,189004896,204620170,53788441,16668406,55825947,85949946,249937238,20372485,31513525,60091262,102238092,25189595,25080369,52256184,16430568,55906808,18712401
descddf_v1.5_10yrs.db,34249350,65126183,45586818,54096701,143440585,94106541,36141675,35660142,49129050,55084692,188952622,13853985,49701176,49009267,62316955,12148673,25132518,34990770,14198836,43171202,17678589
filterdist_indx1_v1.5_10yrs.db,347136734,344270712,300046461,210759896,294532819,114263448,341224194,107694544,220978138,288893207,263884095,0,329082,283925903,270007648,0,214612286,202701625,726972,112624098,15198614
filterdist_indx2_v1.5_10yrs.db,294654918,176245380,260242103,269268542,219141027,139898671,277151798,181647609,273666366,280280150,264410817,313398231,305716935,290076679,253220788,309526996,273722424,210322838,305894296,245306541,269335027
filterdist_indx3_v1.5_10yrs.db,179620167,336354563,9013,3558582,173009657,118349185,346671018,336359324,326437856,281679048,255932095,31209839,1511872,122006594,105451843,20655368,233913160,215845100,54874220,153271719,29858706
filterdist_indx4_v1.5_10yrs.db,347136455,336698002,338268162,236660435,320892829,192731217,119357587,0,1342815,130007609,205947700,19847920,1696725,296186561,227722475,14065445,315721303,190821269,31719556,84575543,38707133
filterdist_indx5_v1.5_10yrs.db,12628962,101659838,121436291,71134182,199318307,303495291,4190350,35262832,48083549,93038890,242408413,0,51594023,66690947,241219316,0,100368575,169950879,336275465,335794765,336295067
filterdist_indx6_v1.5_10yrs.db,118490933,301916971,19510721,120996335,228078893,121460105,132498489,16699178,118645444,134197737,122535691,65368985,334077903,194945759,160965767,336267571,289374330,235931925,57757961,75742002,52257552
filterdist_indx7_v1.5_10yrs.db,336774325,336265088,331979590,306529109,303672925,188293794,336275407,304544298,271271944,226299088,233318361,125551034,84207591,258247166,259037909,80921660,252489296,243219142,126068569,220506543,124272998
filterdist_indx8_v1.5_10yrs.db,131112284,205869376,126530161,180168557,265347491,194409380,112371919,79953989,147468336,202769882,276320358,42322406,268512162,221790242,236378356,298679605,281002380,254526869,336259977,319307032,335494649
footprint_add_mag_cloudsv1.5_10yrs.db,55231717,62010291,64116610,68496131,187954399,106461072,57720917,34280754,49788569,56748348,203290170,17797816,47232931,47999456,169837249,17521596,41313224,79866158,19842064,59694279,22633183
footprint_big_sky_dustv1.5_10yrs.db,12928560,17677368,25290181,34378208,37346163,28965484,16289969,22047314,35176362,31401216,46350529,12233520,32985878,32460268,39301159,11931026,26339561,28784831,12195066,30961444,12248339
footprint_big_sky_nouiyv1.5_10yrs.db,56550625,49570749,56668815,43481341,33163393,25567076,59111785,54273620,58097813,30483914,35723384,58610426,51574539,31433514,35832635,59255242,60060854,60814311,58460616,61841825,36525639
footprint_big_skyv1.5_10yrs.db,50180023,50300055,53364508,54499114,27615539,45559039,56394590,48718444,54099822,28408330,32823883,50873647,51229361,29270102,31809404,50519606,50600271,53449354,49994652,59618837,45207294
footprint_big_wfdv1.5_10yrs.db,1458016,28916537,10370154,7435623,204264835,189597765,17322,1719766,7885331,39174897,157618237,0,4715790,29041519,52663987,0,3866054,17751339,0,9194982,0
footprint_bluer_footprintv1.5_10yrs.db,51111181,105246879,526100,4927813,110562944,125530385,108059954,100617485,82737065,89183171,204238657,25820663,5588639,34772943,120997388,9542857,28788095,40522342,0,9295073,0
footprint_gp_smoothv1.5_10yrs.db,48363748,89745876,84064939,71056643,194975501,112515469,40485035,54600747,97011147,233742352,200933910,762047,81076559,187771755,171848420,672587,69096742,108338650,2078616,101343298,4337378
footprint_newAv1.5_10yrs.db,35671,19312224,7068962,3758795,184960587,76104840,0,289145,2012496,65744877,203664890,0,933546,36722121,143828878,0,4413932,23042633,0,281216,0
footprint_newBv1.5_10yrs.db,832637,12559406,7292506,7500918,59197551,90173161,449441,1365868,8452916,32724155,176211044,0,4503991,44923936,82292840,0,7166694,22099564,0,7763433,0
footprint_no_gp_northv1.5_10yrs.db,42265777,78294456,49573408,55833446,156469732,85875565,47248139,42730445,56107108,58380601,131906766,27818700,48894116,55903861,56964697,28555149,39592384,49031179,29547273,51664352,27102317
footprint_standard_goalsv1.5_10yrs.db,39472748,71161566,45237926,56220686,130024691,87720786,42900843,40342440,59195010,57740565,217308059,22455769,48554107,56207605,151101010,21417923,37734970,50957582,23702020,54819406,26966800
footprint_stuck_rollingv1.5_10yrs.db,35531442,42752441,34876410,36976414,104029264,113112589,37920875,34853745,36091977,37139479,214944322,36666684,36434270,40541754,124397565,37228280,35255901,38889318,35995081,36123452,36037216
goodseeing_gi_v1.5_10yrs.db,41830619,62822780,44269705,52406022,227174916,127912678,48458534,34445103,49255862,73785744,122741881,25176733,52311468,66831045,85062763,25630337,39230996,45824156,21524745,38639362,23425935
goodseeing_gri_v1.5_10yrs.db,42078818,49511564,50650098,52699974,153360343,124037166,44548769,36688790,50721515,82026328,187317875,22995728,53279661,69918485,103057473,23805808,35785933,52843416,20611096,43136337,23641640
goodseeing_griz_v1.5_10yrs.db,40581082,70527153,46474322,49300037,186265767,145899494,42377065,36187888,48368521,115803107,170289652,24574457,53104449,70030701,95780853,22880069,32326945,54170307,23666820,59322534,21019211
goodseeing_gz_v1.5_10yrs.db,45982287,52234543,57588223,49559427,124381727,88637963,41788407,36544871,48661440,75971548,174467756,22567910,48715410,65488785,110863227,20808727,35327742,45256934,22570578,53801880,21573521
goodseeing_i_v1.5_10yrs.db,40845226,63976647,38451337,58015713,112102047,108064105,41012461,29080815,47780431,51905135,193683696,19904396,53498080,60023504,102884300,22813062,44818590,52075238,21551378,44005567,23933182
greedy_footprint_v1.5_10yrs.db,48180237,87162100,41016035,46343077,90021308,109024710,46951967,34024449,39977269,129369823,208458451,29001405,36199862,56478008,106068710,29980033,27810924,53988053,19592499,70283658,25097399
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,9113807,30176665,13816954,20002883,104247589,184307422,8165377,11997254,20890220,22546364,191002116,1096872,33058200,34132664,84710110,842952,26877757,34321873,1400203,32763852,1315627
rolling_mod2_sdf_0.10_v1.5_10yrs.db,46414432,94908534,53768931,58747776,118749522,56883765,55996315,52003238,61464526,74466155,151280654,16807735,72414796,77864944,77499431,14368008,65856605,68014008,16656762,65767625,23405099
rolling_mod2_sdf_0.20_v1.5_10yrs.db,49694148,107204290,50707899,59630690,114731636,64812804,57264937,52250906,66277600,100621076,169891853,15509224,65514336,72358409,84771929,13707938,56107329,66172800,19236228,67840826,24275214
rolling_mod3_sdf_0.10_v1.5_10yrs.db,46097897,83239312,58507528,68291863,99074646,56919076,57568576,66389897,82943323,74077907,152677320,18160818,90523520,89925559,90180792,20659850,83516604,85956225,18396054,83341833,28648011
rolling_mod3_sdf_0.20_v1.5_10yrs.db,45344135,93386176,56926566,67762708,229430864,218469017,59043551,63643603,77263871,79063998,228485882,17035369,85087028,83746200,141531392,22549842,75752039,82617199,21565438,87646967,29560692
rolling_mod6_sdf_0.10_v1.5_10yrs.db,26016977,72741180,55751302,54877773,132969221,171675974,45071449,76055597,78930924,76289643,147913026,18452350,91221936,96348641,99404000,22000879,89861673,90419759,20471295,86968128,38000279
rolling_mod6_sdf_0.20_v1.5_10yrs.db,36338850,70061389,54382899,61850958,152358716,149389830,48857618,70229269,82581997,67108265,193307068,17319546,92324278,95847164,95169166,19766515,88738026,83726377,22288503,84399848,44783518
short_exp_2ns_1expt_v1.5_10yrs.db,88924483,285214509,87770204,89944587,214278392,119648205,87520322,89846658,82048816,139034837,238594864,89907652,88781038,81173339,158537921,88936309,85723257,78563242,88989752,84035473,84918858
short_exp_2ns_5expt_v1.5_10yrs.db,87790490,308896657,97974369,92883827,218184876,57387453,88033261,96070527,77421210,125402264,216941543,86904985,89366256,102551119,164311289,86852819,77679658,76894034,86582210,83369959,79693464
short_exp_5ns_1expt_v1.5_10yrs.db,105860202,382183276,184308930,138510275,212736272,66860083,98911628,124830601,96251257,147414629,243552791,95213118,103738722,91753630,124061748,95550837,105346021,90628572,96250225,99638961,93815272
short_exp_5ns_5expt_v1.5_10yrs.db,106667238,336017854,215031289,112848566,218217233,38793732,98322864,110630121,90201858,186370473,242589183,94038529,104910535,85869909,123624115,94307414,114430862,89368050,94501227,99660095,91945612
spiders_v1.5_10yrs.db,39307259,83955152,50779663,54184328,159293163,148228521,46558807,42180597,48368841,58154194,230123530,26035673,49223883,55483627,115803624,24404387,40962762,51849352,27767514,55333849,25605141
third_obs_pt120v1.5_10yrs.db,36345888,73244059,39644233,41028568,172499489,97205017,46318508,42721825,43317347,59286138,202217917,25294319,57659775,60417837,144173995,29348208,38963980,39022709,34379321,55496479,27504311
third_obs_pt15v1.5_10yrs.db,37593947,54123527,50973693,57094066,154904126,123883424,44664596,40855718,54081705,59470301,161017329,22161738,50953424,58200724,74865176,26372359,44697425,55231283,22195383,50162298,23417718
third_obs_pt30v1.5_10yrs.db,38281250,72876472,51043445,47976305,171105033,203483207,45668123,48048502,57702467,51829656,201400102,21265577,53930717,55902815,92575685,24657597,37859813,53609107,25856998,57409129,23781400
third_obs_pt45v1.5_10yrs.db,39776866,50523606,46569958,50110451,127382283,56526448,46790166,45930252,56489047,57414430,182607356,24021127,52825538,62024300,89820606,19422321,42077363,46250937,20761710,51992626,30145088
third_obs_pt60v1.5_10yrs.db,39893092,62225728,50201744,53581811,166932656,152906928,47015856,47739640,60320491,92213860,227465637,22946140,57622340,51628620,158787740,22364824,37713019,41601260,22784586,54195785,29373774
third_obs_pt90v1.5_10yrs.db,39633337,79942747,45351286,44438633,164030596,119297795,48400357,50244440,48415818,47078695,199951761,28088323,56282312,53733499,143335042,27814604,42456972,50352007,31321385,51540127,27665638
twilight_neo_mod1_v1.5_10yrs.db,67150663,220840008,46615929,246073057,86143098,98955029,91781758,71823368,129135825,71779319,81769654,106093435,95908291,230133585,144937361,104215279,57119331,63794771,109884222,77601877,92669305
twilight_neo_mod2_v1.5_10yrs.db,61856275,244538995,54581732,105195538,102514964,62027631,84432553,69703729,82629669,62332966,101895292,93700362,65260582,92679243,76999980,92576097,45932188,66719294,91307655,71531943,88390122
twilight_neo_mod3_v1.5_10yrs.db,61840818,241110898,55515241,135913658,220621034,68802885,77119460,60707364,85079802,107434506,73554636,84526774,59966216,84893097,185545442,87933695,45318993,55861856,85612018,61142121,78948560
twilight_neo_mod4_v1.5_10yrs.db,51898211,178041709,49972244,63615053,100932841,74042001,72690945,53824374,63964322,61561193,103455425,76734482,54599756,72941560,91168248,77880189,40361173,57859023,79379359,58171306,65251506
u60_v1.5_10yrs.db,0,992583,0,1435190,53112284,40664827,22405056,35703109,36295609,67433826,211612879,5997964,39635986,65318587,172447972,8339863,35953688,47653448,10369841,49571168,12447192
var_expt_v1.5_10yrs.db,22671931,55602183,57299691,55313871,169987312,257628898,20767549,35189233,46842585,38439778,90556507,1842806,39527302,29198505,61549482,2925689,1922722,38035425,914162,13098016,1585686
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,319492726,328512723,55383898,59461431,188810886,217198497,199470255,13739847,25370406,36938329,66895730,8618537,14880057,43702962,46285548,8616687,13059077,11750353,8603181,10777314,0
wfd_depth_scale0.65_v1.5_10yrs.db,318051366,323962090,66545014,39219409,206696605,134999177,136175249,12034662,17592090,27317205,69422881,8618537,9904424,32996791,33706266,8607726,10186917,9699684,8530099,6760725,0
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,319595244,329299315,41856308,45677484,125840377,97199132,32659659,19095015,31343570,40899152,75156942,8590466,18542851,48321882,55597017,8579973,16238359,21296632,7920831,20004237,319178
wfd_depth_scale0.70_v1.5_10yrs.db,313768794,304700059,23483103,29338700,179069945,195067416,14704771,11276277,24923604,35675824,109200394,8112525,9973651,36684833,50295721,8015722,13592593,17162463,5787829,10965759,0
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,292013712,255788332,30048107,41253866,196377160,185106953,16122361,21369859,42057511,66637749,178209761,2325374,28384604,53712097,58243866,2972448,21475725,36629200,1340333,27090595,1661464
wfd_depth_scale0.75_v1.5_10yrs.db,242637943,221107837,24301611,26694547,128862318,208649130,4265460,10931248,24139888,51667204,159174876,495486,13547159,49071478,63399466,339609,13720128,20857962,78557,17118410,211557
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,64199676,186822202,41228851,46942269,190590808,259598600,29928198,30644639,48758975,71849382,211881754,7417981,36760149,58793125,76845691,7100746,29932863,47499670,7111061,44454584,9676568
wfd_depth_scale0.80_v1.5_10yrs.db,20758511,126712828,28264814,32623135,143263270,156607844,11662714,15949752,28807217,52952888,229912866,115345,24060885,51083888,65315763,2178787,22150237,40750285,436718,35301061,1806110
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,50733778,107998199,52055851,60475160,229034776,232406133,53319213,48477041,59947844,86094284,215726984,30347982,58141149,65982145,130303602,31213381,38757756,52877556,31282435,57226297,28015711
wfd_depth_scale0.85_v1.5_10yrs.db,30524947,99309013,32613681,41640958,264989212,152092535,25333190,25157157,44821462,78580674,250351065,6548144,42050887,50170419,107602909,8066826,27006699,43998191,7021263,45963724,10008836
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,60629328,77363969,62216894,64431200,177521378,151643326,72258176,56815235,65406666,54308231,209065222,58950178,60561043,58909230,108951261,57805247,51765241,59723124,56347570,63123680,51161961
wfd_depth_scale0.90_v1.5_10yrs.db,42443703,72049147,48020202,58264760,159124726,113081179,44114326,36566082,57438593,103229989,166265029,23279134,50169945,59719595,94865507,25916446,37598762,53253021,25105331,53595576,23831328
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,67498332,56554680,68801733,72402315,132555994,186063612,78753719,70897225,78190650,69767474,110337743,84090456,77909954,73840568,78707347,83162091,60226293,71055569,82325106,73400234,73823096
wfd_depth_scale0.95_v1.5_10yrs.db,42466363,42306455,54413533,64075509,136511877,130652904,62342168,52655834,65526320,63202982,174241924,55711541,65091577,66804475,75895210,53749759,54653355,58578910,55778187,57667406,45995361
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,73851746,59312287,80293194,85462999,92511384,72845931,85672248,78729780,86556556,63671610,89743950,89344537,86707972,71807792,70984617,88854290,70711710,70763888,88861645,74637257,84814278
wfd_depth_scale0.99_v1.5_10yrs.db,51198356,47369147,62167081,71338097,98045471,60707263,73307826,61051933,72729867,65360569,110033005,76642624,74831818,73858947,69322486,79828898,59959450,65710289,76576269,69589166,68516859
