db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,61050249,54432686,50863685,45930684,0,973635,56886669,49743050,53669494,44362674,16678706,49072143,56524802,48648766,23556986,46258828,47585027,35845071,49641518,41771816,49837086
alt_dust_v1.5_10yrs.db,10136946,33282238,25645066,33085684,0,437345,8649839,25166585,37576530,37819456,20135807,5096645,31146649,39046025,35334885,5336104,20695265,40048567,5795492,33870750,9897914
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,11151282,34198005,27200177,38692316,0,5935147,13453317,29771161,40141223,43334506,17423776,1465877,35792267,42591195,38356579,3739818,26548708,42346452,5005905,34346141,9692799
baseline_2snaps_v1.5_10yrs.db,25489043,33455119,33072762,37984055,0,2017768,16617184,32549969,37716614,36839615,17388567,5738863,39229311,40648782,27454123,8116403,27408339,34736724,8963412,34326246,13381701
baseline_samefilt_v1.5_10yrs.db,87052278,0,0,2796430,0,6397417,66472599,0,1464753,16891481,9647451,67643503,0,2138977,25696989,62497882,0,0,69071723,0,52881753
baseline_v1.5_10yrs.db,59661522,52962914,58034439,55761418,0,233850,60230379,55557462,50758981,37474643,17093812,56871687,59214298,53860425,27840957,58283264,58600917,52323912,57661989,49640121,55108841
bulges_bs_v1.5_10yrs.db,9418645,22589745,17343931,15190421,0,122235,5329785,15704489,21001702,25069842,14372166,1223468,23757843,27495977,18352816,1542936,15667052,26206286,1579766,25871115,5081506
bulges_bulge_wfd_v1.5_10yrs.db,8681927,23073904,18628714,19241631,0,571113,4337162,12214521,23021279,32016456,11667721,523086,26161327,27639138,17132630,576056,9045656,17563721,1296513,19302848,3063769
bulges_cadence_bs_v1.5_10yrs.db,8659943,23625720,16103658,23397948,0,4114310,4729432,14964621,22538288,22669209,15453798,1300859,27039937,25285697,22535636,937114,11945048,19785824,1431527,19423240,2297242
bulges_cadence_bulge_wfd_v1.5_10yrs.db,8051122,21857819,9874275,14077948,0,1627476,5183490,8240968,20176483,24881924,9922636,152033,25888166,24635242,17033295,483745,8730969,16842500,588643,20125360,3662807
bulges_cadence_i_heavy_v1.5_10yrs.db,7943376,23704274,13663656,16130517,0,123568,4509831,10033602,17969044,25279134,16980180,823156,26230163,17579287,24722267,2797660,9520216,18313458,783785,21298215,1563004
bulges_i_heavy_v1.5_10yrs.db,8158055,18748410,13329362,18164598,0,1538805,2874568,11075258,20739452,26661516,17668454,553890,24403560,24020396,23473936,3072378,10131551,19822145,781805,20696837,1904778
daily_ddf_v1.5_10yrs.db,38461090,50345125,38718075,37708324,0,2290331,36535307,38148766,39885605,43416674,17058869,17269478,42061037,43867241,33487809,18702148,39380724,42097284,19328070,40871425,31096464
dcr_nham1_ug_v1.5_10yrs.db,65201373,6858084,46364478,49702475,0,110819,65278450,37150922,49924967,52240918,16421363,56433847,71976422,49768564,32215900,57115432,43864518,50158423,48982911,55023814,49488590
dcr_nham1_ugr_v1.5_10yrs.db,69659153,14445712,23075716,34380115,0,5514073,59586981,26527330,43874235,34373538,10721738,56561651,56891991,50393293,43253404,49720549,54022171,51807831,50362112,52837019,52034181
dcr_nham1_ugri_v1.5_10yrs.db,69256812,5699946,33219713,41677006,0,182930,61085673,28033940,38788202,41725384,20602478,52147964,35689217,41598777,32841594,51483654,35852115,55166562,49652805,55394701,51404833
dcr_nham2_ug_v1.5_10yrs.db,75452640,1465090,26120039,39649339,0,64552,59940493,8827639,26654813,48468236,20078288,46347541,71866512,51167706,36679967,47880181,41999731,45641091,47878002,55197768,56209092
