uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
119981756,119272249,119313210,109881688,89524145,41860311,119553660,119548303,112857441,106913420,100843897,121168627,121160634,110806822,109336240,124043318,126517972,111075208,124044004,119230001,122128140
100213267,100330156,97002771,77163610,60398291,27256672,100568355,98548218,77699503,74944603,64110299,101433886,101002416,92820754,90210937,100939452,100723644,94330662,101266665,101195330,101312070
98776571,100820695,98462280,93932870,65133562,33788919,99428083,99759847,94372161,77275709,72288305,101535010,101518103,94588703,77428905,101431406,100658442,79876168,101181242,99257606,115898211
120825037,120787370,119509871,109200468,82000847,34299676,121217690,122143488,111432344,108309742,95203699,124040459,122177123,110769054,107345797,121712857,120542983,112388378,120558004,121322065,120946808
116513204,104139921,103869868,104376687,32279401,22914034,118965032,108297425,106808333,94967141,76927211,124052313,109682516,105807929,100554682,122883459,111496567,109172399,121637727,111928802,120979921
119952437,119291587,117414258,109571873,91980208,37839115,119941489,121624878,112292891,108483642,99761408,121639976,124058572,110191717,106276948,122898774,122876537,111619354,122871842,120937177,122802388
115763181,116366921,115497346,94110411,62288472,35866775,116383912,120265178,104256632,87891447,76622553,121804378,122465071,104217398,97968536,122867743,124444153,108072069,121156736,121165227,121617991
120856881,121426889,119628470,101414262,59888210,31080687,119710767,120532755,107395896,96737072,86891665,122965599,118607409,106304301,103465230,116948691,119263776,111299880,122217143,122003739,121858078
113550264,117408453,115271188,94607583,62056641,38828672,120465938,118761256,103141826,91243424,82312589,120933969,119394106,101887985,93843418,120319778,121161401,108177620,120503539,120469532,118624336
116085329,121617588,112805243,97680556,72899106,37811150,119116113,120894994,106509458,97839384,84631649,121468021,123385268,106119235,98035329,123381278,122401895,109068928,122987997,121476780,119885268
114713910,115554895,114656546,97677787,63344752,31028687,120358459,120927659,105506676,97109092,80825561,121550846,123643823,107394558,97523884,122079989,122407035,111497954,119698125,120364023,122770053
115780560,117578183,114948012,98954328,59251206,33107587,115641535,119290843,104361571,92517337,81114434,122724099,124612548,105926940,97067453,123111747,122864664,110988854,121002549,121002804,120641465
120104616,121259863,118075122,108106600,95841247,40006786,117641109,118568263,111151455,106935466,97923044,122871056,125141182,110593916,106421250,124392572,121170038,112582888,121168602,122208008,123390773
118337520,116744900,118780979,109582656,88435459,26322632,120565842,121379437,111400657,108177834,102226234,122873451,124044097,109600475,108026883,122865996,122245413,111929433,122256383,120312170,122871586
119254692,119783836,119894995,109413465,91138316,43787428,118568115,119749946,112910624,108926778,96740836,121179631,118575928,111769411,110219283,121172681,121169430,110627434,121166497,119326601,123911022
118103340,118650128,116119824,110047811,87290493,49188524,120526003,120498639,111270729,107165676,103125234,121156088,120633148,110810790,108187054,121170414,120547554,111942368,121164064,122344754,122792627
115732206,116624873,116900494,109061078,88158216,48574838,120368261,122808186,111831786,108570904,99672899,122868528,122876185,110337048,107642982,122880221,121636137,112392264,123141190,120539699,122665628
118756843,119812464,118259716,109727950,91630382,46887953,120916542,119390695,111137801,106535199,95766900,121628910,121639925,110948601,107091154,122887467,122888741,112332782,122595186,120014517,123388058
120798008,121751641,117949484,110234714,75478785,40835790,123863823,120851807,110657710,105740658,101031802,122867857,121157752,111951427,110220042,121174758,124814702,112931544,122875233,122216845,121170599
119343725,123128936,117612721,110621927,93468016,37279586,123465480,122252059,112572035,105057959,97139561,122870173,123851938,112732010,109969914,122879481,120075987,113481008,121160385,121162054,122885578
122398476,124107881,120751444,110812796,97450567,36324859,122401288,119109257,112445514,106376580,95073723,125356246,121908601,110358123,108874288,125341880,125024804,111437357,123849231,124680820,126546612
