db,flux change,color,footprint,star count,depth,family
agnddf_v1.5_10yrs.db,0.1329882034647369,0.4015855356695798,0.4521554603686092,0.2609744723205411,0.9323163352207207,agnddf
alt_dust_v1.5_10yrs.db,0.13304398107467777,0.535282516829829,0.2713875898927182,0.0855983922114968,0.802599315122437,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.1389559523268029,0.6069934266686272,0.38888670570204725,0.11695261621859292,0.6957472787490485,alt
baseline_2snaps_v1.5_10yrs.db,0.1353745291284073,0.36849923115304245,0.25759421542814476,0.14830189058791654,0.8643639089939503,baseline
baseline_samefilt_v1.5_10yrs.db,0.20647857106034198,0.10594801399064714,0.3803591778991629,0.20729282200632984,0.8676711558355275,baseline
baseline_v1.5_10yrs.db,0.1424248679145234,0.4301494983469702,0.4792313435768458,0.2772893457508202,0.9232854065035967,baseline
bulges_bs_v1.5_10yrs.db,0.12270415387913267,0.31633116190243354,0.1952293001139623,0.08860925566897519,0.9277751660425643,bulges
bulges_bulge_wfd_v1.5_10yrs.db,0.12691359487358317,0.31303641745605965,0.18902031673674694,0.07766869911655958,0.9303809331727889,bulges
bulges_cadence_bs_v1.5_10yrs.db,0.13051111947597163,0.3220391675520462,0.20167406767005927,0.09266752374598025,0.924142910966272,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs.db,0.13024059164428706,0.3129679397230236,0.19106377962038743,0.08124264361508554,0.9256238766900566,bulges
bulges_cadence_i_heavy_v1.5_10yrs.db,0.1229385908703989,0.3151547493870682,0.1870554485794003,0.07880456947655744,0.9306148125042105,bulges
bulges_i_heavy_v1.5_10yrs.db,0.1285863838430334,0.31212554626958927,0.1752269422721735,0.07223574965330175,0.925667058702067,bulges
daily_ddf_v1.5_10yrs.db,0.14930317032148044,0.3593256561120149,0.32829017172947694,0.2005093494366995,0.9129305419088742,daily
dcr_nham1_ug_v1.5_10yrs.db,0.1930736510581044,0.39982381574514925,0.4549848705151884,0.2635855380369565,0.8765017716216655,dcr
dcr_nham1_ugr_v1.5_10yrs.db,0.22656933512187832,0.3797547959212311,0.43624002829410136,0.26167072639075467,0.8679415419222904,dcr
dcr_nham1_ugri_v1.5_10yrs.db,0.17935578127077245,0.3873950253422872,0.44578928753880603,0.2566129922570392,0.8474367916646824,dcr
dcr_nham2_ug_v1.5_10yrs.db,0.22111477720286965,0.36207057849918484,0.463944669312689,0.2601055133226859,0.8411022539576618,dcr
dcr_nham2_ugr_v1.5_10yrs.db,0.20724581887087096,0.34006920441794436,0.42346838527134817,0.2534235786059113,0.8079420190708885,dcr
dcr_nham2_ugri_v1.5_10yrs.db,0.19959030324746255,0.3396115058887362,0.43431445749990166,0.24984538694725367,0.7863862635675974,dcr
descddf_v1.5_10yrs.db,0.1584471457682029,0.39665518989694437,0.414233504931819,0.23951774859523267,0.9351297416880113,descddf
filterdist_indx1_v1.5_10yrs.db,0.261457729811877,0.4850691366212909,0.5967304593861751,0.30680642187441853,0.8893745051822762,filterdist
filterdist_indx2_v1.5_10yrs.db,0.1567001010227966,0.49279486862463195,0.8314536094628049,0.4348911908084666,0.9633434433537386,filterdist
filterdist_indx3_v1.5_10yrs.db,0.21023928308605536,0.4564356307645991,0.5327936495461153,0.27087412124891286,0.9157837445810877,filterdist
filterdist_indx4_v1.5_10yrs.db,0.20842602985304637,0.4328244068726521,0.5535426572876959,0.28482693114342095,0.9227132332886707,filterdist
filterdist_indx5_v1.5_10yrs.db,0.16032574868754437,0.40779804067635755,0.5102762604629228,0.2545290154446525,1.0,filterdist
filterdist_indx6_v1.5_10yrs.db,0.1484563675722571,0.39002041743993565,0.5326757574566745,0.2660415868682516,0.9491154477818037,filterdist
filterdist_indx7_v1.5_10yrs.db,0.17618909240166583,0.5250537149265446,0.733053012142885,0.3774865317166767,0.9439754278519786,filterdist
filterdist_indx8_v1.5_10yrs.db,0.16735582523300124,0.43949948591185434,0.7047589106770933,0.3582275818756483,0.9754581161267926,filterdist
footprint_add_mag_cloudsv1.5_10yrs.db,0.15875363665498626,0.4100582043135959,0.4148229653790231,0.24934043562341177,0.9238010697617627,footprint
footprint_big_sky_dustv1.5_10yrs.db,0.16036384081093585,0.42182485118228497,0.43144574999017554,0.1471856050215828,0.8068352965895211,footprint
footprint_big_sky_nouiyv1.5_10yrs.db,0.17099381151525858,0.4871246273764873,0.7598931111722402,0.30676167429475576,0.759652223905825,footprint
footprint_big_skyv1.5_10yrs.db,0.16358704928061424,0.47890000913458597,0.6727315597123431,0.29338122405139405,0.7655547385398564,footprint
footprint_big_wfdv1.5_10yrs.db,0.13926157553353802,0.3981420569983879,0.20128109403858999,0.09656695252450281,0.7892007373539824,footprint
footprint_bluer_footprintv1.5_10yrs.db,0.22656530978028644,0.400601627753427,0.4348253232208118,0.2301716911084658,0.8501657765368595,footprint
footprint_gp_smoothv1.5_10yrs.db,0.13648551293338218,0.37918846207471685,0.30443667229928867,0.15888660592267462,0.9428013106502269,footprint
footprint_newAv1.5_10yrs.db,0.10029163431907555,0.2707837729959408,0.11349078476834203,0.04194983266631974,0.8327533083530327,footprint
footprint_newBv1.5_10yrs.db,0.1244283308446963,0.3180454615899152,0.1758164027193775,0.07111389931991295,0.8206940402117244,footprint
footprint_no_gp_northv1.5_10yrs.db,0.1669792844856957,0.42933509847043333,0.5092545290211026,0.2857497170291501,0.9203813913435925,footprint
footprint_standard_goalsv1.5_10yrs.db,0.14012042956615545,0.424432627027157,0.4685817581640271,0.27554123444776785,0.9164492300877105,footprint
footprint_stuck_rollingv1.5_10yrs.db,0.156229580895284,0.5419479101306139,0.5553503359924548,0.22352634028308,0.770567410608276,footprint
goodseeing_gi_v1.5_10yrs.db,0.18544899008348148,0.4152189762241105,0.48088183282901703,0.29342463741564284,0.8829439931856337,goodseeing
goodseeing_gri_v1.5_10yrs.db,0.14797961681897573,0.4180899974215349,0.49129563406295435,0.2969121980787547,0.8812761651528039,goodseeing
goodseeing_griz_v1.5_10yrs.db,0.1601917146397849,0.42044171826947835,0.5026525720124179,0.3051341191041539,0.903243443394319,goodseeing
goodseeing_gz_v1.5_10yrs.db,0.15581871762175276,0.4318453890346182,0.4817463748182496,0.2923798569376358,0.89869226991176,goodseeing
goodseeing_i_v1.5_10yrs.db,0.16279536301490805,0.4021066965191684,0.45808936220379604,0.2713397981058839,0.8902150593918421,goodseeing
greedy_footprint_v1.5_10yrs.db,0.14225058625771486,0.4197706952386521,0.46976067905843516,0.27343309320420806,0.9106003015785695,greedy
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.16194637945903884,0.39892595186379715,0.37470035760600456,0.11664134972926973,0.7265099244991047,roll
rolling_mod2_sdf_0.10_v1.5_10yrs.db,0.14893320952290837,0.469967990420998,0.6056116634573818,0.3352749550817527,0.8128718541042268,rolling
rolling_mod2_sdf_0.20_v1.5_10yrs.db,0.14979425309229968,0.4611499259007923,0.5898927181986089,0.32757509643144944,0.8167304865233727,rolling
rolling_mod3_sdf_0.10_v1.5_10yrs.db,0.2040979446363918,0.529711751258757,0.7074704287342318,0.38891645190934826,0.7551272721526539,rolling
rolling_mod3_sdf_0.20_v1.5_10yrs.db,0.20060235571891927,0.507526316936371,0.6667583605140094,0.3758070599221879,0.7646769648675581,rolling
rolling_mod6_sdf_0.10_v1.5_10yrs.db,0.24143039959296225,0.7106390723922492,0.7457460604393443,0.391292856569214,0.6777362403161457,rolling
rolling_mod6_sdf_0.20_v1.5_10yrs.db,0.2308574388189529,0.6857503844018578,0.7337603646795298,0.3956046323412938,0.7008431775635378,rolling
short_exp_2ns_1expt_v1.5_10yrs.db,0.8041520763833584,0.5533054524048405,0.8853302943372497,0.4873221624182462,0.7697018738227054,short
short_exp_2ns_5expt_v1.5_10yrs.db,0.5449658900205074,0.5477920345578174,0.8583723032184538,0.47035139354998495,0.7727237099505953,short
short_exp_5ns_1expt_v1.5_10yrs.db,1.0,0.7017045890891399,1.0,0.5463005664212547,0.3614386088403425,short
short_exp_5ns_5expt_v1.5_10yrs.db,0.6467988292370257,0.6703593235070566,0.9742602271387589,0.5294946128324562,0.41566078270022333,short
spiders_v1.5_10yrs.db,0.1254284602962521,0.4247884293644021,0.4550634652414822,0.2710929171985705,0.9171073662389562,spiders
third_obs_pt120v1.5_10yrs.db,0.20290085538439673,0.40850766172648456,0.4699964632373167,0.26640793941509017,0.9012687374743419,third
third_obs_pt15v1.5_10yrs.db,0.1424248679145234,0.4301494983469702,0.4792313435768458,0.2772893457508202,0.9232854065035967,third
third_obs_pt30v1.5_10yrs.db,0.15601685125042733,0.42569781657147904,0.4608794749872283,0.27786961565697615,0.9244284144728919,third
third_obs_pt45v1.5_10yrs.db,0.14799923759987066,0.42970883106543645,0.4655951585648602,0.27109775826602456,0.9256144600592355,third
third_obs_pt60v1.5_10yrs.db,0.15917124630971624,0.4316382775973303,0.45620308877274324,0.2695679914077364,0.9125189310780792,third
third_obs_pt90v1.5_10yrs.db,0.17914461933932374,0.41959879473613837,0.47667701497229537,0.27903218662617923,0.907241344766735,third
twilight_neo_mod1_v1.5_10yrs.db,0.9059682149907637,0.4142593751959485,0.8701222147993867,0.48407151110921204,0.40802299083945986,twilight
twilight_neo_mod2_v1.5_10yrs.db,0.6319671180348018,0.4310922893520229,0.78103509254529,0.44643026999824087,0.7598341235566037,twilight
twilight_neo_mod3_v1.5_10yrs.db,0.565237611559378,0.42407946424606097,0.7319526859747709,0.4228591617747189,0.8161506415256526,twilight
twilight_neo_mod4_v1.5_10yrs.db,0.4946122402665638,0.4345272493452299,0.6824380084096356,0.39077763443174046,0.8503444650485614,twilight
u60_v1.5_10yrs.db,0.11160383507726589,0.34672644934420205,0.29807049946948555,0.1767679174509888,0.9763769837652997,u60
var_expt_v1.5_10yrs.db,0.21725107460850923,0.512926042893564,0.35630919165324004,0.19679338881044084,0.8089610700128254,var
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,0.11249309956970979,0.33872195466664706,0.18823436947380828,0.09194964480583684,0.943530929396928,wfd
wfd_depth_scale0.65_v1.5_10yrs.db,0.1226310295750633,0.3151511311295279,0.14323888867057016,0.06943273622746175,0.9135424766414837,wfd
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,0.11989447180986167,0.3605485623104342,0.23825991275985378,0.1210349650691886,0.9370598408420093,wfd
wfd_depth_scale0.70_v1.5_10yrs.db,0.1312970358517811,0.3178725213417784,0.1782135418713404,0.09307149790730744,0.9141981438237717,wfd
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,0.11665144366877873,0.3855183818099175,0.29457303414940855,0.15996927928718385,0.9351682348393545,wfd
wfd_depth_scale0.75_v1.5_10yrs.db,0.11248757854131453,0.35589948916858377,0.22026172043855854,0.11621740816386468,0.9137971879279376,wfd
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,0.1499168574449013,0.41124987268417074,0.39914331748339676,0.22564493749418543,0.9339934513415522,wfd
wfd_depth_scale0.80_v1.5_10yrs.db,0.1448862126092447,0.37401557758137843,0.288442645498487,0.16714344045589574,0.9142062397728308,wfd
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,0.15866326249562065,0.4368079071765501,0.5338546783510826,0.3050714094418745,0.9394662835778796,wfd
wfd_depth_scale0.85_v1.5_10yrs.db,0.15781085980834667,0.39487979016628383,0.3682948874130545,0.21096615571112742,0.9164568507776069,wfd
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,0.15321281247192153,0.4612457140350651,0.6605886744999409,0.36299331260108986,0.9393778730174892,wfd
wfd_depth_scale0.90_v1.5_10yrs.db,0.14906618946202027,0.4192155707322654,0.4642197508547175,0.28380888141595395,0.9212203565934871,wfd
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,0.13820115606835034,0.4876146862577815,0.8028844264549847,0.44607337014308795,0.9425996645945184,wfd
wfd_depth_scale0.95_v1.5_10yrs.db,0.15716432130140068,0.44314219300812946,0.6161433567807599,0.3501201917713765,0.9218292742348233,wfd
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,0.15366910090655636,0.5234215289087868,0.8928360906983137,0.47638882840630214,0.9425583019278974,wfd
wfd_depth_scale0.99_v1.5_10yrs.db,0.1509220274577178,0.48151461470386775,0.7417770267615041,0.41613957622481473,0.9215521550891469,wfd
baseline_nexp1_v1.7_10yrs.db,0.18344491518822192,0.5005867754159524,0.8204503477816636,0.4671843499979127,0.9373423446805689,baseline
baseline_nexp2_v1.7_10yrs.db,0.17787018554421988,0.45248065363159007,0.5227728219436474,0.3080379408395205,0.8624474182057342,baseline
cadence_drive_gl100_gcbv1.7_10yrs.db,0.15739663023244507,0.5359672106541989,0.5717373364247258,0.32869695814473,0.8083281217824391,cadence
cadence_drive_gl100v1.7_10yrs.db,0.16482327626539203,0.5276191485183704,0.5427358824222892,0.31764505427278894,0.8057252839778462,cadence
cadence_drive_gl200_gcbv1.7_10yrs.db,0.14650392706807402,0.4817620883549881,0.5669430581208001,0.31937016004823665,0.7606746486490735,cadence
cadence_drive_gl200v1.7_10yrs.db,0.14851546416641762,0.452462646513778,0.5524423311195817,0.3121693576302953,0.7578208164012472,cadence
cadence_drive_gl30_gcbv1.7_10yrs.db,0.17497786946610303,0.5554686562552321,0.5674146264785633,0.32962968205914883,0.8394399433323116,cadence
cadence_drive_gl30v1.7_10yrs.db,0.16007428182255884,0.5330082658947284,0.5588870986756789,0.3319982782679011,0.8420379109524868,cadence
ddf_dither0.00_v1.7_10yrs.db,0.16385380628216265,0.43659678753566644,0.5256415294533736,0.31369662060483866,0.8653248626336248,ddf
ddf_dither0.05_v1.7_10yrs.db,0.16347524616247536,0.44451736408560466,0.5200220065233621,0.2997478619517858,0.8620899024170375,ddf
ddf_dither0.10_v1.7_10yrs.db,0.16415688645105217,0.44169189848835855,0.5281565606947773,0.31265681652272787,0.8615190856027088,ddf
ddf_dither0.30_v1.7_10yrs.db,0.16597954672340037,0.4462089348160974,0.5270562345266632,0.3178801932847913,0.8635589335351492,ddf
ddf_dither0.70_v1.7_10yrs.db,0.17787018554421988,0.45248065363159007,0.5227728219436474,0.3080379408395205,0.8624474182057342,ddf
ddf_dither1.00_v1.7_10yrs.db,0.15217377731461101,0.43130018327391484,0.5312217550202382,0.3122047343304671,0.8600341964007224,ddf
ddf_dither1.50_v1.7_10yrs.db,0.16370688466945024,0.4406692277082526,0.5305536998467403,0.29951647123006697,0.8610361326802116,ddf
ddf_dither2.00_v1.7_10yrs.db,0.16134294889912631,0.42805814445901696,0.5225763351279128,0.3054960436428518,0.8593179525343358,ddf
euclid_dither1_v1.7_10yrs.db,0.17787018554421988,0.45248065363159007,0.5227728219436474,0.3080379408395205,0.8624474182057342,euclid
euclid_dither2_v1.7_10yrs.db,0.14673305858311958,0.4458398848641425,0.5366447911345148,0.3079468949392734,0.8645003219130641,euclid
euclid_dither3_v1.7_10yrs.db,0.15588874956620427,0.44880341093208825,0.5193146539867175,0.30572781697498436,0.8623275281766818,euclid
euclid_dither4_v1.7_10yrs.db,0.16599566400205823,0.44378214280362177,0.544740047942783,0.31491801454194907,0.8597016073936018,euclid
euclid_dither5_v1.7_10yrs.db,0.1655544881663659,0.44242542313679717,0.5342083546194049,0.31347010755076626,0.8655195385960012,euclid
footprint_0_v1.710yrs.db,0.15435826928796917,0.5416099968086054,0.3797697174519589,0.1271617640622943,0.7741139174015486,footprint
footprint_1_v1.710yrs.db,0.14312278328636224,0.5559770253544247,0.42032459621959367,0.13859332972579694,0.781341525453298,footprint
footprint_2_v1.710yrs.db,0.14263694543010788,0.559589428295657,0.4221715722874994,0.13974074852294635,0.7909744777793759,footprint
footprint_3_v1.710yrs.db,0.1456282315521451,0.5392513039925969,0.40346602742955945,0.13196693164873732,0.7924720349918091,footprint
footprint_4_v1.710yrs.db,0.13154342976136676,0.5324327899962117,0.4311313710850001,0.1442544592434831,0.8228051114141651,footprint
footprint_5_v1.710yrs.db,0.1456282315521451,0.5392513039925969,0.40346602742955945,0.13196693164873732,0.7924720349918091,footprint
footprint_6_v1.710yrs.db,0.14393714642301586,0.5442611530155008,0.3856250245608519,0.13086505364046064,0.7852888301414751,footprint
footprint_7_v1.710yrs.db,0.13674325243547467,0.5563090240703774,0.4371045702833339,0.14868974774691032,0.7778188473354891,footprint
footprint_8_v1.710yrs.db,0.17039485420028927,0.5865542829623533,0.4328604550634651,0.14869093955989535,0.7392314371776868,footprint
pair_times_11_v1.7_10yrs.db,0.11867376116311068,0.46293772604218686,0.38047706998860364,0.21897531612782534,0.91614766362171,pair
pair_times_22_v1.7_10yrs.db,0.17787018554421988,0.45248065363159007,0.5227728219436474,0.3080379408395205,0.8624474182057342,pair
pair_times_33_v1.7_10yrs.db,0.19218798551451136,0.33702172540341147,0.5515777891303493,0.32991666262926567,0.8137273536602325,pair
pair_times_44_v1.7_10yrs.db,0.1909635070675352,0.267834986558635,0.548826973710064,0.3210354746422863,0.7816384436443335,pair
pair_times_55_v1.7_10yrs.db,0.21835957832863326,0.20482512831912536,0.5151884308562895,0.30170632040379936,0.7397977076805534,pair
rolling_nm_scale0.2_nslice2_v1.7_10yrs.db,0.17724023902585498,0.4351547912555112,0.5267025582583408,0.3113975130906247,0.8603124538401401,rolling
rolling_nm_scale0.2_nslice3_v1.7_10yrs.db,0.17928319274254184,0.44677780123391264,0.5268597477109286,0.3010457139982064,0.865294318601706,rolling
rolling_nm_scale0.4_nslice2_v1.7_10yrs.db,0.18132971762375646,0.452055884136539,0.5379416041183636,0.32098715100853914,0.8584886345604562,rolling
rolling_nm_scale0.4_nslice3_v1.7_10yrs.db,0.16931153753693215,0.4517694111387095,0.5401029590914449,0.31202363811671685,0.8552811686741159,rolling
rolling_nm_scale0.6_nslice2_v1.7_10yrs.db,0.18529518574016318,0.4611791796333345,0.5444256690376074,0.3229684919623007,0.8582216838399109,rolling
rolling_nm_scale0.6_nslice3_v1.7_10yrs.db,0.17030712389355193,0.4763760166466462,0.5529924942036389,0.3292494192862781,0.8471899163607258,rolling
rolling_nm_scale0.8_nslice2_v1.7_10yrs.db,0.19133355674518485,0.46591498003508014,0.5693008999096161,0.34341010658567755,0.8420378244067656,rolling
rolling_nm_scale0.8_nslice3_v1.7_10yrs.db,0.18756489789798517,0.47603754958606515,0.5665893818524776,0.3510522744135182,0.8457782490209526,rolling
rolling_nm_scale0.9_nslice2_v1.7_10yrs.db,0.1613630865235706,0.4719261427943936,0.5653318662317757,0.3348554815078919,0.843710326266245,rolling
rolling_nm_scale0.9_nslice3_v1.7_10yrs.db,0.18110756196247388,0.47406124683064754,0.5700082524462609,0.33953983616540895,0.833230191259407,rolling
rolling_nm_scale1.0_nslice2_v1.7_10yrs.db,0.16511931067436036,0.4797547201643101,0.5795968090541123,0.35480405340277354,0.8326698876259625,rolling
rolling_nm_scale1.0_nslice3_v1.7_10yrs.db,0.16493717310420655,0.4777394268905077,0.5703226313514362,0.3503004415672338,0.8336697636175473,rolling
rolling_scale0.2_nslice2_v1.7_10yrs.db,0.15624655286696412,0.6374945638621698,0.539356309191653,0.31368083546475317,0.8555204660565349,rolling
rolling_scale0.2_nslice3_v1.7_10yrs.db,0.17283969107459166,0.6370311571296525,0.5452116163005463,0.31707091382236946,0.8531304024402134,rolling
rolling_scale0.4_nslice2_v1.7_10yrs.db,0.16091775569997324,0.6498769586719286,0.5521279522144062,0.3144852424881276,0.8462542585422713,rolling
rolling_scale0.4_nslice3_v1.7_10yrs.db,0.15243853373491173,0.6753130825617341,0.572798365229693,0.33151632755062965,0.8462385783103703,rolling
rolling_scale0.6_nslice2_v1.7_10yrs.db,0.16050272175830743,0.6707104911827212,0.5749990175659212,0.3341447940441913,0.8395956450427715,rolling
rolling_scale0.6_nslice3_v1.7_10yrs.db,0.16946179902566383,0.6896850814485491,0.5708727944354933,0.3406981941141553,0.8363395846533247,rolling
rolling_scale0.8_nslice2_v1.7_10yrs.db,0.15307562260135293,0.6846142848297625,0.5843124926317441,0.34113482425883734,0.8328224569808133,rolling
rolling_scale0.8_nslice3_v1.7_10yrs.db,0.16795739281714106,0.696372066185078,0.5797932958698471,0.34319499003182385,0.8292685585003284,rolling
rolling_scale0.9_nslice2_v1.7_10yrs.db,0.16701878134791626,0.6969672917590501,0.5847447636263605,0.3458134302256437,0.8249532052967448,rolling
rolling_scale0.9_nslice3_v1.7_10yrs.db,0.15853779278868912,0.6962279451771847,0.5892246630251108,0.34053706161370734,0.8144216412650721,rolling
rolling_scale1.0_nslice2_v1.7_10yrs.db,0.1431336765842424,0.6947602962983366,0.5927614257083349,0.35087205076065536,0.8214333503243447,rolling
rolling_scale1.0_nslice3_v1.7_10yrs.db,0.170505534215085,0.719897488256006,0.5931543993398043,0.35179094749149536,0.8101646917496567,rolling
twi_neo_pattern1_v1.7_10yrs.db,0.10779907112956354,0.3484534425646438,0.3024325067787951,0.1827000255656342,0.8489779591282894,twi
twi_neo_pattern2_v1.7_10yrs.db,0.14800559894213847,0.3952109526130239,0.38185247769874636,0.22724422718668705,0.8572008105256427,twi
twi_neo_pattern3_v1.7_10yrs.db,0.16349880033550934,0.4101352136612453,0.41816324124651233,0.24375365739724295,0.8591086133526311,twi
twi_neo_pattern4_v1.7_10yrs.db,0.1553902304613095,0.41511322133779904,0.4408378197822925,0.25675994910316974,0.8613914061523011,twi
twi_neo_pattern5_v1.7_10yrs.db,0.15546712483247055,0.39986885083998247,0.3812237198883955,0.22227521161157793,0.8559624500883343,twi
twi_neo_pattern6_v1.7_10yrs.db,0.14507239669627872,0.4001044108659814,0.3903014107753369,0.2232348320538785,0.8569438423416278,twi
twi_neo_pattern7_v1.7_10yrs.db,0.15135536804928265,0.4101899086343281,0.41741659134672054,0.24003130619286728,0.8632229512309799,twi
twi_pairs_mixed_repeat_v1.7_10yrs.db,0.16962697497388762,0.5802932810028809,0.5931936967029512,0.3301089588094288,0.860962093406423,twi
twi_pairs_mixed_v1.7_10yrs.db,0.16325794638770885,0.48100016694173614,0.5307501866624749,0.30597858057832955,0.8649425391382607,twi
twi_pairs_repeat_v1.7_10yrs.db,0.1695822211927558,0.5058080280315704,0.5566471489763036,0.3212971798577457,0.8575835531841853,twi
twi_pairs_v1.7_10yrs.db,0.1780587364272207,0.4263016881592519,0.5070145793217274,0.3072116567432104,0.8635737185458211,twi
u_long_ms_30_v1.7_10yrs.db,0.19258828867845143,0.3780610121785539,0.574527449208158,0.3385416215892239,0.8391392775383312,u
u_long_ms_40_v1.7_10yrs.db,0.18526399050857328,0.3804296618123992,0.5273313160686917,0.31032018550714596,0.8558586426431583,u
u_long_ms_50_v1.7_10yrs.db,0.1535249172094551,0.38460569305571896,0.469210515974378,0.2794342111352452,0.8567454862874707,u
u_long_ms_60_v1.7_10yrs.db,0.16525674420745995,0.38425395053870237,0.4237041694502298,0.2531824208614433,0.8638045604014575,u
baseline_nexp2_v1.7.1_10yrs.db,0.16775703833244218,0.4461809917565729,0.5328722442724092,0.271085300975358,0.9077643291399711,baseline
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7.1_10yrs.db,0.16093550375783372,0.2905820644078163,0.48351475615986167,0.5460284000096506,0.8212379757971021,bulge
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7.1_10yrs.db,0.1987866613633566,0.3653749977692689,0.621330608716155,0.6952087970170175,0.7934340145038288,bulge
