db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
alt_dust_v1.5_10yrs.db,3.0551036849702595,0.011177205319143164,0.01950861890582,0.013753918585097146,0.001013942542858796,,12.069434650632179,0.057099224596755364,0.018494475695224184,0.004595567649988498,0.0008016075546647241,157.7528807338652,0.05990181189828558,0.01719295285714234,0.004737637428880728,73.08129099693636,0.062244911522800005,0.07017025835509283,186.8292455661906,0.2258298928548358,143.74253358324648
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,2.982376134402734,0.018349902330414874,0.021889359339152377,0.011029375613339859,0.0006194756396805537,,13.646231496172879,0.04757627465375706,0.024174205767703544,0.00559052223917989,0.0017411639576341723,228.76072577933553,0.046996572082701145,0.009468298780394544,0.006425250571924743,164.23701641098782,0.048753359952597455,0.09050449679153218,251.16622898752263,0.20362952934421438,64.77922354033264
baseline_2snaps_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
baseline_samefilt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
baseline_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_bs_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_bulge_wfd_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_cadence_bs_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_cadence_bulge_wfd_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_cadence_i_heavy_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_i_heavy_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
daily_ddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham1_ug_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham1_ugr_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham1_ugri_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham2_ug_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham2_ugr_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham2_ugri_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
descddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx1_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx2_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx3_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx4_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx5_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx6_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx7_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx8_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_add_mag_cloudsv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_big_sky_dustv1.5_10yrs.db,0.995596599710573,0.035599756379992686,0.10785006577191926,0.021220678448062375,0.0006337283931268195,,4.411939334535962,0.34689239337670646,0.054925520845628684,0.0016222108979313291,,368.1573849588551,0.40222482943910315,0.006235206475069629,0.0029772070114113206,152.00026403914586,0.156047421248872,0.6377927350487371,293.84404590547,0.3347357138758998,132.41546661487772
footprint_big_sky_nouiyv1.5_10yrs.db,4.633919184016837,0.015413155486342148,0.08060094827762808,0.021919219489261982,0.0006194756396805537,,12.680161030777823,0.12516418752158762,0.11454752692928281,0.002220625199747108,0.0006284547612558839,232.3393543580031,0.5186159663151261,0.07284219666773324,0.005590532595279039,133.72427072369138,0.03388310516414054,0.18577168110909065,116.1353576761556,0.27466656064638806,205.85001852239603
footprint_big_skyv1.5_10yrs.db,3.4347894049235994,0.03995363023963269,0.07724885704508226,0.009880250643439954,0.0006374860113640337,,7.880895412512253,0.6272348382851789,0.030129603628227742,0.0037595451932009643,0.0008063474247940545,361.79976600585263,0.1643193438301493,0.06643691433288472,0.01615714340013231,141.58542620792835,0.07974106133947563,0.16267856510998935,148.5080558145193,0.2192858047106065,230.02956470363148
footprint_big_wfdv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_bluer_footprintv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_gp_smoothv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_newAv1.5_10yrs.db,1.1585324071427217,0.046966550935220994,0.10674802337548892,0.018929413530196827,0.0006404113927102807,0.0006284547612558839,7.1240861600494565,0.3991232594433157,0.028032666222405953,0.0021029561275273767,0.0017879762666906602,194.20617259960147,0.30410908739492265,0.02067306592227075,0.02420414019011642,47.619166283569676,0.0454877897808899,0.10296462707882434,102.88418535264692,0.1330184771854737,69.80979533013323
footprint_newBv1.5_10yrs.db,1.9415976072114494,0.03296858237710413,0.09131086885670284,0.027545013353638,0.001066740062761334,,11.494177080349951,0.12686693113755523,0.02959603614228708,0.012577874754370277,0.0012719222543246514,236.2385732874207,0.10260243491942823,0.024617282541809445,0.012055258431644747,136.75215900747335,0.09898987465848447,0.14210806555784045,115.20426036402583,0.08251875853435685,145.15412230334465
footprint_no_gp_northv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_standard_goalsv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_stuck_rollingv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_gi_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_gri_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_griz_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_gz_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_i_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
greedy_footprint_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,4.394045611517448,0.08101752869898382,0.071085558689114,0.022629659351887467,0.00100556239127528,,14.975529462950215,0.17231916174818154,0.036828646099728475,0.0010517435054515152,,222.98552615335717,0.08342736716337928,0.01528832201175736,0.0061705486739010405,193.89641235075175,0.09919238098713853,0.17562068200237935,278.9033323664948,0.11249415804308098,71.59076893317085
rolling_mod2_sdf_0.10_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod2_sdf_0.20_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod3_sdf_0.10_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod3_sdf_0.20_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod6_sdf_0.10_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod6_sdf_0.20_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_2ns_1expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_2ns_5expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_5ns_1expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_5ns_5expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
spiders_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt120v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt15v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt30v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt45v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt60v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt90v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod1_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod2_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod3_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod4_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
u60_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
var_expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.65_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.70_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.75_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.80_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
