db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp1_v1.7_10yrs.db,49,70,70,81,78,42,50,69,76,88,73,49,69,80,86,52,67,82,52,74,51
baseline_nexp2_v1.7_10yrs.db,20,67,68,79,66,27,29,68,78,86,76,23,68,79,83,25,67,83,13,73,26
cadence_drive_gl100_gcbv1.7_10yrs.db,12,27,72,79,69,58,49,68,72,92,91,28,64,83,92,10,65,80,7,70,21
cadence_drive_gl100v1.7_10yrs.db,13,18,72,79,74,66,43,67,72,91,92,18,64,83,92,13,61,82,11,71,23
cadence_drive_gl200_gcbv1.7_10yrs.db,0,0,74,69,65,80,70,75,73,92,91,29,39,86,91,5,67,81,1,56,11
cadence_drive_gl200v1.7_10yrs.db,0,0,77,75,71,85,68,73,76,92,90,15,29,84,93,4,65,80,2,61,8
cadence_drive_gl30_gcbv1.7_10yrs.db,28,56,70,77,71,38,32,66,76,89,89,22,69,83,91,20,64,79,13,69,25
cadence_drive_gl30v1.7_10yrs.db,23,61,70,78,75,55,31,67,78,93,92,20,68,82,92,19,64,84,13,73,25
ddf_dither0.00_v1.7_10yrs.db,28,66,69,77,75,26,27,67,77,85,80,16,68,82,90,19,66,83,12,70,23
ddf_dither0.05_v1.7_10yrs.db,26,67,69,78,75,27,29,66,78,87,82,21,67,80,87,16,65,81,16,74,27
ddf_dither0.10_v1.7_10yrs.db,29,69,68,78,69,38,23,68,78,88,80,14,69,84,87,19,66,80,16,72,27
ddf_dither0.30_v1.7_10yrs.db,28,66,70,78,72,36,21,67,76,88,77,16,70,81,88,20,65,81,18,71,31
ddf_dither0.70_v1.7_10yrs.db,20,67,68,79,66,27,29,68,78,86,76,23,68,79,83,25,67,83,13,73,26
ddf_dither1.00_v1.7_10yrs.db,26,66,71,81,75,39,27,66,76,87,76,16,66,80,88,25,63,81,12,72,27
ddf_dither1.50_v1.7_10yrs.db,27,66,67,81,63,21,28,67,77,86,69,17,68,80,88,20,64,82,11,70,26
ddf_dither2.00_v1.7_10yrs.db,29,64,69,78,61,20,37,68,75,88,79,24,68,80,88,22,65,79,15,73,32
euclid_dither1_v1.7_10yrs.db,20,67,68,79,66,27,29,68,78,86,76,23,68,79,83,25,67,83,13,73,26
euclid_dither2_v1.7_10yrs.db,28,66,69,79,66,37,20,66,77,88,82,20,66,83,90,25,63,81,12,72,26
euclid_dither3_v1.7_10yrs.db,28,63,70,80,67,26,26,65,77,86,76,19,65,80,87,17,66,81,17,72,27
euclid_dither4_v1.7_10yrs.db,31,68,68,77,63,20,26,66,75,88,85,22,68,82,89,28,65,81,13,73,28
euclid_dither5_v1.7_10yrs.db,30,67,69,78,68,33,28,68,77,86,76,19,67,81,84,24,66,82,16,72,26
footprint_0_v1.710yrs.db,0,7,7,10,9,6,1,7,8,14,11,0,7,12,13,0,6,11,0,8,2
footprint_1_v1.710yrs.db,2,7,9,11,12,7,1,7,9,12,10,0,8,9,13,1,8,11,1,8,1
footprint_2_v1.710yrs.db,0,4,6,10,6,6,0,6,8,13,10,1,7,10,14,1,6,11,2,8,3
footprint_3_v1.710yrs.db,0,8,8,10,12,5,1,7,9,13,11,0,8,12,17,0,7,12,0,7,1
footprint_4_v1.710yrs.db,1,6,7,9,9,5,1,6,8,14,13,1,6,10,14,0,6,10,0,7,0
footprint_5_v1.710yrs.db,0,8,8,10,12,5,1,7,9,13,11,0,8,12,17,0,7,12,0,7,1
footprint_6_v1.710yrs.db,0,6,7,11,8,2,1,7,9,15,12,1,8,12,16,0,6,11,1,8,1
footprint_7_v1.710yrs.db,2,6,9,11,12,9,0,8,10,15,12,1,8,12,15,2,7,11,1,8,2
footprint_8_v1.710yrs.db,1,5,7,10,6,3,1,6,9,15,9,0,8,10,16,2,7,12,0,8,1
pair_times_11_v1.7_10yrs.db,10,63,67,79,64,16,6,63,73,87,76,3,67,79,88,5,64,79,3,72,10
pair_times_22_v1.7_10yrs.db,20,67,68,79,66,27,29,68,78,86,76,23,68,79,83,25,67,83,13,73,26
pair_times_33_v1.7_10yrs.db,40,67,71,78,72,44,37,67,74,90,89,27,66,83,88,31,65,82,23,67,37
pair_times_44_v1.7_10yrs.db,46,65,70,81,76,43,39,67,73,88,80,30,65,82,89,36,64,82,21,69,31
pair_times_55_v1.7_10yrs.db,48,64,67,76,76,34,39,64,72,89,83,32,62,81,88,29,63,79,24,69,31
rolling_nm_scale0.2_nslice2_v1.7_10yrs.db,30,67,72,81,72,32,22,68,78,87,79,23,66,80,88,22,66,83,12,71,25
rolling_nm_scale0.2_nslice3_v1.7_10yrs.db,23,67,68,79,75,18,21,66,77,86,80,16,68,79,87,25,64,81,14,72,31
rolling_nm_scale0.4_nslice2_v1.7_10yrs.db,25,66,69,80,63,33,30,69,77,87,80,20,69,81,91,23,67,83,15,71,24
rolling_nm_scale0.4_nslice3_v1.7_10yrs.db,21,67,68,81,66,33,20,68,76,87,81,16,70,82,88,17,67,82,10,75,23
rolling_nm_scale0.6_nslice2_v1.7_10yrs.db,19,67,69,78,76,39,25,66,76,89,83,14,70,84,88,22,66,82,15,73,25
rolling_nm_scale0.6_nslice3_v1.7_10yrs.db,24,66,65,78,65,37,31,66,77,91,80,21,71,85,87,26,66,79,12,75,25
rolling_nm_scale0.8_nslice2_v1.7_10yrs.db,25,67,68,79,75,42,29,69,76,85,77,17,69,85,90,20,67,84,14,74,26
rolling_nm_scale0.8_nslice3_v1.7_10yrs.db,32,69,72,82,78,30,28,66,80,86,79,21,71,82,89,22,66,85,13,73,33
rolling_nm_scale0.9_nslice2_v1.7_10yrs.db,28,67,68,79,63,36,24,68,77,88,78,19,71,81,88,27,65,85,11,76,27
rolling_nm_scale0.9_nslice3_v1.7_10yrs.db,29,68,67,76,68,41,30,68,77,87,77,19,70,84,84,24,68,81,19,77,25
rolling_nm_scale1.0_nslice2_v1.7_10yrs.db,27,68,69,80,73,49,28,68,77,88,83,21,69,85,88,21,69,84,17,77,19
rolling_nm_scale1.0_nslice3_v1.7_10yrs.db,30,67,66,78,74,48,35,67,77,88,84,20,71,87,89,22,67,81,13,73,24
rolling_scale0.2_nslice2_v1.7_10yrs.db,19,68,68,79,68,31,28,66,77,88,75,21,68,81,90,20,66,78,15,68,31
rolling_scale0.2_nslice3_v1.7_10yrs.db,24,69,68,76,69,25,19,67,75,88,82,20,69,84,87,24,67,81,16,69,26
rolling_scale0.4_nslice2_v1.7_10yrs.db,26,70,71,80,69,28,21,68,78,87,83,18,69,84,87,19,68,82,11,68,27
rolling_scale0.4_nslice3_v1.7_10yrs.db,17,66,69,82,61,35,20,67,79,90,81,16,69,85,88,14,66,80,19,71,29
rolling_scale0.6_nslice2_v1.7_10yrs.db,26,67,68,80,68,28,20,67,78,88,85,16,71,81,89,18,64,83,14,73,33
rolling_scale0.6_nslice3_v1.7_10yrs.db,25,70,68,80,70,42,21,67,78,88,81,20,69,84,91,16,66,82,14,74,29
rolling_scale0.8_nslice2_v1.7_10yrs.db,20,68,68,81,68,22,26,67,77,86,80,19,69,84,89,19,68,82,21,71,34
rolling_scale0.8_nslice3_v1.7_10yrs.db,20,68,68,79,67,30,22,67,79,89,80,20,69,86,90,18,67,84,13,71,33
rolling_scale0.9_nslice2_v1.7_10yrs.db,23,69,69,79,65,41,25,69,76,88,83,23,69,84,89,27,67,84,19,75,33
rolling_scale0.9_nslice3_v1.7_10yrs.db,29,68,67,80,62,38,20,68,74,87,77,18,68,84,89,23,67,82,20,71,27
rolling_scale1.0_nslice2_v1.7_10yrs.db,15,66,67,77,78,43,23,67,77,91,82,18,69,82,91,17,69,83,17,76,29
rolling_scale1.0_nslice3_v1.7_10yrs.db,23,71,66,80,69,38,30,67,74,88,82,22,71,84,90,24,70,86,12,74,23
twi_neo_pattern1_v1.7_10yrs.db,8,49,71,76,66,26,0,66,71,88,80,0,66,79,86,0,63,78,0,70,0
twi_neo_pattern2_v1.7_10yrs.db,13,58,68,78,70,25,11,67,74,87,78,1,67,80,87,1,67,81,0,72,3
twi_neo_pattern3_v1.7_10yrs.db,19,66,68,77,68,16,11,66,75,86,72,4,67,84,86,6,67,80,5,71,7
twi_neo_pattern4_v1.7_10yrs.db,25,67,71,80,57,25,9,68,74,87,77,7,69,82,90,4,65,82,5,71,19
twi_neo_pattern5_v1.7_10yrs.db,9,59,68,76,63,19,6,65,73,87,79,2,66,80,87,3,65,80,3,69,8
twi_neo_pattern6_v1.7_10yrs.db,20,60,68,72,57,27,9,67,74,90,77,2,68,79,86,4,66,83,0,71,5
twi_neo_pattern7_v1.7_10yrs.db,15,62,68,77,59,17,11,64,78,87,74,2,67,82,89,3,67,79,4,71,15
