db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp1_v1.7_10yrs.db,5,5,5,5,4,2,5,5,5,3,2,5,5,5,4,5,5,5,5,5,5
baseline_nexp2_v1.7_10yrs.db,5,5,5,5,5,2,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5
cadence_drive_gl100_gcbv1.7_10yrs.db,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cadence_drive_gl100v1.7_10yrs.db,5,5,5,5,3,2,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
cadence_drive_gl200_gcbv1.7_10yrs.db,5,5,5,5,3,0,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5
cadence_drive_gl200v1.7_10yrs.db,5,5,5,5,3,3,5,5,5,5,4,5,5,4,3,5,5,5,5,5,5
cadence_drive_gl30_gcbv1.7_10yrs.db,5,5,5,5,5,0,5,5,5,5,1,5,5,5,4,5,5,5,5,5,5
cadence_drive_gl30v1.7_10yrs.db,5,5,5,5,4,0,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
ddf_dither0.00_v1.7_10yrs.db,5,5,5,5,5,0,5,5,5,5,1,5,5,5,2,5,5,5,5,5,5
ddf_dither0.05_v1.7_10yrs.db,5,5,5,5,4,1,5,5,5,3,1,5,5,5,1,5,5,5,5,5,5
ddf_dither0.10_v1.7_10yrs.db,5,5,5,5,1,0,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5
ddf_dither0.30_v1.7_10yrs.db,5,5,5,5,5,0,5,5,5,2,0,5,5,4,1,5,5,5,5,5,5
ddf_dither0.70_v1.7_10yrs.db,5,5,5,5,5,2,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5
ddf_dither1.00_v1.7_10yrs.db,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ddf_dither1.50_v1.7_10yrs.db,5,5,5,5,0,0,5,5,5,1,0,5,5,5,1,5,5,5,5,5,5
ddf_dither2.00_v1.7_10yrs.db,5,5,5,5,0,0,5,5,5,4,0,5,5,4,3,5,5,5,5,5,5
euclid_dither1_v1.7_10yrs.db,5,5,5,5,5,2,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5
euclid_dither2_v1.7_10yrs.db,5,5,5,5,5,0,5,5,5,5,0,5,5,4,1,5,5,5,5,5,5
euclid_dither3_v1.7_10yrs.db,5,5,5,5,5,1,5,5,5,5,0,5,5,5,4,5,5,5,5,5,5
euclid_dither4_v1.7_10yrs.db,5,5,5,5,5,0,5,5,5,5,0,5,5,5,3,5,5,5,5,5,5
euclid_dither5_v1.7_10yrs.db,5,5,5,5,4,0,5,5,5,4,0,5,5,5,2,5,5,5,5,5,5
footprint_0_v1.710yrs.db,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
footprint_1_v1.710yrs.db,5,5,5,5,4,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
footprint_2_v1.710yrs.db,5,5,5,5,5,0,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
footprint_3_v1.710yrs.db,5,5,5,5,3,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
