db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp1_v1.7_10yrs.db,756,895,1181,1155,981,703,892,1126,1199,1107,966,965,1140,1200,1071,986,1171,1098,985,1069,838
baseline_nexp2_v1.7_10yrs.db,286,608,938,926,794,516,288,792,972,952,812,130,816,1045,877,151,847,836,176,751,211
cadence_drive_gl100_gcbv1.7_10yrs.db,154,7,1302,840,987,1126,871,1143,721,1553,1586,273,334,1224,1425,94,570,530,118,424,125
cadence_drive_gl100v1.7_10yrs.db,159,14,1283,832,1064,1136,634,901,612,1617,1603,178,271,1163,1417,83,587,570,105,421,123
cadence_drive_gl200_gcbv1.7_10yrs.db,2,0,1266,460,812,1514,1369,1457,1018,1697,1599,345,6,1346,1458,10,514,525,14,68,38
cadence_drive_gl200v1.7_10yrs.db,3,0,1247,438,830,1484,1371,1432,1004,1680,1554,221,6,1358,1458,3,468,437,14,20,13
cadence_drive_gl30_gcbv1.7_10yrs.db,265,208,1049,830,944,784,425,809,936,1426,1486,166,766,1269,1345,105,702,710,129,533,139
cadence_drive_gl30v1.7_10yrs.db,292,209,1015,865,994,905,301,655,891,1370,1486,161,790,1222,1358,110,645,695,127,589,164
ddf_dither0.00_v1.7_10yrs.db,297,546,931,910,862,623,274,731,930,972,972,160,819,1007,950,138,856,810,172,746,198
ddf_dither0.05_v1.7_10yrs.db,295,565,938,941,833,556,289,759,936,901,809,155,832,1013,890,146,839,770,193,708,201
ddf_dither0.10_v1.7_10yrs.db,306,604,1012,972,758,541,292,822,983,930,851,148,818,990,888,137,825,829,173,749,191
ddf_dither0.30_v1.7_10yrs.db,287,613,928,964,866,537,275,748,943,960,854,143,786,1054,913,147,848,844,185,742,229
ddf_dither0.70_v1.7_10yrs.db,286,608,938,926,794,516,288,792,972,952,812,130,816,1045,877,151,847,836,176,751,211
ddf_dither1.00_v1.7_10yrs.db,313,591,995,950,865,658,288,809,942,950,847,142,813,1012,868,169,844,800,181,736,190
ddf_dither1.50_v1.7_10yrs.db,297,602,922,966,768,514,280,772,970,959,918,142,830,1004,963,148,845,874,181,783,216
ddf_dither2.00_v1.7_10yrs.db,328,621,958,914,755,575,293,805,968,950,866,171,803,996,862,142,801,798,170,755,202
euclid_dither1_v1.7_10yrs.db,286,608,938,926,794,516,288,792,972,952,812,130,816,1045,877,151,847,836,176,751,211
euclid_dither2_v1.7_10yrs.db,308,569,993,977,875,621,286,783,964,944,891,149,804,1053,924,155,828,776,188,751,196
euclid_dither3_v1.7_10yrs.db,295,551,940,924,825,555,258,800,987,909,775,130,819,997,851,154,872,808,164,771,197
euclid_dither4_v1.7_10yrs.db,295,606,989,1009,867,549,298,808,1023,993,916,154,844,1058,921,151,863,828,153,722,198
