uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
851,997,1014,982,981,703,961,1009,998,938,966,1016,1011,987,977,993,1015,1001,1015,1012,867
369,727,704,693,794,516,348,658,687,784,812,165,587,772,759,152,605,727,188,675,229
210,11,1222,543,987,1126,965,1001,382,1493,1586,313,190,1004,1411,94,356,412,128,353,155
220,23,1211,553,1064,1136,726,710,305,1524,1603,198,147,898,1385,84,382,429,112,361,141
5,0,1149,267,812,1514,1373,1431,723,1675,1599,388,1,1213,1445,10,339,399,16,57,41
5,0,1108,240,830,1484,1376,1406,727,1660,1554,249,1,1222,1448,3,288,328,14,13,18
344,293,780,557,944,784,517,636,625,1329,1486,201,585,1057,1321,106,464,585,137,468,158
359,288,780,561,994,905,380,492,576,1278,1486,186,589,1012,1328,111,406,574,132,525,177
382,699,676,661,862,623,346,581,636,801,972,181,610,812,835,139,618,683,184,671,214
380,670,648,683,833,556,344,606,667,733,809,179,640,785,782,146,577,632,202,649,234
384,738,745,697,758,541,369,665,668,769,851,183,611,748,781,139,591,718,183,699,222
379,733,701,722,866,537,367,582,657,759,854,158,575,775,785,147,597,703,195,676,262
369,727,704,693,794,516,348,658,687,784,812,165,587,772,759,152,605,727,188,675,229
399,722,727,698,865,658,366,639,663,768,847,183,605,762,772,171,623,679,193,662,218
395,735,679,707,768,514,363,613,695,770,918,176,608,757,863,149,586,749,189,723,241
424,740,681,654,755,575,381,652,674,768,866,199,624,728,776,144,547,676,185,688,235
369,727,704,693,794,516,348,658,687,784,812,165,587,772,759,152,605,727,188,675,229
398,700,703,735,875,621,352,632,648,766,891,186,603,810,819,155,582,662,203,686,227
386,694,683,682,825,555,335,630,678,714,775,151,614,744,744,156,605,685,171,701,218
372,744,721,766,867,549,350,651,718,826,916,180,640,795,821,151,617,697,171,672,224
407,701,724,676,839,670,334,616,657,783,876,168,605,789,776,146,616,697,195,700,223
179,566,476,553,749,622,139,384,466,663,973,36,438,637,955,30,410,446,44,347,135
257,578,648,643,845,767,168,464,560,800,1079,51,466,711,1015,53,422,455,84,312,169
259,602,632,637,849,720,205,476,537,729,1078,76,470,689,996,64,490,512,98,350,186
261,565,601,602,821,653,144,435,535,754,1089,49,451,668,1036,40,435,505,59,326,110
391,697,754,668,767,661,350,612,620,729,1053,170,589,732,1041,119,536,537,161,427,258
261,565,601,602,821,653,144,435,535,754,1089,49,451,668,1036,40,435,505,59,326,110
219,602,573,627,791,629,159,458,550,712,1016,35,532,720,1011,31,390,427,47,322,103
247,595,598,690,898,624,201,503,582,753,989,79,550,663,976,89,427,476,105,414,202
205,589,579,608,801,761,151,417,542,771,1111,54,521,709,950,45,363,442,60,385,139
88,469,431,547,664,489,82,332,534,603,721,16,379,623,675,13,267,514,27,485,65
369,727,704,693,794,516,348,658,687,784,812,165,587,772,759,152,605,727,188,675,229
653,666,689,625,887,744,530,609,557,802,918,289,421,754,803,262,556,762,317,571,282
846,594,630,554,925,861,644,448,532,867,1088,386,208,710,900,307,371,731,355,440,326
886,549,492,507,971,850,711,326,403,913,1065,403,133,699,821,334,286,648,379,279,339
370,692,649,739,850,552,337,584,657,761,967,166,629,766,900,126,614,638,166,624,195
340,699,626,680,869,568,316,622,668,727,983,146,677,776,921,131,601,657,184,652,224
359,715,610,665,827,660,349,657,668,722,906,146,662,814,921,141,644,694,178,683,227
378,785,589,586,808,706,322,621,611,720,999,158,706,791,959,142,644,790,169,742,225
355,745,590,623,784,682,343,633,666,747,952,151,748,797,952,128,675,793,184,806,223
346,773,534,588,851,722,337,569,677,757,992,169,737,834,1031,145,644,814,179,830,246
359,815,574,579,826,819,381,658,651,741,1012,175,781,863,1026,147,787,827,187,804,225
378,797,553,565,847,791,360,605,622,738,1054,154,791,833,993,124,727,924,187,899,237
376,746,528,541,846,791,367,626,708,772,978,170,815,857,985,134,769,894,173,852,240
364,745,535,480,778,792,383,619,618,785,991,180,802,918,1039,136,815,958,203,915,254
390,748,605,591,841,811,381,673,654,764,1042,169,778,874,1057,134,807,906,206,879,232
389,797,455,487,797,809,414,603,588,739,1023,157,823,889,1052,140,782,936,201,936,238
341,782,690,733,834,554,343,629,753,812,1021,188,659,778,1046,141,562,554,209,499,281
320,705,711,753,853,673,336,686,754,804,1052,176,710,816,1044,121,574,577,204,464,259
360,729,683,722,831,721,313,663,705,811,1121,165,679,853,1086,136,644,645,192,525,273
351,731,680,722,817,770,352,652,744,915,1164,206,768,909,1144,137,596,680,179,585,267
329,725,673,680,943,800,283,637,731,905,1138,180,738,907,1136,152,661,741,210,607,279
339,810,628,645,909,818,355,641,732,832,1046,177,783,940,1100,138,735,738,210,654,273
332,769,645,723,947,745,353,684,751,854,1077,193,803,929,1160,160,731,726,240,641,282
360,839,568,552,805,764,366,639,708,849,1122,181,820,960,1157,140,736,820,188,709,280
342,798,636,665,846,750,341,678,727,872,1103,200,773,976,1176,151,755,759,233,656,270
362,800,577,581,842,858,347,647,704,770,1131,205,843,953,1209,158,747,850,234,758,300
350,829,603,633,924,849,356,682,712,883,1115,210,818,970,1147,173,765,804,201,685,270
346,777,532,598,871,863,370,598,658,888,1117,199,834,998,1203,164,798,849,244,801,286
56,93,572,231,580,564,2,218,225,567,881,1247,1461,1457,509,1250,1408,342,1250,329,0
147,355,563,420,693,535,59,382,391,638,811,1056,1172,1272,599,1057,1046,478,1051,477,26
198,459,632,534,729,496,132,520,502,677,779,1018,497,679,632,1020,497,507,999,505,68
253,533,655,537,722,534,147,486,517,667,815,996,538,610,699,985,505,584,957,599,102
147,327,612,428,658,453,63,389,388,683,775,1063,1353,1338,629,1051,1204,511,1042,470,20
176,351,586,462,735,531,77,422,447,604,785,1041,1278,1275,620,1040,1079,489,1032,485,28
213,429,654,533,747,521,118,443,474,673,760,1018,1085,1117,653,1028,909,564,974,559,60
334,402,897,412,719,693,304,892,862,872,949,132,1253,869,919,194,817,958,127,1140,236
335,345,867,354,628,544,299,737,559,868,990,134,1107,696,807,194,644,645,136,969,244
313,892,487,624,808,522,324,673,838,746,744,253,1005,1004,911,211,537,604,282,949,307
318,934,438,594,743,551,303,478,607,584,755,265,846,810,806,201,499,589,248,727,284
667,622,836,755,854,549,484,764,689,814,959,319,582,709,829,256,680,742,292,710,327
392,538,749,592,771,598,386,602,632,873,939,199,472,806,855,154,630,720,217,612,232
222,449,629,406,723,455,308,520,484,892,1023,106,341,772,843,73,642,711,145,602,169
104,352,505,273,663,455,206,408,409,870,995,43,274,762,859,48,620,689,63,564,102
