db,u,g,r,i,z,y
baseline_nexp1_v1.7_10yrs.db,654,605,644,643,659,657
baseline_nexp2_v1.7_10yrs.db,194,130,34,37,55,113
cadence_drive_gl100_gcbv1.7_10yrs.db,117,563,84,19,20,66
cadence_drive_gl100v1.7_10yrs.db,96,384,50,18,28,56
cadence_drive_gl200_gcbv1.7_10yrs.db,1,1339,129,0,1,18
cadence_drive_gl200v1.7_10yrs.db,1,1339,67,0,2,6
cadence_drive_gl30_gcbv1.7_10yrs.db,181,208,41,30,32,69
cadence_drive_gl30v1.7_10yrs.db,201,133,44,32,37,73
ddf_dither0.00_v1.7_10yrs.db,219,108,41,36,44,108
ddf_dither0.05_v1.7_10yrs.db,226,124,31,42,53,120
ddf_dither0.10_v1.7_10yrs.db,228,134,29,44,45,102
ddf_dither0.30_v1.7_10yrs.db,221,99,43,42,50,127
ddf_dither0.70_v1.7_10yrs.db,194,130,34,37,55,113
ddf_dither1.00_v1.7_10yrs.db,233,123,42,46,56,106
ddf_dither1.50_v1.7_10yrs.db,206,122,34,31,48,119
ddf_dither2.00_v1.7_10yrs.db,254,121,44,36,62,122
euclid_dither1_v1.7_10yrs.db,194,130,34,37,55,113
euclid_dither2_v1.7_10yrs.db,214,122,35,38,54,118
euclid_dither3_v1.7_10yrs.db,219,131,32,47,51,132
euclid_dither4_v1.7_10yrs.db,214,115,41,33,40,102
euclid_dither5_v1.7_10yrs.db,236,111,37,36,46,117
footprint_0_v1.710yrs.db,68,25,2,5,9,53
footprint_1_v1.710yrs.db,94,38,7,5,11,77
footprint_2_v1.710yrs.db,105,42,11,8,12,70
footprint_3_v1.710yrs.db,110,22,4,9,8,34
footprint_4_v1.710yrs.db,161,86,26,29,25,98
footprint_5_v1.710yrs.db,110,22,4,9,8,34
footprint_6_v1.710yrs.db,82,34,1,6,6,32
footprint_7_v1.710yrs.db,113,57,14,17,14,109
footprint_8_v1.710yrs.db,94,35,8,6,7,77
pair_times_11_v1.7_10yrs.db,35,13,1,2,3,28
pair_times_22_v1.7_10yrs.db,194,130,34,37,55,113
pair_times_33_v1.7_10yrs.db,423,250,66,81,102,141
pair_times_44_v1.7_10yrs.db,618,319,127,119,120,173
pair_times_55_v1.7_10yrs.db,683,376,120,111,145,186
rolling_nm_scale0.2_nslice2_v1.7_10yrs.db,205,111,36,35,35,94
rolling_nm_scale0.2_nslice3_v1.7_10yrs.db,178,96,24,34,55,105
rolling_nm_scale0.4_nslice2_v1.7_10yrs.db,199,106,36,30,45,118
rolling_nm_scale0.4_nslice3_v1.7_10yrs.db,220,130,30,31,38,116
rolling_nm_scale0.6_nslice2_v1.7_10yrs.db,205,130,16,24,50,109
rolling_nm_scale0.6_nslice3_v1.7_10yrs.db,198,108,30,37,50,127
rolling_nm_scale0.8_nslice2_v1.7_10yrs.db,181,135,36,43,47,101
rolling_nm_scale0.8_nslice3_v1.7_10yrs.db,222,128,38,35,41,121
rolling_nm_scale0.9_nslice2_v1.7_10yrs.db,211,125,34,26,42,120
rolling_nm_scale0.9_nslice3_v1.7_10yrs.db,210,118,53,33,53,123
rolling_nm_scale1.0_nslice2_v1.7_10yrs.db,227,147,40,32,42,126
rolling_nm_scale1.0_nslice3_v1.7_10yrs.db,222,162,28,41,51,116
rolling_scale0.2_nslice2_v1.7_10yrs.db,171,103,45,37,61,146
rolling_scale0.2_nslice3_v1.7_10yrs.db,173,106,43,40,55,137
rolling_scale0.4_nslice2_v1.7_10yrs.db,205,95,43,36,48,147
rolling_scale0.4_nslice3_v1.7_10yrs.db,187,104,49,43,48,125
rolling_scale0.6_nslice2_v1.7_10yrs.db,160,87,44,43,56,157
rolling_scale0.6_nslice3_v1.7_10yrs.db,202,127,40,45,64,143
rolling_scale0.8_nslice2_v1.7_10yrs.db,179,129,39,45,64,148
rolling_scale0.8_nslice3_v1.7_10yrs.db,204,130,42,41,52,147
rolling_scale0.9_nslice2_v1.7_10yrs.db,191,116,43,51,70,148
rolling_scale0.9_nslice3_v1.7_10yrs.db,199,131,45,40,73,163
rolling_scale1.0_nslice2_v1.7_10yrs.db,176,122,46,41,48,157
rolling_scale1.0_nslice3_v1.7_10yrs.db,205,119,49,54,73,162
twi_neo_pattern1_v1.7_10yrs.db,19,0,0,0,0,0
twi_neo_pattern2_v1.7_10yrs.db,66,9,0,1,2,5
twi_neo_pattern3_v1.7_10yrs.db,90,31,1,1,1,27
twi_neo_pattern4_v1.7_10yrs.db,131,27,6,6,10,40
twi_neo_pattern5_v1.7_10yrs.db,66,12,0,0,0,6
twi_neo_pattern6_v1.7_10yrs.db,72,10,1,1,0,8
twi_neo_pattern7_v1.7_10yrs.db,102,21,4,3,4,30
twi_pairs_mixed_repeat_v1.7_10yrs.db,186,72,27,51,35,119
twi_pairs_mixed_v1.7_10yrs.db,200,90,27,54,32,118
twi_pairs_repeat_v1.7_10yrs.db,152,104,77,63,92,158
twi_pairs_v1.7_10yrs.db,166,89,71,62,75,129
u_long_ms_30_v1.7_10yrs.db,468,200,77,73,101,169
u_long_ms_40_v1.7_10yrs.db,213,122,48,30,55,104
u_long_ms_50_v1.7_10yrs.db,100,93,16,19,27,85
u_long_ms_60_v1.7_10yrs.db,43,52,9,8,11,40
