uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
729,727,678,655,0,34,700,729,712,554,289,703,718,684,601,704,713,682,720,724,729
275,429,409,463,0,39,161,423,552,484,238,49,416,555,616,43,426,531,66,502,148
148,1,1176,530,0,50,662,1054,18,1298,1200,106,42,223,1219,23,257,247,30,264,99
152,6,1158,583,0,104,467,637,9,1293,1234,66,30,140,1246,22,280,237,38,251,80
2,0,1231,298,0,122,1340,1342,0,1277,1169,155,0,80,1181,0,278,169,2,32,26
3,0,1223,311,0,191,1339,1340,0,1283,1137,79,0,55,1194,0,238,137,2,14,7
252,91,580,378,0,65,275,491,407,1157,973,50,348,816,1154,38,291,361,42,382,91
282,115,565,401,0,45,185,271,305,1156,1056,54,329,800,1167,38,260,294,45,384,99
288,431,353,402,0,25,153,366,510,551,198,59,382,570,526,46,419,473,57,491,136
286,480,412,470,0,2,168,389,554,577,274,43,425,587,575,47,401,454,69,491,143
296,457,412,440,0,2,170,391,507,545,218,37,411,532,500,57,390,441,52,483,128
276,493,395,483,0,4,142,370,538,573,251,51,399,548,533,54,424,456,66,494,152
275,429,409,463,0,39,161,423,552,484,238,49,416,555,616,43,426,531,66,502,148
305,444,415,432,0,15,170,387,486,538,205,53,400,553,545,54,424,528,71,472,141
286,503,379,495,0,17,149,378,484,556,318,45,420,524,627,44,425,474,64,487,145
315,479,370,454,0,16,175,393,518,504,229,56,445,549,572,51,369,457,85,513,151
275,429,409,463,0,39,161,423,552,484,238,49,416,555,616,43,426,531,66,502,148
298,436,438,502,0,23,159,419,517,517,249,46,397,577,549,51,402,507,68,494,149
285,468,381,441,0,21,166,382,553,525,257,39,437,560,646,56,429,487,63,488,151
282,494,415,484,0,19,162,401,544,481,267,48,438,541,511,39,417,472,53,465,134
314,478,419,434,0,25,146,378,497,487,185,48,397,557,504,44,438,474,58,475,151
102,407,529,693,0,29,39,322,654,704,342,2,480,687,752,6,489,685,11,450,67
149,409,597,718,0,36,48,421,707,749,405,10,492,692,815,8,518,682,17,466,94
140,473,547,679,0,54,62,435,716,703,413,16,519,703,755,12,583,694,14,449,87
146,398,594,725,0,32,40,391,685,657,330,5,499,668,689,13,533,691,12,446,46
215,437,578,690,0,42,110,463,658,728,375,36,526,679,728,34,557,606,45,465,121
146,398,594,725,0,32,40,391,685,657,330,5,499,668,689,13,533,691,12,446,46
121,450,504,709,0,27,51,384,680,694,366,2,523,724,720,7,462,598,7,406,47
151,473,546,737,0,25,77,440,685,707,398,19,569,749,751,23,548,675,20,491,129
139,463,591,756,0,29,46,404,789,810,429,10,589,785,810,7,535,675,12,491,100
55,331,332,896,0,7,26,249,857,1223,391,1,381,819,908,4,223,988,5,623,42
275,429,409,463,0,39,161,423,552,484,238,49,416,555,616,43,426,531,66,502,148
515,311,176,166,0,35,320,226,11,448,204,89,120,56,423,99,226,31,122,155,177
705,113,55,49,0,59,391,71,0,486,237,154,15,12,490,139,35,3,148,18,214
765,61,6,21,0,33,451,6,0,297,221,149,4,7,393,135,1,0,177,0,217
262,484,383,444,0,32,154,372,528,541,312,53,427,551,554,39,432,316,42,326,123
247,488,387,454,0,33,139,357,515,518,300,27,454,529,597,44,383,372,71,400,139
263,494,351,416,0,44,144,360,504,526,344,42,432,601,607,39,444,383,57,343,141
276,532,333,402,0,48,163,327,483,490,266,36,431,586,613,41,409,447,54,426,158
263,498,333,392,0,39,163,347,473,631,318,28,449,612,701,32,432,446,69,450,148
254,569,311,382,0,54,143,291,481,536,419,39,494,639,767,50,423,485,64,455,155
