db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp1_v1.7_10yrs.db,654,557,1002,975,668,615,605,889,991,874,793,699,845,927,776,685,920,829,706,770,689
baseline_nexp2_v1.7_10yrs.db,194,297,698,688,456,455,130,517,684,754,662,49,404,694,557,42,483,522,60,404,132
cadence_drive_gl100_gcbv1.7_10yrs.db,117,4,1212,536,698,966,562,839,378,1336,1365,105,110,917,1317,23,287,259,28,146,79
cadence_drive_gl100v1.7_10yrs.db,96,5,1206,545,748,988,384,551,301,1337,1368,65,87,821,1311,21,289,279,36,152,71
cadence_drive_gl200_gcbv1.7_10yrs.db,1,0,1142,264,595,1329,1339,1337,720,1348,1382,154,0,1155,1346,0,270,254,2,13,23
cadence_drive_gl200v1.7_10yrs.db,1,0,1098,238,621,1345,1339,1323,719,1350,1382,79,0,1169,1350,0,231,190,2,1,6
cadence_drive_gl30_gcbv1.7_10yrs.db,181,87,777,551,661,729,208,486,618,1240,1340,50,405,989,1209,37,372,428,42,233,81
cadence_drive_gl30v1.7_10yrs.db,201,92,770,550,682,788,133,354,569,1208,1347,54,384,946,1199,36,317,410,43,258,81
ddf_dither0.00_v1.7_10yrs.db,219,298,670,656,515,532,108,463,631,770,765,58,432,741,617,45,497,472,56,390,126
ddf_dither0.05_v1.7_10yrs.db,226,344,644,677,558,510,124,467,659,708,643,43,433,723,606,47,487,464,65,381,130
ddf_dither0.10_v1.7_10yrs.db,228,339,740,692,513,502,134,527,660,732,681,37,411,676,597,55,490,523,51,421,111
ddf_dither0.30_v1.7_10yrs.db,221,352,695,709,568,484,99,460,650,708,676,50,395,691,585,53,484,513,65,421,144
ddf_dither0.70_v1.7_10yrs.db,194,297,698,688,456,455,130,517,684,754,662,49,404,694,557,42,483,522,60,404,132
ddf_dither1.00_v1.7_10yrs.db,233,333,717,692,564,569,123,491,659,735,697,52,425,688,601,52,516,486,69,382,122
ddf_dither1.50_v1.7_10yrs.db,206,357,671,703,487,463,122,475,689,727,726,45,435,696,667,41,490,536,63,434,132
ddf_dither2.00_v1.7_10yrs.db,254,351,672,649,481,503,121,522,671,728,693,55,435,662,557,47,451,488,80,441,135
euclid_dither1_v1.7_10yrs.db,194,297,698,688,456,455,130,517,684,754,662,49,404,694,557,42,483,522,60,404,132
euclid_dither2_v1.7_10yrs.db,214,298,697,728,580,571,121,497,642,732,735,45,399,742,612,49,501,479,66,388,136
euclid_dither3_v1.7_10yrs.db,219,320,672,676,525,513,131,496,675,679,600,38,445,671,540,54,483,497,63,423,143
euclid_dither4_v1.7_10yrs.db,214,333,716,758,561,494,115,517,714,811,768,47,450,714,609,37,517,527,53,412,125
euclid_dither5_v1.7_10yrs.db,236,306,718,667,516,583,111,502,650,760,689,48,430,703,577,42,515,517,57,451,133
footprint_0_v1.710yrs.db,68,208,414,511,486,506,25,235,417,576,745,2,243,480,694,6,264,252,11,148,58
footprint_1_v1.710yrs.db,94,204,575,580,560,629,38,312,482,665,807,10,258,535,714,8,266,255,16,108,84
footprint_2_v1.710yrs.db,105,264,522,570,557,588,42,318,478,630,815,16,282,541,733,12,329,296,14,138,77
footprint_3_v1.710yrs.db,110,229,535,543,524,537,22,306,480,634,798,4,244,502,705,13,287,287,12,122,40
footprint_4_v1.710yrs.db,161,270,592,552,462,519,86,387,512,596,778,34,353,540,737,32,319,299,42,152,110
footprint_5_v1.710yrs.db,110,229,535,543,524,537,22,306,480,634,798,4,244,502,705,13,287,287,12,122,40
footprint_6_v1.710yrs.db,82,229,473,535,447,503,34,288,470,572,712,2,305,543,720,7,243,216,7,113,37
footprint_7_v1.710yrs.db,113,285,531,624,607,543,57,338,519,631,756,19,345,535,729,23,310,287,20,195,121
footprint_8_v1.710yrs.db,94,260,542,563,505,619,35,282,495,704,880,10,332,581,718,6,258,268,11,163,87
pair_times_11_v1.7_10yrs.db,35,161,425,543,398,433,13,252,526,585,561,1,224,552,489,3,204,341,4,244,39
pair_times_22_v1.7_10yrs.db,194,297,698,688,456,455,130,517,684,754,662,49,404,694,557,42,483,522,60,404,132
pair_times_33_v1.7_10yrs.db,423,332,684,618,620,651,248,472,552,775,730,88,255,666,611,91,483,557,120,317,163
pair_times_44_v1.7_10yrs.db,618,278,620,552,621,800,319,350,529,830,895,151,100,631,717,134,286,555,142,222,196
pair_times_55_v1.7_10yrs.db,683,268,488,504,751,784,376,226,397,875,900,148,70,610,666,131,231,481,173,131,203
rolling_nm_scale0.2_nslice2_v1.7_10yrs.db,205,322,640,732,550,519,111,471,651,717,788,52,434,675,698,38,487,453,41,327,107
rolling_nm_scale0.2_nslice3_v1.7_10yrs.db,178,323,620,672,551,497,96,484,660,687,832,27,482,690,736,40,505,479,69,376,127
rolling_nm_scale0.4_nslice2_v1.7_10yrs.db,199,349,603,660,553,613,106,519,663,691,760,42,478,755,715,38,547,525,57,415,133
rolling_nm_scale0.4_nslice3_v1.7_10yrs.db,220,384,580,576,538,660,130,480,603,678,831,36,519,726,774,40,549,590,51,480,137
rolling_nm_scale0.6_nslice2_v1.7_10yrs.db,205,377,589,615,549,620,130,499,658,712,814,28,555,737,804,29,576,632,66,537,125
rolling_nm_scale0.6_nslice3_v1.7_10yrs.db,198,397,528,577,567,672,108,457,674,720,836,39,600,764,871,47,555,641,62,570,139
rolling_nm_scale0.8_nslice2_v1.7_10yrs.db,181,412,566,574,556,739,135,533,643,711,854,49,603,799,842,47,680,660,68,545,114
rolling_nm_scale0.8_nslice3_v1.7_10yrs.db,222,415,544,553,595,747,128,483,613,708,903,45,633,770,826,41,638,765,55,650,134
rolling_nm_scale0.9_nslice2_v1.7_10yrs.db,211,385,519,534,605,762,125,503,698,748,822,45,672,800,825,35,677,731,62,609,139
rolling_nm_scale0.9_nslice3_v1.7_10yrs.db,210,394,529,473,546,740,118,496,613,768,859,63,659,863,894,38,712,802,70,659,137
rolling_nm_scale1.0_nslice2_v1.7_10yrs.db,227,393,597,586,606,758,147,571,651,724,886,48,639,825,909,40,712,739,54,644,137
rolling_nm_scale1.0_nslice3_v1.7_10yrs.db,222,443,452,483,570,777,162,485,581,712,884,39,658,827,882,52,708,773,63,700,133
rolling_scale0.2_nslice2_v1.7_10yrs.db,171,379,681,725,559,518,103,498,745,772,873,54,505,692,861,43,468,397,78,255,165
rolling_scale0.2_nslice3_v1.7_10yrs.db,173,331,707,745,576,626,106,541,749,764,904,52,540,734,872,48,463,410,74,253,158
rolling_scale0.4_nslice2_v1.7_10yrs.db,205,379,675,711,546,661,95,515,700,781,949,51,493,778,931,49,547,497,57,302,166
rolling_scale0.4_nslice3_v1.7_10yrs.db,187,351,675,714,599,713,104,538,738,870,1007,62,588,836,990,49,511,512,58,349,146
rolling_scale0.6_nslice2_v1.7_10yrs.db,160,375,664,669,718,751,87,497,725,868,972,54,569,823,972,54,555,561,67,355,177
rolling_scale0.6_nslice3_v1.7_10yrs.db,202,407,622,635,622,730,127,510,724,798,873,44,624,859,931,54,634,598,77,430,161
rolling_scale0.8_nslice2_v1.7_10yrs.db,179,406,637,715,691,695,129,571,745,821,942,53,645,858,993,50,645,572,77,434,163
rolling_scale0.8_nslice3_v1.7_10yrs.db,204,461,564,544,580,712,130,507,700,815,971,49,680,900,1004,53,639,656,67,489,171
rolling_scale0.9_nslice2_v1.7_10yrs.db,191,436,628,658,624,705,116,555,722,842,941,57,624,906,1021,60,648,605,92,447,163
rolling_scale0.9_nslice3_v1.7_10yrs.db,199,428,572,575,580,801,131,509,699,740,972,52,702,892,1084,50,650,690,86,526,181
rolling_scale1.0_nslice2_v1.7_10yrs.db,176,440,595,629,654,789,122,557,708,848,1004,65,677,898,1005,50,671,656,59,478,169
rolling_scale1.0_nslice3_v1.7_10yrs.db,205,430,529,592,625,814,119,494,650,834,982,58,694,930,1046,62,700,701,90,592,182
twi_neo_pattern1_v1.7_10yrs.db,19,20,569,225,334,516,0,138,223,553,705,0,165,235,332,0,264,220,0,143,0
twi_neo_pattern2_v1.7_10yrs.db,66,119,554,414,441,453,9,288,385,616,642,0,279,444,409,1,380,292,2,229,9
twi_neo_pattern3_v1.7_10yrs.db,90,165,624,528,501,466,31,384,493,652,607,1,288,485,413,2,379,338,3,257,33
twi_neo_pattern4_v1.7_10yrs.db,131,180,647,531,443,466,27,363,509,639,658,7,347,527,472,11,379,394,12,343,46
twi_neo_pattern5_v1.7_10yrs.db,66,99,606,424,380,415,12,265,386,646,611,1,284,451,436,0,358,325,0,228,9
twi_neo_pattern6_v1.7_10yrs.db,72,109,581,459,449,453,10,310,442,595,614,1,270,470,426,2,390,294,0,251,8
twi_neo_pattern7_v1.7_10yrs.db,102,160,647,527,468,449,21,328,464,644,600,4,322,557,483,3,367,399,7,290,32
twi_pairs_mixed_repeat_v1.7_10yrs.db,186,140,890,409,437,604,72,758,857,827,789,32,1157,790,670,62,721,760,43,877,133
twi_pairs_mixed_v1.7_10yrs.db,200,112,855,347,394,498,90,603,555,798,811,33,946,615,568,70,536,465,43,658,133
twi_pairs_repeat_v1.7_10yrs.db,152,430,483,617,497,457,104,544,833,697,601,89,853,935,724,76,459,434,108,650,176
twi_pairs_v1.7_10yrs.db,166,497,435,588,493,500,88,374,602,564,595,84,659,744,629,79,399,424,96,457,148
u_long_ms_30_v1.7_10yrs.db,468,256,823,746,589,498,200,629,681,777,791,92,391,628,643,88,577,544,114,436,190
u_long_ms_40_v1.7_10yrs.db,213,219,741,589,499,536,122,484,623,813,757,57,316,721,664,44,529,519,71,344,123
u_long_ms_50_v1.7_10yrs.db,100,156,621,401,475,412,92,400,477,833,826,23,209,683,605,21,542,510,33,345,99
u_long_ms_60_v1.7_10yrs.db,43,111,500,270,398,422,51,307,404,796,805,11,148,683,653,12,521,495,16,315,47
