db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp1_v1.7_10yrs.db,18170604,19922472,20510100,18805788,0,0,17788968,19561176,19893492,8620812,4359384,19142784,21508236,20222028,11759688,19509840,19793592,20015928,19369512,21263832,18360936
baseline_nexp2_v1.7_10yrs.db,7295544,13304772,13220784,11215152,0,283284,10811700,17491356,16883352,10688436,3176820,7558020,16843284,16408512,10037772,10331532,17521236,20460852,5697396,12439944,9951948
cadence_drive_gl100_gcbv1.7_10yrs.db,3419028,454788,21312180,15408468,0,300888,16706916,18444024,309312,32105952,28274076,10114632,6122952,5779224,30586824,4332492,12411828,15745248,2875320,10419660,9902808
cadence_drive_gl100v1.7_10yrs.db,4006980,1350720,23583096,16746264,0,2582604,15471864,16545564,850320,35532144,35758584,8031780,5014836,8313624,36189576,6039900,13313952,14960772,5015016,11862252,8917776
cadence_drive_gl200_gcbv1.7_10yrs.db,0,0,24851232,10896372,0,2817144,27546948,28574280,0,34828452,27279072,11739744,0,3433572,30693636,2544012,15477912,14047200,401148,3889404,5315364
cadence_drive_gl200v1.7_10yrs.db,0,0,25718112,11808468,0,5213952,26341596,27204192,0,36610812,30504672,6580080,0,5810292,32436864,2024784,13287996,11447388,923364,1541628,3637008
cadence_drive_gl30_gcbv1.7_10yrs.db,11022768,6885324,14142528,12657960,0,2100852,13564872,15586812,13924008,32269536,25705224,9141984,15216552,25414812,28104120,8609724,14366376,20896524,5555700,15925968,11433744
cadence_drive_gl30v1.7_10yrs.db,8010540,5064264,16501572,13186692,0,2455380,11544444,10835172,11437596,28400652,31146480,8502012,13210200,16161876,33755796,7756776,13095900,16671924,5849748,15448932,9879156
ddf_dither0.00_v1.7_10yrs.db,9738720,12006900,11845152,9310572,0,533052,9751320,15560280,13520880,13256424,7679268,7490844,14737788,17273592,13381128,8971668,16615368,20826756,4381272,17616708,9128160
ddf_dither0.05_v1.7_10yrs.db,9481248,14288616,14172408,12200868,0,0,10626516,13329468,15087780,15818004,12009132,8403444,16888392,17746272,18183816,7457724,17107452,17076420,7626600,15209964,11300724
ddf_dither0.10_v1.7_10yrs.db,10575000,16709184,10585188,13295088,0,0,7979148,14296860,14928408,11059452,2850300,6755796,14494248,16662132,6087780,8822916,19156896,17754516,6414804,17475012,10580436
ddf_dither0.30_v1.7_10yrs.db,11116728,13421376,13992156,14338260,0,0,9309708,14642532,15877872,14881356,5944644,6722352,15810012,18696636,9592092,7598664,18855108,18234576,7549452,15377688,13247460
ddf_dither0.70_v1.7_10yrs.db,7295544,13304772,13220784,11215152,0,283284,10811700,17491356,16883352,10688436,3176820,7558020,16843284,16408512,10037772,10331532,17521236,20460852,5697396,12439944,9951948
ddf_dither1.00_v1.7_10yrs.db,10523052,16437168,15254352,12684132,0,0,10413792,11817144,12887064,9979884,3798180,6937740,20238300,17178444,11517876,10959408,16774776,19508976,5254092,18859356,12022164
ddf_dither1.50_v1.7_10yrs.db,10773612,14151996,9708624,14625000,0,745416,10603188,12567492,18167544,15315120,4787532,6994872,16605900,15828336,16545852,8922816,15478020,21767472,5258628,18820692,8964504
ddf_dither2.00_v1.7_10yrs.db,10262304,18789660,12818700,16427664,0,879120,14621976,17071992,19129788,11140308,4065552,9532332,18230868,16798248,10368324,9334404,14928732,17923212,6417684,18312012,10707516
euclid_dither1_v1.7_10yrs.db,7295544,13304772,13220784,11215152,0,283284,10811700,17491356,16883352,10688436,3176820,7558020,16843284,16408512,10037772,10331532,17521236,20460852,5697396,12439944,9951948
euclid_dither2_v1.7_10yrs.db,11917908,15354864,15171480,14141412,0,0,8832600,13287168,18521172,4100004,1320156,7934508,16181748,12224664,10040184,9257148,13807620,20107548,3523860,12000636,8876808
euclid_dither3_v1.7_10yrs.db,11614572,14441400,16443108,13154364,0,0,10753668,16393968,17275644,12047256,6232392,8245944,15468408,18029844,15679512,8124768,16443792,21014604,7614324,16983612,10307484
euclid_dither4_v1.7_10yrs.db,11545740,14846184,14435532,16655256,0,0,11015208,14519520,15556500,8819028,7760088,9466092,16899084,16049160,12191400,10714248,15961032,19160748,6511248,15494472,10224936
euclid_dither5_v1.7_10yrs.db,11207232,16508844,15790212,10293876,0,0,10656000,14170392,15418332,6752736,2376108,8182908,16470000,18278136,10622520,10033452,15943536,21418776,6754644,15016032,10593684
footprint_0_v1.710yrs.db,0,2264400,2853504,1937052,0,0,380808,2196288,2668680,2476728,1740384,0,2668680,3872772,2476728,0,1603656,3775320,0,2196288,1079136
footprint_1_v1.710yrs.db,1249848,2196288,2830032,4967460,0,0,513504,3234312,2853504,1147248,0,0,2269116,2269116,2008548,513504,1712880,3775320,513504,1712880,513504
footprint_2_v1.710yrs.db,0,513504,3234312,3307140,0,0,0,2287872,2853504,3296628,1520424,513504,3234312,2853504,3233304,513504,1935720,4174056,1249848,2093688,1654128
footprint_3_v1.710yrs.db,0,2117160,2600568,4413780,0,736344,513504,2034936,3872772,6397668,2737116,0,3234312,1350720,6380424,0,1932336,3775320,0,1249848,513504
footprint_4_v1.710yrs.db,565632,1117152,2720808,2087064,0,0,380808,1117152,3359268,5993964,2874420,380808,2720808,3359268,7416936,0,1682784,3261816,0,1117152,0
footprint_5_v1.710yrs.db,0,2117160,2600568,4413780,0,736344,513504,2034936,3872772,6397668,2737116,0,3234312,1350720,6380424,0,1932336,3775320,0,1249848,513504
footprint_6_v1.710yrs.db,0,1654128,2196288,1864224,0,0,380808,3234312,3234312,1572624,0,380808,3234312,4009500,2232108,0,2449224,3234312,736344,1630656,513504
footprint_7_v1.710yrs.db,894312,1864224,3775320,4967460,0,0,0,1815480,3872772,1817568,0,513504,3234312,2954988,3234312,1147248,2449224,3394512,513504,2449224,1147248
footprint_8_v1.710yrs.db,736344,1249848,2830032,3468492,0,0,736344,2264400,3848148,7206372,1447992,0,4413780,3775320,4506984,894312,2830032,3234312,0,2830032,513504
pair_times_11_v1.7_10yrs.db,2625768,14825844,11982564,25867692,0,0,2223036,10749240,23310252,30556800,7350336,1183284,16484868,20628072,21318588,2613024,13495356,26592012,1547928,20092752,3576096
pair_times_22_v1.7_10yrs.db,7295544,13304772,13220784,11215152,0,283284,10811700,17491356,16883352,10688436,3176820,7558020,16843284,16408512,10037772,10331532,17521236,20460852,5697396,12439944,9951948
pair_times_33_v1.7_10yrs.db,14660064,10269540,4025664,1791144,0,0,14134788,8789220,1192860,5701752,4302972,9084060,6640092,6669864,3682548,11515608,11662920,1302948,10207260,5502132,12704616
pair_times_44_v1.7_10yrs.db,17455824,2861712,1297404,1025496,0,355968,15282648,4503600,0,9877356,5538528,10935396,952524,451008,12633624,13794984,2461140,0,8201988,714456,12477888
pair_times_55_v1.7_10yrs.db,18640908,1645308,0,0,0,0,14748264,226656,0,11317356,4966488,12050496,380808,565632,5137740,11167452,2068488,0,9276372,0,13000644
rolling_nm_scale0.2_nslice2_v1.7_10yrs.db,12311280,15023556,16592148,17051544,0,3123396,9399744,14672988,15145956,16969176,11830176,10054800,17442720,16469352,17666964,8424072,16483320,19334124,5977872,12161808,9023616
rolling_nm_scale0.2_nslice3_v1.7_10yrs.db,7475148,16190784,9308808,13415688,0,264888,7604892,12704724,15410700,11247516,5150592,5727132,17902548,12854340,7769736,10360656,14050908,17445348,5534640,15706404,13300920
rolling_nm_scale0.4_nslice2_v1.7_10yrs.db,9426924,16543296,11633112,9375192,0,0,11020032,17173332,17929620,6160716,3353256,8431344,19814436,16962156,12894696,9173880,16796412,15709968,7375932,10160352,9321660
rolling_nm_scale0.4_nslice3_v1.7_10yrs.db,7405920,15216300,11736036,10908396,0,0,6109776,10644444,15218460,8811216,4079484,5310360,14830308,16954488,10357812,6350544,16330320,20330028,4353624,15837120,9372024
rolling_nm_scale0.6_nslice2_v1.7_10yrs.db,6879456,15879168,13538196,12704148,0,0,9474264,13373352,16436232,14754420,10452204,5627484,16826292,19382832,19188072,8966844,17235072,21742020,6545952,16253964,10463760
rolling_nm_scale0.6_nslice3_v1.7_10yrs.db,9446868,18400716,9704916,13186548,0,238068,13016304,16228440,18408240,16386588,7774740,8866764,20420820,20432412,16772328,10347408,17836632,20426076,4938084,17090208,9764388
rolling_nm_scale0.8_nslice2_v1.7_10yrs.db,9190620,18712332,11328912,14915592,0,2908908,9686196,15077412,15275412,15540984,10561140,7272216,17076420,19174608,13705812,8237448,15884496,19341108,4987800,16103988,10001340
rolling_nm_scale0.8_nslice3_v1.7_10yrs.db,10842120,18906444,12326796,15055776,0,976464,10744308,16429680,16435908,18726840,9453168,8416044,20051424,18015156,17142876,9745992,17961840,22332888,6005340,17679996,11893104
rolling_nm_scale0.9_nslice2_v1.7_10yrs.db,11193192,19279224,14179176,13275144,0,1908936,9498096,13449060,18701208,10039068,6373368,7996788,16584660,15264864,17989272,9927216,18895644,22039308,5099184,16983864,11323728
rolling_nm_scale0.9_nslice3_v1.7_10yrs.db,10029780,19654236,13770180,13642848,0,0,10953072,13468032,16315092,10482084,8129952,7254108,20157120,22453164,17723124,9153144,20022912,21816396,7251120,14980536,9212508
rolling_nm_scale1.0_nslice2_v1.7_10yrs.db,11949804,17096400,13603644,13532760,0,2321640,11363616,15042564,17621640,11632356,14473008,8864676,20160828,21521916,17784972,9328176,17001036,19623456,8126064,15616944,7335972
rolling_nm_scale1.0_nslice3_v1.7_10yrs.db,11040948,20240928,9816408,14147100,0,0,13558608,13794912,16094448,11434716,6000588,8963208,20021220,17431164,22071420,7907292,18358488,22091220,4925880,16818444,10547460
rolling_scale0.2_nslice2_v1.7_10yrs.db,6621300,16430184,20178684,19713564,0,440892,11037780,19817532,22836096,20512188,13392792,7828668,21426696,24437016,25203168,7551072,19095408,21091320,5658804,16619940,12138192
rolling_scale0.2_nslice3_v1.7_10yrs.db,8946540,18708552,17441460,17370540,0,0,7353288,18078660,20958552,17849052,14040144,7200036,18728676,21695328,21927708,9405720,19969200,22271508,7198956,17408844,9606276
rolling_scale0.4_nslice2_v1.7_10yrs.db,9581292,19690992,18559080,22944420,0,0,6028992,16864992,22724820,19202904,7615692,6129360,19929888,22449024,26521848,7526700,19360836,23549616,4348404,20875212,10578708
rolling_scale0.4_nslice3_v1.7_10yrs.db,5016348,21571452,15523056,19849896,0,1469412,7259292,19821672,22977324,24577308,10565532,5381244,22145292,27597744,20808756,6084216,19200276,24157944,7970400,18208404,11071692
rolling_scale0.6_nslice2_v1.7_10yrs.db,10035756,22454172,18325656,21767220,0,1872216,7449516,17056764,21256812,22940856,14968584,6632352,21358044,22630356,22076892,8551692,20094444,23866992,7013088,21508380,13184748
rolling_scale0.6_nslice3_v1.7_10yrs.db,8209296,23026932,14658840,20690136,0,1738692,8236116,19080576,23201352,18171648,10527228,7802172,21689280,24805800,23920704,6469956,18670788,25749000,6321816,22167864,11929248
rolling_scale0.8_nslice2_v1.7_10yrs.db,7809120,21851208,16790400,22445712,0,0,8823780,17480196,22388328,21928356,16474644,6777864,21277224,22825800,28581984,8358804,20110968,24999948,9293472,20657952,13975416
rolling_scale0.8_nslice3_v1.7_10yrs.db,6485796,19917900,15621228,20463048,0,625572,7068960,15585480,23714712,15089544,5217084,7549344,21048696,28208124,25713684,7580304,19687068,24639372,5800680,22526928,12036600
rolling_scale0.9_nslice2_v1.7_10yrs.db,7536312,22530672,15602904,17887608,0,0,9525600,17882568,21631356,18030528,5754816,9092988,21469680,24496596,22075092,10908756,20815092,24486408,6805836,21165624,12175308
rolling_scale0.9_nslice3_v1.7_10yrs.db,10430424,22035924,16883064,18985536,0,1460880,8021556,18047844,21516192,18678348,3327480,7121844,19793016,26267796,28136052,9938916,19708488,27118944,8473248,25001604,10755036
rolling_scale1.0_nslice2_v1.7_10yrs.db,5329368,22019760,15185448,19513152,0,972072,7746660,14759892,19747008,18339264,11093616,6929604,20599200,27093024,25248960,7686396,22016628,24982020,7387920,19624104,10549404
rolling_scale1.0_nslice3_v1.7_10yrs.db,9207432,19875276,11753568,20268468,0,3515148,11903796,18087516,23464332,19856520,8083584,8756928,22232376,26705412,27344808,10948572,21555828,24914700,5665032,21391344,7836012
twi_neo_pattern1_v1.7_10yrs.db,4596084,2265120,14213700,10383552,0,964440,0,7416756,10113156,8476488,4286952,0,18845856,10989252,7529184,0,12676968,18090936,0,13551984,0
twi_neo_pattern2_v1.7_10yrs.db,4422492,7956000,12371724,10356624,0,0,3672468,10794204,13204224,12186684,3379860,546444,16651332,13440996,8921520,787536,14402232,18128844,0,14470812,990216
twi_neo_pattern3_v1.7_10yrs.db,6875172,11876148,16825392,9495432,0,578808,4022676,15995448,14459868,12807396,5416848,1914840,17610804,16037424,11356092,2958264,16827768,16665732,2625876,14755572,4195260
