db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp1_v1.7_10yrs.db,20830,20830,20830,0,0,0,20830,29890,24839,0,0,29890,29890,20830,0,29890,29890,24839,20830,24839,24839
baseline_nexp2_v1.7_10yrs.db,45669,0,45669,54729,0,0,0,0,75559,0,0,75559,75559,0,24839,29890,29890,0,29890,29890,24839
cadence_drive_gl100_gcbv1.7_10yrs.db,0,0,29890,0,0,0,0,24839,0,0,0,54729,29890,0,0,50720,29890,54729,54729,24839,75559
cadence_drive_gl100v1.7_10yrs.db,29890,0,54729,24839,0,0,0,0,24839,24839,0,0,0,24839,0,75559,50720,0,20830,0,0
cadence_drive_gl200_gcbv1.7_10yrs.db,50720,0,50720,20830,0,0,75559,75559,0,0,0,75559,0,0,0,75559,29890,0,29890,0,0
cadence_drive_gl200v1.7_10yrs.db,0,0,75559,20830,0,0,29890,75559,20830,0,0,0,0,0,24839,29890,0,24839,0,0,0
cadence_drive_gl30_gcbv1.7_10yrs.db,0,0,50720,24839,0,0,0,29890,75559,0,0,50720,75559,54729,20830,75559,45669,0,24839,0,0
cadence_drive_gl30v1.7_10yrs.db,20830,0,50720,29890,0,0,0,0,0,20830,20830,0,29890,75559,20830,75559,0,20830,0,0,50720
ddf_dither0.00_v1.7_10yrs.db,29890,29890,0,24839,0,0,29890,29890,29890,0,0,29890,0,0,0,75559,75559,0,75559,45669,0
ddf_dither0.05_v1.7_10yrs.db,50720,29890,29890,0,0,0,0,0,45669,0,0,75559,45669,20830,0,75559,54729,0,75559,20830,24839
ddf_dither0.10_v1.7_10yrs.db,54729,0,54729,24839,0,0,29890,29890,75559,0,0,75559,45669,0,0,75559,29890,24839,54729,45669,20830
ddf_dither0.30_v1.7_10yrs.db,0,0,20830,20830,0,0,0,0,45669,0,0,24839,20830,0,0,50720,29890,24839,29890,54729,0
ddf_dither0.70_v1.7_10yrs.db,45669,0,45669,54729,0,0,0,0,75559,0,0,75559,75559,0,24839,29890,29890,0,29890,29890,24839
ddf_dither1.00_v1.7_10yrs.db,24839,24839,0,50720,0,0,0,0,54729,0,0,24839,54729,45669,0,29890,75559,24839,29890,0,0
ddf_dither1.50_v1.7_10yrs.db,29890,29890,29890,0,0,0,0,0,24839,0,0,29890,54729,0,0,54729,54729,0,24839,24839,54729
ddf_dither2.00_v1.7_10yrs.db,29890,29890,0,24839,0,0,0,0,29890,0,0,50720,50720,0,0,75559,24839,0,29890,75559,54729
euclid_dither1_v1.7_10yrs.db,45669,0,45669,54729,0,0,0,0,75559,0,0,75559,75559,0,24839,29890,29890,0,29890,29890,24839
