uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
62507160,99814824,71276652,69406812,95400288,74765124,63169776,71647812,69756516,64222128,135193356,65648736,71773020,60567912,69286932,65953512,64282320,60860736,66422412,68113152,58354596
27513216,105916464,53431416,48031380,144437688,54279216,28982952,48780612,50804028,49681080,87971544,13037400,50397732,47154132,47085876,15031116,46168884,47857068,15130512,48597300,20165256
14561172,3251016,74684052,41003856,74516940,186436980,59188716,62027676,22905828,129178044,229353768,23872428,25114248,60594732,142532964,7923384,29141604,25979328,9839772,22943700,13592088
17863740,14552748,70929000,41171832,137866320,170208180,53021700,42067980,19291248,146274588,248260716,18381312,18760104,57835368,96670080,9495108,28298304,33081444,10204344,29698740,11914488
152316,0,72232452,12907800,41752728,236103444,88848612,87096204,40863780,118069776,245580804,32198760,578808,72518148,135455796,1406520,29946204,33837192,1100592,5248512,5835312
139716,0,73242900,13794408,54910404,201227328,89239680,85491900,48899232,100972044,213826248,18672984,5076,74024208,116326296,594180,27027252,28534500,1447200,230796,1569888
31954824,42431544,47386980,38740428,90237816,62629236,40372128,41183784,43693560,88798068,142748316,18734220,48347604,70096428,87330024,10892196,35964504,36443844,12502908,29946420,15327540
28405620,37338084,53244936,44222040,122877288,143657748,31955400,33522876,44791956,90598428,147321720,17216712,47633400,64343268,88845984,10375632,30004488,36332676,15871284,40866444,14347476
30293136,74956356,48895884,47667960,125862696,90486576,28663596,45335016,48231936,74707308,176252148,18639684,50397084,54223920,77470596,13252788,39354552,45629712,13517820,47355372,17675136
31246200,70356600,45937044,47421900,130097088,67409856,29185920,45773964,48080376,48037536,95181768,17203140,50107536,48952152,47184372,13089348,41812452,41041692,17631216,46892052,18180216
32320656,100831716,53040564,50116248,86880708,56214108,29876904,49295376,51306444,45524592,80193960,17768736,48623868,45659088,54375912,15065928,41395248,46229544,16534512,48227940,18265104
33735672,70225452,52772580,55337904,110463084,61059024,31874832,47558628,50588064,52113888,111126024,14377752,48745908,50043384,51513156,13648572,43184736,46574244,19899072,50027580,20002752
27513216,105916464,53431416,48031380,144437688,54279216,28982952,48780612,50804028,49681080,87971544,13037400,50397732,47154132,47085876,15031116,46168884,47857068,15130512,48597300,20165256
32535396,93075984,56278728,48089736,128816964,100054476,33595488,51989544,45095256,41739660,77866596,17100936,51261084,48750300,52881696,17649504,39351456,45682020,14161788,49844988,16806276
32498532,69810120,49016376,49473828,116406144,62055972,31048920,48012804,52236972,51518916,129938076,14360724,50996124,44488872,53984196,13509504,37717560,49710960,13748976,52937676,19220364
32943888,65834784,46620648,43863408,75998628,81531144,34360128,48533652,51211800,68963796,133886700,18827208,54115452,40334364,59597388,14037264,30890052,42853644,15539292,51554700,18355824
27513216,105916464,53431416,48031380,144437688,54279216,28982952,48780612,50804028,49681080,87971544,13037400,50397732,47154132,47085876,15031116,46168884,47857068,15130512,48597300,20165256
35388504,92191320,51143436,49344084,79299216,54167580,28462104,44708976,46778364,44888292,77315832,16029576,50382396,47709252,52372800,13625460,34386732,43611012,13593024,47681964,16251948
34470108,77862348,57878964,47889936,104759676,50075532,28508436,47379672,47421396,50018796,77528376,15303420,48399192,41776596,44107092,16735932,43815132,46834956,16962156,48861144,16138800
31017096,95639148,51852240,51312528,133338420,82067076,31012020,49812408,45620388,50789052,89165880,16982208,50097924,48096504,64666908,13573908,41722092,48450924,15753312,48576204,18185544
34467156,75831660,51337872,48231288,125924256,86041008,30090276,50396364,50668920,48369276,124073208,18805104,50143176,47687940,57077028,14245200,41371668,46729404,16585200,49558176,16970292
17318124,73069596,68904396,38189376,80663328,98495496,13314996,68798016,53682264,98867340,135655344,2098404,69220980,100485288,140387220,3422808,95680656,89360208,8129808,56816496,37319400
26370864,75297564,94274100,45376308,90473220,93858552,21320532,65319372,71958024,118482948,172253052,14599368,66815424,101017836,137166084,28541304,101579904,77742000,17169912,27545436,21691692
