uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
116904572,121597883,116103556,109172445,91887586,48346990,118324373,119326247,110444787,106713305,96628919,122339547,121166736,109945736,106727831,120836290,122879798,111636764,122906912,122879978,119228953
119027581,120561111,119307113,111992723,85078864,37308970,118591686,117326584,111591448,106185021,96269201,124374980,124367015,108394064,103726122,124373629,120723442,112786705,119225444,121156225,122334771
120298036,116407079,120849462,109605681,89698661,74903946,121166197,121155587,112540397,110575068,109812159,122866674,121627323,110654775,110749283,122253031,123234017,112542898,123237231,118657913,120972779
118594478,115843354,121094925,111728674,93650803,77133308,122602767,122879392,112248152,112560849,111906296,122869292,122133832,113016312,112487514,122892231,120965196,113050803,121625208,118312229,120960728
121683706,112240008,121678800,109001289,84998043,99829645,121159330,122869661,111838245,111664671,109786880,122338223,117026342,111699812,109951133,121637800,121626614,109450622,121163736,119223105,121157832
114270367,108609822,118750665,109370401,87655196,103255607,121192711,121176502,112284052,111779320,109783928,121169222,116675970,111779195,112509791,124057716,125058537,111946212,124182325,120006795,119540388
115890934,117565021,117829412,109181797,92470108,53782102,121215125,122912266,110806527,108774658,108312723,122906686,119935512,110478262,110121332,120506492,123384256,111798412,121675741,121274685,121177717
115338425,116343682,114166650,109349464,92135255,65344297,115247397,118023807,112412978,110071751,109247580,119553144,119887897,111423863,109953002,120515070,122216136,112723638,122211445,123384104,122338329
115750367,115745739,117516125,109558013,92972935,34220273,117695348,119916788,110543181,104987221,99806265,122868090,120756380,108578126,108600341,121163259,121168141,110918839,121167886,117611768,121174406
116961231,118089541,118638628,109331816,91986743,33222543,119707499,120285462,109572719,106361342,98779705,119276673,116933671,110316273,106102911,121165698,121165840,113127844,121167137,123388029,121181822
119304917,121520660,113436195,108808726,85933043,41900583,121170909,120933771,111167045,107077412,100712417,122866967,122426223,109224602,106217863,122864939,122864644,112516991,122870165,116551789,121175970
118205707,115058812,119819014,108978159,89037380,37706581,119866123,120413453,110870597,109016345,98927961,122351973,120540384,112422741,108745237,121163116,119221202,114798466,119918897,119251246,121159609
119027581,120561111,119307113,111992723,85078864,37308970,118591686,117326584,111591448,106185021,96269201,124374980,124367015,108394064,103726122,124373629,120723442,112786705,119225444,121156225,122334771
116477412,118648903,118736711,108095322,90137365,44882088,117438265,119878250,110102204,106532724,96710805,121193591,121174616,110578067,107300033,121167157,123810770,112386105,121166333,122336489,122344252
117802640,120714253,115760345,109592125,82258594,32485063,119274281,119264464,111875135,105578846,90407671,122887122,121611710,112091946,107519082,122878043,122878197,113664393,122876385,120781795,121249322
119997503,124375198,118840680,109854499,81133702,30577416,122878675,122873777,110699987,107304760,98448407,121631559,122617773,109102987,107178973,123876847,124380649,111274864,122878484,122254615,123858112
119027581,120561111,119307113,111992723,85078864,37308970,118591686,117326584,111591448,106185021,96269201,124374980,124367015,108394064,103726122,124373629,120723442,112786705,119225444,121156225,122334771
116494636,118299679,117592685,110079856,87560435,44227493,117995080,118929449,110014635,108067699,99609299,122869475,122869283,109259855,108315204,122878146,124047736,113599596,122343193,119293015,119945443
117937451,119160260,116683011,110842028,87108493,37736172,121637435,123095627,110658320,105293419,95655759,123713134,121996978,108319336,106172610,121157824,120895013,110527671,121159316,121163669,122893383
119606253,121585576,117864931,109250089,84428771,28408228,122922312,121171497,112232095,105936589,100192434,122885640,122609529,110121141,107244953,122878829,122892163,112499665,122923733,121172876,122210006
117037371,120510172,117435937,110472001,89801095,44728141,119941703,119921846,110713301,105731490,97401709,121171009,119226461,109423863,104824854,122338147,120099812,112996898,121718745,120507022,123856977
97764289,98639171,97473648,91498641,67967484,27205127,99386053,99716667,94607654,89174286,63904418,101546470,101410326,77995969,74026606,101315934,101286022,93617590,101350428,100825357,100503850
100072084,100503251,99286800,76607543,63418749,33330685,99414404,99634676,94085213,88201483,64900169,101045570,100660858,92726665,75055621,101235399,101515748,94543967,116635925,116094419,116593651
