db,g,i,r,u,y,z
baseline_nexp1_v1.7_10yrs.db,24.543624021401232,23.472576176735593,24.071225656995416,23.592769541878166,22.039598256695214,22.817160516397067
baseline_nexp2_v1.7_10yrs.db,24.488856958884885,23.45538750532787,24.04339315825733,23.397317966193448,22.02553234500122,22.801622847566414
cadence_drive_gl100_gcbv1.7_10yrs.db,24.267176805754104,23.486999600567238,23.994216058909373,23.39622512323958,22.033694215778983,22.834933049373905
cadence_drive_gl100v1.7_10yrs.db,24.2214089857792,23.4796857341589,23.990440629905084,23.389079991888018,22.044543615979695,22.818042377431553
cadence_drive_gl200_gcbv1.7_10yrs.db,24.094551807520332,23.43817055707532,23.91048428001692,23.395328142525305,22.078669391453133,22.826198868063344
cadence_drive_gl200v1.7_10yrs.db,24.0815044256504,23.44253381412127,23.904017146171782,23.36467462791422,22.081222299831282,22.818924623604207
cadence_drive_gl30_gcbv1.7_10yrs.db,24.39161298516182,23.48017317825866,24.00852752471946,23.368536447473474,22.03044220728848,22.827926564390022
cadence_drive_gl30v1.7_10yrs.db,24.38754481068998,23.46602735597383,24.001529219082073,23.36648494696574,22.037642814913912,22.81916448305747
ddf_dither0.00_v1.7_10yrs.db,24.478139081424487,23.450608666290414,24.04654150284194,23.41400109885396,22.037773319239545,22.802899038626165
ddf_dither0.05_v1.7_10yrs.db,24.476400071047472,23.442788425833825,24.038298682872522,23.3903128215009,22.03533540623762,22.802299883666027
ddf_dither0.10_v1.7_10yrs.db,24.480625727084288,23.448140020491543,24.026700362110347,23.38535498812505,22.031777986459627,22.8134246385267
ddf_dither0.30_v1.7_10yrs.db,24.48403523927162,23.450294152601945,24.034046920223467,23.391717814079755,22.027673578291775,22.80669861796294
ddf_dither0.70_v1.7_10yrs.db,24.488856958884885,23.45538750532787,24.04339315825733,23.397317966193448,22.02553234500122,22.801622847566414
ddf_dither1.00_v1.7_10yrs.db,24.486158802607793,23.440186539362045,24.034882929568813,23.416114343509264,22.022775043451702,22.81341476614259
ddf_dither1.50_v1.7_10yrs.db,24.488840212741138,23.44621621073268,24.031755379479605,23.405831638126227,22.02365875270111,22.806516874327613
ddf_dither2.00_v1.7_10yrs.db,24.48545732994051,23.45334189207449,24.04373268552572,23.393036495569373,22.024106359025208,22.80281838773332
euclid_dither1_v1.7_10yrs.db,24.488856958884885,23.45538750532787,24.04339315825733,23.397317966193448,22.02553234500122,22.801622847566414
euclid_dither2_v1.7_10yrs.db,24.474410276044516,23.454082645397595,24.0312567015761,23.379076563405953,22.01998186651683,22.813345166402176
