db,g,i,r,u,y,z
baseline_nexp1_v1.7_10yrs.db,24.650157261395087,23.44178736371422,24.089958583372166,23.65957339749726,22.06195519053248,22.840485615911813
baseline_nexp2_v1.7_10yrs.db,24.524056036158782,23.4088389911643,24.064346429120302,23.365230189384416,22.03801028140518,22.84266384056517
cadence_drive_gl100_gcbv1.7_10yrs.db,24.388236977609633,23.402940484305624,23.98689237879395,23.351216849771312,22.05962767993619,22.845829432038816
cadence_drive_gl100v1.7_10yrs.db,24.381300065302003,23.385448159379678,23.9816954960614,23.41846302401121,22.076422760820158,22.777520995904943
cadence_drive_gl200_gcbv1.7_10yrs.db,24.23703672083979,23.454891952019082,23.967595197761106,23.410015739495723,22.025852750470335,22.774250186622105
cadence_drive_gl200v1.7_10yrs.db,23.75594178135391,23.49806269749179,23.876467696899155,23.396888700424135,22.041224707983982,22.86071498377725
cadence_drive_gl30_gcbv1.7_10yrs.db,24.425085701277766,23.475055525292717,24.06539265873221,23.47650032109833,22.066160889780363,22.832663143783925
cadence_drive_gl30v1.7_10yrs.db,24.4671637995201,23.497330760835478,24.028323479959603,23.42625771344778,22.023002164168986,22.801096912422715
ddf_dither0.00_v1.7_10yrs.db,24.477708682590524,23.4387417982837,24.00659604083058,23.40696128065485,22.06237257566169,22.863008354625244
ddf_dither0.05_v1.7_10yrs.db,24.542609428123633,23.481988951238534,24.05798082443043,23.430591604102393,22.059928481275143,22.85414994681586
ddf_dither0.10_v1.7_10yrs.db,24.473034422438054,23.36559128631628,24.023686607849765,23.395048643398503,22.041634151718732,22.771722532471316
ddf_dither0.30_v1.7_10yrs.db,24.528450696541935,23.408451880432995,24.064231995458258,23.44528961546342,22.05630269546196,22.825621092178064
ddf_dither0.70_v1.7_10yrs.db,24.524056036158782,23.4088389911643,24.064346429120302,23.365230189384416,22.03801028140518,22.84266384056517
ddf_dither1.00_v1.7_10yrs.db,24.585450118677944,23.440589760703126,23.990331076405482,23.376087971445557,22.054040531705972,22.806136226886316
ddf_dither1.50_v1.7_10yrs.db,24.55297080596397,23.433610175682894,24.041669696780886,23.432856012273554,22.082747359077857,22.852781953196157
