db,g,i,r,u,y,z
baseline_nexp1_v1.7_10yrs.db,,,,,,
baseline_nexp2_v1.7_10yrs.db,,,,,,
cadence_drive_gl100_gcbv1.7_10yrs.db,,,,,,
cadence_drive_gl100v1.7_10yrs.db,,,,,,
cadence_drive_gl200_gcbv1.7_10yrs.db,,,,,,
cadence_drive_gl200v1.7_10yrs.db,,,,,,
cadence_drive_gl30_gcbv1.7_10yrs.db,,,,,,
cadence_drive_gl30v1.7_10yrs.db,,,,,,
ddf_dither0.00_v1.7_10yrs.db,,,,,,
ddf_dither0.05_v1.7_10yrs.db,,,,,,
ddf_dither0.10_v1.7_10yrs.db,,,,,,
ddf_dither0.30_v1.7_10yrs.db,,,,,,
ddf_dither0.70_v1.7_10yrs.db,,,,,,
ddf_dither1.00_v1.7_10yrs.db,,,,,,
ddf_dither1.50_v1.7_10yrs.db,,,,,,
ddf_dither2.00_v1.7_10yrs.db,,,,,,
euclid_dither1_v1.7_10yrs.db,,,,,,
euclid_dither2_v1.7_10yrs.db,,,,,,
euclid_dither3_v1.7_10yrs.db,,,,,,
euclid_dither4_v1.7_10yrs.db,,,,,,
euclid_dither5_v1.7_10yrs.db,,,,,,
footprint_0_v1.710yrs.db,24.290976228515394,23.172709707225163,23.843511569532154,23.163702493208277,21.724445386287584,22.59617880007201
footprint_1_v1.710yrs.db,24.28914749896574,23.208275765443645,23.83260778045811,23.17598514236382,21.7329517102411,22.56166804191259
footprint_2_v1.710yrs.db,24.350636113746667,23.14596146143427,23.86055503063116,23.185733659972392,21.719887315982987,22.542002890312848
footprint_3_v1.710yrs.db,24.29570982725182,23.21522162398542,23.866024793058493,23.20318029927764,21.758807493896253,22.52003613612819
footprint_4_v1.710yrs.db,24.315367512489104,23.12091770792192,23.845718321314216,23.11693302406908,21.69289152921347,22.549722404572485
footprint_5_v1.710yrs.db,24.29570982725182,23.21522162398542,23.866024793058493,23.20318029927764,21.758807493896253,22.52003613612819
footprint_6_v1.710yrs.db,24.25246767423001,23.158067248003185,23.83109240206381,23.127374922672562,21.745116661952167,22.581193139885578
footprint_7_v1.710yrs.db,24.33617277457082,23.197223777113116,23.84717765378771,23.209213132297457,21.680843324440026,22.555338991936814
footprint_8_v1.710yrs.db,24.397693831067304,23.187604662027184,23.881040262484763,23.18216914436558,21.759404458304576,22.5387911864469
pair_times_11_v1.7_10yrs.db,,,,,,
pair_times_22_v1.7_10yrs.db,,,,,,
pair_times_33_v1.7_10yrs.db,,,,,,
pair_times_44_v1.7_10yrs.db,,,,,,
pair_times_55_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.2_nslice2_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.2_nslice3_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.4_nslice2_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.4_nslice3_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.6_nslice2_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.6_nslice3_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.8_nslice2_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.8_nslice3_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.9_nslice2_v1.7_10yrs.db,,,,,,
rolling_nm_scale0.9_nslice3_v1.7_10yrs.db,,,,,,
rolling_nm_scale1.0_nslice2_v1.7_10yrs.db,,,,,,
rolling_nm_scale1.0_nslice3_v1.7_10yrs.db,,,,,,
rolling_scale0.2_nslice2_v1.7_10yrs.db,,,,,,
rolling_scale0.2_nslice3_v1.7_10yrs.db,,,,,,
rolling_scale0.4_nslice2_v1.7_10yrs.db,,,,,,
rolling_scale0.4_nslice3_v1.7_10yrs.db,,,,,,
rolling_scale0.6_nslice2_v1.7_10yrs.db,,,,,,
rolling_scale0.6_nslice3_v1.7_10yrs.db,,,,,,
rolling_scale0.8_nslice2_v1.7_10yrs.db,,,,,,
rolling_scale0.8_nslice3_v1.7_10yrs.db,,,,,,
rolling_scale0.9_nslice2_v1.7_10yrs.db,,,,,,
rolling_scale0.9_nslice3_v1.7_10yrs.db,,,,,,
rolling_scale1.0_nslice2_v1.7_10yrs.db,,,,,,
rolling_scale1.0_nslice3_v1.7_10yrs.db,,,,,,
twi_neo_pattern1_v1.7_10yrs.db,,,,,,
twi_neo_pattern2_v1.7_10yrs.db,,,,,,
twi_neo_pattern3_v1.7_10yrs.db,,,,,,
twi_neo_pattern4_v1.7_10yrs.db,,,,,,
twi_neo_pattern5_v1.7_10yrs.db,,,,,,
twi_neo_pattern6_v1.7_10yrs.db,,,,,,
twi_neo_pattern7_v1.7_10yrs.db,,,,,,
twi_pairs_mixed_repeat_v1.7_10yrs.db,,,,,,
twi_pairs_mixed_v1.7_10yrs.db,,,,,,
twi_pairs_repeat_v1.7_10yrs.db,,,,,,
twi_pairs_v1.7_10yrs.db,,,,,,
u_long_ms_30_v1.7_10yrs.db,,,,,,
u_long_ms_40_v1.7_10yrs.db,,,,,,
u_long_ms_50_v1.7_10yrs.db,,,,,,
u_long_ms_60_v1.7_10yrs.db,,,,,,
