db,FoM_tgaps_same,FoM_tgaps_diff,FoM_EG,FoM_Gal,family
baseline_nexp1_v1.7_10yrs,0.8423548144848021,0.6334020351888938,1.0,1.0,baseline
baseline_nexp2_v1.7_10yrs,0.8187972986104121,0.5758681898543333,0.4949563959631745,0.5262152097531868,baseline
cadence_drive_gl100_gcbv1.7_10yrs,0.7729157716390611,0.64613540939876,0.5598077614061756,0.554715206751793,cadence
cadence_drive_gl100v1.7_10yrs,0.8256461469119892,0.6886960053570099,0.5312269696398542,0.5409866856212445,cadence
cadence_drive_gl200_gcbv1.7_10yrs,0.7182013894869421,0.6312409379699909,0.6062563328984746,0.5843693049694066,cadence
cadence_drive_gl200v1.7_10yrs,0.7107432059790282,0.5979116438985685,0.5903917608045693,0.5852669280852469,cadence
cadence_drive_gl30_gcbv1.7_10yrs,0.8147259433924433,0.702736623265751,0.5537770772178747,0.5684131825277082,cadence
cadence_drive_gl30v1.7_10yrs,0.7689054699950607,0.6694648363668187,0.5406393633453925,0.5628949302172868,cadence
ddf_dither0.00_v1.7_10yrs,0.776341810591869,0.5537364162458714,0.5032704462738412,0.5298672862207228,ddf
ddf_dither0.05_v1.7_10yrs,0.7809189213939021,0.561416911044248,0.5026606675412795,0.5007743327492857,ddf
ddf_dither0.10_v1.7_10yrs,0.7780604586046285,0.5592794209286605,0.5101783898885309,0.5403916589551815,ddf
ddf_dither0.30_v1.7_10yrs,0.7806969358637958,0.5635345355639859,0.5102039455728649,0.5483815515174463,ddf
ddf_dither0.70_v1.7_10yrs,0.8187972986104121,0.5758681898543333,0.4949563959631745,0.5262152097531868,ddf
ddf_dither1.00_v1.7_10yrs,0.7499829572036304,0.5460615688370397,0.5156798120284034,0.5427398701987604,ddf
ddf_dither1.50_v1.7_10yrs,0.7698061584840341,0.5609918086091452,0.5136061502509778,0.5190533345526163,ddf
ddf_dither2.00_v1.7_10yrs,0.763774755063335,0.5427656532495011,0.5060638797036732,0.5145020515747886,ddf
euclid_dither1_v1.7_10yrs,0.8187972986104121,0.5758681898543333,0.4949563959631745,0.5262152097531868,euclid
euclid_dither2_v1.7_10yrs,0.7318680178225047,0.5643172223416645,0.5144938631003008,0.5176745430341695,euclid
euclid_dither3_v1.7_10yrs,0.7487442796658353,0.5728451738996075,0.49904632672387866,0.5260204745881797,euclid
