db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp1_v1.7_10yrs.db,2324.9268355843196,1135.9312349642705,1805.6739720875744,486.04059719144703,,,2440.2307962940167,2597.981197312558,119.58879954545938,1.3302533784701132,0.028512004767432472,8403.14136725601,2705.180666910758,230.54657712091495,0.402313397326249,9699.388396496865,2833.671054135029,1321.2868054737369,9902.523024508078,3255.177288169444,8562.94841889991
baseline_nexp2_v1.7_10yrs.db,1649.306316682551,999.0483604262251,1774.3818518693895,227.78156462417687,,0.0012540258877659903,3862.3037451272908,2490.6237439478205,434.9366168521283,0.37876901721531464,0.04855511977031755,10061.983346538556,2457.7619683070275,467.60439351681896,3.0647343317902265,6927.830772925791,3066.7805020942615,1251.7259668394342,8920.29703040557,2977.381514264996,10477.155183184595
cadence_drive_gl100_gcbv1.7_10yrs.db,1822.9115641878657,661.3150690128717,1600.199813601027,470.5000109868451,,0.002034953712928663,2315.5265586070295,2179.8622145946174,440.9294125740512,306.58511793048297,258.33928088144955,10276.771659984623,1958.1738680863352,113.76624408434505,49.07510167666665,6153.921616360741,2760.0752337158533,1088.560612632976,6171.796397753928,2785.998311148669,5614.274604509569
cadence_drive_gl100v1.7_10yrs.db,1208.3329590085862,768.2478472859451,1483.6700753926013,487.041804653823,,0.0757958926738266,2197.6499015109894,1996.9809714826079,478.3889872201708,286.2400237392391,304.014692703749,9846.930196336412,1948.8864647364076,40.089057147006685,38.74193234830423,6570.013602849979,2599.887191331864,843.0395662108426,8579.550158649856,2485.3108212598554,5868.789971148508
cadence_drive_gl200_gcbv1.7_10yrs.db,1102.2104792634436,100.03135180885538,966.2385710152248,231.68531629686163,,0.050672930954358646,1796.3963356786014,2411.732869942545,246.11999345351816,228.99173578675163,114.51446067294938,9389.030327276741,975.5837903149965,21.193252115578755,171.86077244105292,5631.539579819393,2824.016032850517,880.7285028410594,6197.092641932677,1917.785456004596,9118.331520733089
cadence_drive_gl200v1.7_10yrs.db,723.6751704426376,38.308254544475965,874.8786522147346,270.7982841793236,,0.048603540336828156,1257.9199493979995,1957.8201720773593,230.30398379108203,119.36942902421501,252.18042534713453,8656.73360685094,1021.3606399090224,13.691996803914174,16.019338184376863,5473.857870946227,2693.349286818325,969.0861299665657,7394.247997684524,1886.9008756926714,8826.479118819185
cadence_drive_gl30_gcbv1.7_10yrs.db,1493.4388102818866,909.1128027065154,1530.0993920505691,409.3036848440704,,0.005282922579926328,2589.0387620586653,2704.8978766489668,674.0280357859585,150.0290510124245,71.77991672190375,9956.867091493881,2651.1136438470517,339.94827911187593,101.32902947472374,6782.556730197335,2762.90651077843,695.7741941568929,4889.52028870383,3084.861084589573,7292.051127938475
cadence_drive_gl30v1.7_10yrs.db,1973.00761582138,998.5428086038954,1514.848339638926,340.79684787987554,,0.005282922579926328,2519.3859798056924,2541.0170161082992,521.1800809299037,63.84064506916689,194.29002762164245,7681.147294302256,2338.89903431521,84.21343740962432,166.58729997091416,6431.917918206216,2796.2496630750056,1020.2036841109212,8076.184822353912,3083.881645462395,5687.552568307237
ddf_dither0.00_v1.7_10yrs.db,1554.6347818499428,1078.398919371974,1552.9534055924698,396.17769428019034,,0.0020063469858341574,3419.7995335533674,2250.191921528467,297.9036659086589,2.0613164601511182,0.32994720658953297,7650.042077762345,2326.473171512789,138.3003505922793,3.45536124411751,6635.819539377404,2751.038996470792,1110.9022341158643,6332.25554268147,2871.7997484099083,5392.110137713445
ddf_dither0.05_v1.7_10yrs.db,2007.819383421482,1017.1664697076602,1640.9305348196442,355.8192650013487,,,3755.474661845293,2391.765738698851,156.9752279246844,4.936926618806121,0.0834656463537077,7164.42129585277,2514.813125499454,123.94950128394741,1.7884951479249203,6763.503474710424,2684.0274922761164,1013.3169887339653,6547.091311653687,3117.266242881173,7004.438795448299
