db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,101,94,128,114,108,63,96,117,105,86,74,113,111,112,90,109,122,112,112,116,101
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,95,43,94,92,91,83,100,97,95,87,85,131,126,109,101,165,112,101,150,112,133
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,94,66,93,99,95,113,99,98,95,96,95,131,128,113,105,166,114,101,155,109,137
footprint_6_v1.7.1_10yrs.db,97,69,102,95,96,72,103,108,103,94,83,157,161,133,108,193,137,107,177,132,172
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,182,104,184,184,138,94,189,187,182,177,131,207,202,193,173,208,203,188,208,195,195
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,186,121,185,187,158,142,189,192,187,180,163,209,205,195,188,209,203,191,210,195,197
full_disk_v1.7_10yrs.db,185,127,191,186,122,85,193,196,184,158,129,212,208,194,167,209,204,189,208,195,196
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,85,64,87,97,91,71,88,88,85,97,71,104,104,120,92,108,104,89,106,90,93
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,84,71,98,101,85,81,92,96,87,84,88,108,105,100,92,111,101,89,106,90,92
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,94,92,101,100,76,131,98,106,105,103,117,132,137,135,130,149,123,106,144,114,130
