db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,4,2,4,4,4,3,3,3,2,7,6,5,3,6,8,5,6,12,5,8,5
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,12,10,12,12,8,10,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,12,12,12,12,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
footprint_6_v1.7.1_10yrs.db,12,12,12,12,9,0,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,3,1,2,3,1,4,3,2,4,1,2,10,10,2,7,12,3,9,11,9,8
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,2,1,2,3,1,1,3,2,2,4,1,10,11,7,4,12,3,9,10,6,7
full_disk_v1.7_10yrs.db,7,4,5,3,5,7,5,3,3,11,5,12,10,8,10,11,3,10,11,11,10
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,2,1,3,1,3,0,2,0,1,5,0,3,3,3,1,3,3,8,3,7,3
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,2,2,4,3,0,1,2,3,5,5,2,3,3,3,3,3,2,11,3,8,3
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
