db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,342,16,11,0,0,28,287,7,0,0,3,143,4,0,0,139,9,0,161,1,183
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,192,2,0,0,0,59,154,0,0,0,5,27,0,1,1,24,1,0,45,0,44
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,221,10,0,0,0,135,196,0,0,0,4,31,1,1,4,34,1,0,47,0,80
footprint_6_v1.7.1_10yrs.db,219,29,26,0,0,33,102,8,1,0,22,26,5,0,1,37,31,0,48,0,100
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,232,5,0,0,0,42,103,0,0,0,2,6,0,0,1,4,0,0,11,0,22
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,253,13,0,1,0,55,148,0,0,0,7,9,3,1,0,8,5,0,20,0,24
full_disk_v1.7_10yrs.db,225,21,11,0,0,2,104,3,0,0,5,9,2,0,0,6,2,0,19,0,52
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,316,3,0,0,0,48,350,0,0,0,2,127,0,1,1,142,0,0,176,0,165
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,369,8,1,0,0,116,397,1,0,0,6,172,6,1,2,185,17,0,229,0,196
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,281,128,16,6,0,594,253,24,14,1,221,57,142,87,238,60,138,10,70,13,113
