db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,108284,24839,0,0,0,0,75559,45669,0,0,0,140312,75559,0,0,15249547,108284,0,15249547,75559,17699053
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,27143557,3222608,23935746,0,0,0,27143557,27143557,32028,0,0,27143557,27143557,32725,0,27143557,27143557,0,27143557,27109528,27143557
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,27143557,66057,11905650,0,0,0,27143557,27143557,0,29890,0,27143557,27143557,3227314,2578875,27143557,27143557,50720,27143557,27143557,27143557
footprint_6_v1.7.1_10yrs.db,27143557,63919,27122727,5700181,0,0,27143557,27143557,27143557,0,32725,27143557,27143557,27143557,5641617,27143557,27143557,27111529,27143557,27143557,27143557
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,75559,0,0,0,0,9345722,75559,0,0,0,67951,24638799,21532968,0,32028,27143557,75559,0,12002294,75559,9499430
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,45669,0,0,0,0,0,75559,0,0,0,0,27042881,24540017,0,0,27143557,0,0,21600919,75559,17719686
full_disk_v1.7_10yrs.db,2656572,0,0,0,0,0,175538,0,0,0,0,27143557,21388762,0,0,24037726,75559,29890,24037726,142313,11968265
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,45669,0,0,0,0,0,54729,0,0,0,0,75559,75559,0,0,75559,24839,0,75559,29890,75559
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,54729,0,0,0,0,0,54729,0,0,0,0,75559,75559,0,0,75559,45669,0,75559,75559,75559
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,27143557,27143557,27143557,21449523,0,20750155,27143557,27143557,27143557,0,0,27143557,27143557,27143557,20847996,27143557,27143557,27143557,27143557,27143557,27143557
