db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,108284,3759972,108284,108284,3184225,3151500,75559,77697,45669,11849594,24526376,140312,75559,18362567,26984013,15249547,15281575,27143557,15249547,20200613,17699053
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,27143557,8267161,27143557,27143557,21548061,27050767,27143557,27143557,27143557,27143557,27113667,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,27143557,27143557,27143557,27143557,23308445,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
footprint_6_v1.7.1_10yrs.db,27143557,27143557,27143557,27143557,23310583,0,27143557,27143557,27143557,27143557,27097888,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,75559,29890,50720,75559,20830,9345722,75559,50720,3810692,20830,3173782,24638799,21600919,45669,5772790,27143557,75559,24640693,12002294,24640693,9499430
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,45669,24839,50720,75559,20830,20830,75559,50720,50720,3181390,29890,27042881,24706750,7017199,3810692,27143557,75559,21487544,21600919,15281575,17719686
full_disk_v1.7_10yrs.db,2656572,2600902,2590515,2536960,6285560,21512161,175538,75559,2536960,23408424,18999206,27143557,27043578,6346281,21555495,24037726,75559,21600919,24037726,24706750,11968265
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,45669,2482231,3780802,20830,2502864,0,54729,0,32028,149502,0,75559,75559,75559,24839,75559,75559,17752411,75559,2611148,75559
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,54729,2514259,3810692,122680,0,24839,54729,86757,3249341,5701682,45669,75559,75559,75559,75559,75559,45669,27075606,75559,17752411,75559
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
