db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,45669,0,0,0,45669,0,0,45669,0,0
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,27143557,3222608,23935746,0,0,0,27143557,27143557,32028,0,0,27143557,27143557,32725,0,27143557,27143557,0,27143557,27109528,27143557
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,27143557,66057,11905650,0,0,0,27143557,27143557,0,29890,0,27143557,27143557,3227314,2578875,27143557,27143557,50720,27143557,27143557,27143557
footprint_6_v1.7.1_10yrs.db,27143557,63919,27122727,5700181,0,0,27143557,27143557,27143557,0,32725,27143557,27143557,27143557,5641617,27143557,27143557,27111529,27143557,27143557,27143557
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75559,0,0,75559,0,0
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50720,0,0,50720,0,29890
full_disk_v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,24839,0,0,0,54729,0,0,24839,0,0
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,20830,0,0,0,75559,0,0,24839,0,0
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,54729,0,0,0,45669,0,0,20830,0,0
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,27143557,27143557,27143557,21449523,0,20750155,27143557,27143557,27143557,0,0,27143557,27143557,27143557,20847996,27143557,27143557,27143557,27143557,27143557,27143557
