db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,45669,0,0,0,45669,0,0,45669,0,0
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,27143557,8267161,27143557,27143557,21548061,27050767,27143557,27143557,27143557,27143557,27113667,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,27143557,27143557,27143557,27143557,23308445,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
footprint_6_v1.7.1_10yrs.db,27143557,27143557,27143557,27143557,23310583,0,27143557,27143557,27143557,27143557,27097888,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75559,0,0,75559,0,0
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20830,50720,0,0,50720,24839,29890
full_disk_v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,24839,24839,0,54729,54729,0,0,24839,0,0
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,20830,0,0,0,75559,0,0,24839,0,0
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,0,0,0,0,0,0,0,0,0,0,20830,54729,24839,0,20830,45669,0,0,20830,0,0
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557,27143557
