db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,29406708,2135952,382212,0,0,1784340,25487532,177084,0,0,58896,11645604,740304,0,0,12350016,402336,0,13358448,8172,18409896
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,27417168,37548,0,0,0,27156780,17532000,0,0,0,9972396,3846312,0,6948,12996,2761020,17136,0,8817084,0,8598960
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,30219192,200304,0,0,0,25853040,33162228,0,0,0,2449656,3980376,96804,10980,53532,2428560,19008,0,3531780,0,14529744
footprint_6_v1.7.1_10yrs.db,18904428,6902244,1857564,0,0,3698208,16466904,4560948,14580,0,5028156,5573664,482472,0,31860,4171932,12060936,0,5983884,0,11324628
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,38232864,278676,0,0,0,3123468,19784628,0,0,0,11592,200628,0,0,6948,42624,0,0,717984,0,4548024
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,66314196,2463444,0,9900,0,11992572,41047020,0,0,0,166140,1816704,1189872,10980,0,6531624,5715936,0,11109708,0,2076444
full_disk_v1.7_10yrs.db,31039272,2736900,567612,0,0,15624,13858956,1406160,0,0,6268860,873648,178164,0,0,3258828,19260,0,4219236,0,13512960
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,27160308,65232,0,0,0,1490940,30083040,0,0,0,43380,10937736,0,6948,6948,14270112,0,0,14679396,0,13689540
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,27077148,815148,50436,0,0,5538564,31118580,24048,0,0,127080,17876988,582660,10980,640548,16264440,1071396,0,18166968,0,15499116
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,51324696,30704796,4124484,158832,0,38926476,54969660,2583360,1435140,6984,16077204,9664668,25961652,14162580,56729664,11604636,39457224,2117268,14174856,2634696,21277908
