db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,28772820,44741628,63104760,63048204,47923200,45829296,25006752,46917540,60121944,46565892,51087744,11637288,53859420,55760652,48875364,11941416,50070492,47143260,12310308,49626972,17047980
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,26391924,35931528,75462840,92596104,113100840,115921980,16696404,59061744,103878108,121904244,151233732,3652632,129323196,156194532,165036204,2537892,128226816,147132108,8758044,113733684,8554356
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,29791404,69953544,111533256,95054148,104769000,153859680,30420360,123475500,144016200,150708168,169990812,3980376,171526644,180516420,183440160,2339964,170287524,176100300,3289284,170893620,14420088
footprint_6_v1.7.1_10yrs.db,17682264,60047748,109222164,93293928,90194112,87527772,16053408,89972820,109736532,101730096,125517852,5287968,95017212,150150024,138597120,3941352,95529312,109092600,5846328,69267204,10878084
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,38232864,84962268,134913744,116473428,114596460,132903360,19579248,75053952,160329600,199635480,182325888,200628,194407056,224097336,196862040,42624,164666196,195571044,717984,156396060,4548024
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,66230172,103208904,167194116,189909396,163676556,185609952,41040072,132549192,212818320,230124024,245669400,1816704,246867372,255440160,258255972,6531624,234066960,254920248,10291680,243051768,2076444
full_disk_v1.7_10yrs.db,30963888,91515816,161892432,156145860,111757608,119222892,13826412,81430812,136462716,166237668,181750788,873648,153331704,195124896,183742524,3258828,85507056,118490580,4205376,85020552,13427892
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,24049872,32356224,41003856,51236064,51020748,59886072,28416672,42589908,56984832,50374296,56511036,10204668,65328552,67318956,72405684,13802976,59670432,65974140,14679396,58467276,12722256
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,25938540,41229792,58762692,63177408,49744656,67886928,30644532,64102320,70042140,62485524,79585200,16441812,74230308,79519284,82774548,14019516,71020800,75725280,16427304,73707372,14179356
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,49397688,172539108,177646608,180784800,91881324,189034020,52892712,176985000,185305896,184966128,190781928,9069264,183694536,188324208,191145204,11470752,182163780,185840640,12650652,182491668,20663604
