db,g,i,r,u,y,z
baseline_nexp2_v1.7.1_10yrs.db,24.23829550137775,23.23793136148589,23.898720599713567,23.180720838761687,21.823936361863282,22.64966449064232
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,24.31947486009755,23.091909665443996,23.805540244259344,23.2042942443147,21.693369728344912,22.509720971005933
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,24.29294365534777,23.158251033724465,23.778028535842736,23.176510039657416,21.74388431018311,22.507237567853466
footprint_6_v1.7.1_10yrs.db,24.27278935388798,23.130285053247086,23.813939497354344,23.17931315248314,21.70689925801735,22.574918872557404
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,24.375055840470576,23.15917780380808,23.811637528803324,23.166040079812685,21.819080753806062,22.514631230730732
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,24.358467024138815,23.08301182862923,23.84217723343769,23.2858093817975,21.773423186680734,22.50831470760191
full_disk_v1.7_10yrs.db,24.332775618585583,23.025574274233996,23.877328327178123,23.226346482573135,21.811139301600136,22.579118005787976
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,24.329036389767285,23.22961990003128,23.856385226774442,23.132660858822717,21.87427028488021,22.638912165826298
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,24.291058160546136,23.277712082295885,23.922528164622868,23.195365374174607,21.80599566333818,22.72265924406113
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,24.2974701764042,23.139273241253573,23.832733935011365,23.26861503993692,21.816734066456558,22.509952453216968
