db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
baseline_nexp2_v1.7.1_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,4.4041758122032,0.009901922561877257,0.1909338753015681,0.023662900679175963,0.0010139425428587977,,9.213694746260078,0.08673851775456998,0.18081551925910705,0.036225074868603956,0.008092578862211259,318.08939634621527,1.6222453332800726,0.3889387785996473,0.21480408071995044,259.7565770006007,0.18179108738406402,0.43593224976473605,114.86554073545999,0.31881531815084385,162.0491321862705
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,8.058973994969373,0.04748489347208536,0.2689791305264936,0.049961556340624345,0.001368505295871369,,13.942013799612381,0.1992560547626911,0.3772475851896453,0.04201835360047678,0.0013961887456300087,354.5987529338766,5.229491609356248,0.3840200365556147,0.06041849838601083,150.73514962713529,0.8144567272749157,0.8633549432281675,503.09757374236244,1.8635849367357213,230.84287076843017
footprint_6_v1.7.1_10yrs.db,11.114913814114674,0.02722345753431586,0.06354667886284592,0.012789535706446408,0.0013771595329895928,,20.129046614185867,0.1532299118396295,0.1182102650195782,0.01529883197891093,0.002416602874962724,387.71671221193725,0.3668370782033085,0.16848798662736494,0.030734431243402496,309.1337496344782,0.31211201829537594,0.10323042247801012,377.17000896975014,0.07985358056087648,236.50942769059247
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,,,,,,,,,,,,,,,,,,,,,
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,,,,,,,,,,,,,,,,,,,,,
full_disk_v1.7_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,,,,,,,,,,,,,,,,,,,,,
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,20.603939957680605,0.04330756568080128,0.1062232443002707,0.24511696877934114,0.0013331833862838065,0.0024374786174136027,81.83784264908132,1.7449814297442834,0.5382786280069152,0.06828692054629314,0.02106730643977558,888.1824908193661,4.656417205235427,1.9408272029852036,0.5580988643665091,395.3605603444313,0.7250751276953842,0.6251682548514184,521.1765447473512,1.705465202019176,448.3441261986908
