uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
12746.973646949338,7134.781359522968,15748.067907882772,5094.485465224171,,0.6807853686953642,24778.912821941747,24131.74107352836,6754.632822116102,667.6301757976436,243.11027625657456,86015.96501212762,30227.812923605405,5126.763056827155,660.2054752669529,73841.38084785917,31907.109484811346,13976.531601804078,75826.94305721064,37375.63657551168,64163.21434500854
12195.220139726885,4562.594924045363,9227.220036762925,2637.3439888857015,,6.931735330672329,21961.26849693103,14468.074359095548,4067.2979759600016,299.8687309999318,268.6009141961557,87174.11739277824,20927.043673329405,3935.8709661211074,758.5117030373032,77975.8415762799,24279.455140295617,8880.459830452844,80104.1656939293,27585.322379238183,64986.86784817328
12857.91617481396,5456.803840322281,9940.66003229721,3036.410840348854,,137.81724308711517,24387.90515422028,16621.04335338472,5120.010251769339,295.2377409724948,231.2137834953878,105232.90534388454,26728.55308909248,5922.777289795768,1684.2649916920886,96760.61695319363,28840.75032469995,11193.89763855573,101629.61235757993,33315.45782830415,104058.35366430358
12844.47080655075,9292.047776152605,19918.4009124859,7272.635739330494,,0.20330673122725587,24489.56813036839,27948.9719151747,9711.939249450554,987.1980987607349,605.9230700533899,84585.6174765271,38094.75180773273,7107.663377008672,1654.4280570181033,73370.6598616944,42146.62216852571,18553.9716179787,73001.16258066878,44452.41670371221,80339.87313273085
12900.295802615343,5083.854733636662,9893.70553185889,2845.169058162935,,3.9538195525226554,22568.849288616126,15800.302681793153,4323.054097330819,220.18823811704806,104.05570692542729,87462.90432951642,22376.99923131125,4086.324772111831,794.6520769603459,76374.58446066099,24195.10312337126,8539.846443458622,83959.13342933456,26618.46827708148,88274.37492145006
13806.087263452706,5391.080074413363,11071.270811773838,3380.312033552633,,20.112907645468987,25198.11520841999,17586.801475214357,5225.712009094112,375.44355071513473,242.4738198797553,108488.11739303559,27056.5854209758,5484.011573316133,1421.8980203004496,98131.29511941715,29902.755691488703,10935.232224928024,102653.7525410186,33840.102420405216,104929.15289469466
13547.022775650694,7400.303401515349,16026.727803688884,5105.57353917801,,0.0007949693521516017,25063.070978758496,23938.993740344824,6322.640567445099,619.5265340562391,249.0364722625734,86168.2059578909,29991.403140610117,4343.551751780999,700.7994369085209,70752.05956900254,32028.226932346064,13658.287616293215,70817.83260402069,36507.74948971943,83960.00605357872
12230.285735339323,4885.252080848659,9525.080024270415,2560.055098887839,,11.580133132398192,17277.576594622093,15303.651423126845,4078.3855483215875,212.55726166575423,129.58883935008095,89614.18340384023,21490.11034482958,4288.259554640035,889.1145658940889,78820.10273655488,24407.934314569422,8764.111378103853,84510.44652485252,27367.05178249824,90912.34406583666
13294.564028907023,5694.9158038452215,11252.857042238189,3391.765152077545,,182.24531798229182,18944.150754338923,17585.44849133783,5612.3040629739835,341.80271226851636,299.6152904372513,111815.6188564151,27898.14347223694,5884.889731299929,1650.6406743944,99183.59858332115,30553.129838179542,12322.584279197372,105078.34259195335,34933.12026803228,111700.86906040339
19173.196790698985,10630.734351941715,19722.815704129567,7846.766580687498,,1287.8683145589384,38946.82138745682,30013.29735276487,11652.747312607518,1470.6620140237344,2107.2598179515603,226564.95386775877,51369.11546424641,16845.704703577834,10099.195519626948,153444.95718933197,68189.72130970535,32196.306413957773,221281.26041253872,74759.29725097894,161237.7351740507
