db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,53820,65556,27648,0,0,0,12492,0,0,0,0,0,12492,11736,0,28908,28908,13752,28908,13752,53136
alt_dust_v1.5_10yrs.db,65556,65556,65556,53064,0,0,65556,65556,65556,28908,0,65556,65556,65556,0,65556,65556,65556,65556,65556,65556
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,65556,53064,65556,51804,0,0,50400,65556,65556,28908,12420,65556,65556,65556,40068,65556,65556,65556,65556,65556,65556
baseline_2snaps_v1.5_10yrs.db,53136,65556,26244,38664,0,0,24228,12492,53820,0,0,12492,65556,0,0,0,0,24156,0,24156,11736
baseline_samefilt_v1.5_10yrs.db,65556,0,0,0,0,0,27648,0,0,0,0,12420,0,0,0,27576,0,0,53820,0,0
baseline_v1.5_10yrs.db,12492,27648,26172,24156,0,0,24228,11736,11736,0,0,12492,24228,25488,0,26244,24228,24228,24228,27576,26892
bulges_bs_v1.5_10yrs.db,50400,65556,50400,24156,0,0,50400,65556,65556,0,0,65556,65556,51804,65556,65556,50400,65556,65556,65556,65556
bulges_bulge_wfd_v1.5_10yrs.db,50400,24156,65556,37908,0,0,50400,65556,50400,0,0,65556,65556,50400,41328,65556,50400,65556,65556,65556,65556
bulges_cadence_bs_v1.5_10yrs.db,36648,24228,65556,53136,0,0,50400,50400,65556,12420,0,65556,65556,53064,41328,65556,50400,65556,65556,65556,65556
bulges_cadence_bulge_wfd_v1.5_10yrs.db,65556,65556,65556,37908,0,0,50400,50400,50400,0,0,65556,65556,50400,41328,65556,50400,50400,65556,65556,65556
bulges_cadence_i_heavy_v1.5_10yrs.db,65556,65556,65556,26172,0,0,65556,65556,50400,39384,0,65556,65556,37908,41328,65556,50400,50400,65556,65556,65556
bulges_i_heavy_v1.5_10yrs.db,50400,50400,65556,24156,0,0,50400,50400,24156,0,0,65556,65556,37908,41328,65556,50400,65556,65556,65556,65556
daily_ddf_v1.5_10yrs.db,37980,50400,65556,50400,0,0,12492,24912,12492,0,0,27648,53064,41400,12492,0,15156,28908,0,41328,13752
dcr_nham1_ug_v1.5_10yrs.db,24156,24156,65556,24156,0,0,12420,26172,11736,0,0,26172,24156,11736,0,0,28908,53820,0,38664,37980
dcr_nham1_ugr_v1.5_10yrs.db,28908,53136,13752,0,0,0,15156,0,53064,0,0,0,24156,24228,0,12492,24228,39384,12492,51804,39312
dcr_nham1_ugri_v1.5_10yrs.db,39384,53136,12420,12492,0,0,24228,11736,0,0,0,12492,12492,0,0,0,12492,41328,0,15156,26892
dcr_nham2_ug_v1.5_10yrs.db,41400,53136,38664,0,0,0,41400,38664,37980,0,0,26244,11736,24156,0,11736,0,41328,11736,41328,15156
dcr_nham2_ugr_v1.5_10yrs.db,36648,50400,51804,0,0,0,11736,11736,24156,0,0,27576,12420,15156,0,13752,12492,65556,0,12492,13752
dcr_nham2_ugri_v1.5_10yrs.db,13752,53136,26172,28908,0,0,0,0,26172,0,0,26172,65556,24228,0,0,12492,24228,0,41328,27576
descddf_v1.5_10yrs.db,40068,40068,36648,12420,0,0,12420,12420,12420,0,38664,12420,12420,0,38664,0,0,41328,0,37908,12420
filterdist_indx1_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx2_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx3_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx4_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx5_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx6_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx7_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filterdist_indx8_v1.5_10yrs.db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
footprint_add_mag_cloudsv1.5_10yrs.db,65556,65556,65556,28908,0,0,65556,65556,65556,0,0,65556,65556,65556,0,65556,65556,65556,65556,65556,65556
footprint_big_sky_dustv1.5_10yrs.db,24156,24156,37908,37908,0,0,50400,50400,24156,0,0,50400,50400,11736,0,50400,50400,50400,50400,50400,50400
footprint_big_sky_nouiyv1.5_10yrs.db,24156,24156,24156,37908,0,0,50400,50400,50400,0,0,50400,50400,36648,11736,50400,50400,50400,50400,50400,50400
footprint_big_skyv1.5_10yrs.db,24156,24156,24156,12420,0,0,50400,50400,36648,0,0,50400,50400,50400,0,50400,50400,50400,50400,50400,50400
footprint_big_wfdv1.5_10yrs.db,12492,24912,24228,0,0,0,0,0,0,0,0,0,26172,0,0,0,27648,65556,0,53820,25488
footprint_bluer_footprintv1.5_10yrs.db,50400,38664,50400,15156,0,0,12492,0,53064,15156,0,36648,53064,39384,0,24156,24156,65556,11736,11736,25488
footprint_gp_smoothv1.5_10yrs.db,24912,36648,36648,12420,0,0,0,0,24228,0,0,11736,12420,0,0,0,24228,50400,11736,37908,41400
footprint_newAv1.5_10yrs.db,37908,24156,50400,0,0,0,50400,50400,50400,0,0,50400,50400,40068,12420,50400,50400,50400,50400,50400,50400
footprint_newBv1.5_10yrs.db,65556,65556,65556,24156,0,0,50400,50400,65556,0,0,50400,50400,36648,0,65556,65556,65556,50400,50400,50400
footprint_no_gp_northv1.5_10yrs.db,40644,40644,40644,28908,0,0,11736,11736,24912,12492,0,24156,53820,12492,41328,12420,0,53064,0,39312,26244
footprint_standard_goalsv1.5_10yrs.db,39312,15156,41328,0,0,0,0,0,53064,0,0,37908,39312,11736,0,11736,0,24912,0,50400,24912
footprint_stuck_rollingv1.5_10yrs.db,0,28908,24912,0,0,0,0,12420,0,0,15156,0,0,12492,15156,0,13752,0,0,15156,0
goodseeing_gi_v1.5_10yrs.db,24156,37908,24228,11736,0,0,37908,41328,0,0,0,50400,24156,53820,53820,50400,37980,65556,13752,0,53136
goodseeing_gri_v1.5_10yrs.db,24228,24228,50400,12492,0,41328,24228,12492,36648,53820,12420,38664,24228,24912,41328,0,12420,40644,39384,65556,12492
