db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
alt_dust_v1.5_10yrs.db,3.0551036849702595,0.1064914759921447,0.09298215759769397,0.0033295420845678666,,,12.069434650632179,0.44017734771274647,0.02961290143077019,0.0006194756396805537,,157.7528807338652,0.24557041585145664,0.005479719489277199,,73.08129099693636,0.9545889411949144,1.679542013977742,186.8292455661906,3.115012232825744,143.74253358324648
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,2.982376134402734,0.016657386739988168,0.07273765117927734,0.004236203027559987,,,13.646231496172879,1.5598819519544715,0.043077240588809164,0.0006194756396805537,0.0007837390765034353,228.76072577933553,1.566605271451501,0.018249654992408836,0.0007837390765034353,164.23701641098782,0.71826401993409,0.8584628624053747,251.16622898752263,1.0049461359121659,64.77922354033264
baseline_2snaps_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
baseline_samefilt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
baseline_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_bs_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_bulge_wfd_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_cadence_bs_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_cadence_bulge_wfd_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_cadence_i_heavy_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
bulges_i_heavy_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
daily_ddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham1_ug_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham1_ugr_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham1_ugri_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham2_ug_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham2_ugr_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
dcr_nham2_ugri_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
descddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx1_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx2_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx3_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx4_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx5_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx6_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx7_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
filterdist_indx8_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_add_mag_cloudsv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_big_sky_dustv1.5_10yrs.db,0.995596599710573,0.001394068835157298,0.026614399638951836,0.00339687281409274,,,4.411939334535962,0.2161379471991966,0.009277256955073117,,,368.1573849588551,0.5457623651018982,0.0007837390765034353,,152.00026403914586,1.0142039428495606,0.5098495481691157,293.84404590547,2.787861825340603,132.41546661487772
footprint_big_sky_nouiyv1.5_10yrs.db,4.633919184016837,0.003700226948140793,0.03609413482430812,0.0034739129288038706,,,12.680161030777823,0.6650702743850078,0.008022873148709413,,,232.3393543580031,0.132587535451441,0.0032556904109775106,0.0006194756396805537,133.72427072369138,2.7814461854194756,0.4749269274578767,116.1353576761556,2.438728959506517,205.85001852239603
footprint_big_skyv1.5_10yrs.db,3.4347894049235994,0.006535280742202676,0.016866360819590167,0.000991397606183697,,,7.880895412512253,0.22760939448634362,0.0034943838848328812,,,361.79976600585263,0.7023870566100453,0.004394017234961944,,141.58542620792835,3.101607786407321,0.22229295687776401,148.5080558145193,8.756540301629572,230.02956470363148
footprint_big_wfdv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_bluer_footprintv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_gp_smoothv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_newAv1.5_10yrs.db,1.1585324071427217,0.0028757048436451518,0.004537704225022341,0.0007837390765034353,,,7.1240861600494565,0.17818181502344252,0.009374477470831526,,,194.20617259960147,0.01912136366285431,0.0006194756396805537,0.0016088241020266927,47.619166283569676,0.8546408472986059,0.281639606022317,102.88418535264692,9.222507427408194,69.80979533013323
footprint_newBv1.5_10yrs.db,1.9415976072114494,0.006102950833860666,0.020044910115781512,0.001586200367066176,,,11.494177080349951,0.16544355251762888,0.009018409962117217,,,236.2385732874207,0.1583271390147143,0.004271427172822365,,136.75215900747335,2.0116765447721905,0.10831243526276027,115.20426036402583,8.143859296316688,145.15412230334465
footprint_no_gp_northv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_standard_goalsv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
footprint_stuck_rollingv1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_gi_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_gri_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_griz_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_gz_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
goodseeing_i_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
greedy_footprint_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,4.394045611517448,0.027084421504489697,0.09404126043564455,0.0033020898765406433,,,14.975529462950215,0.590653874774413,0.039732076961099295,,,222.98552615335717,0.41182614751013946,0.013828685077109763,0.002034953712928663,193.89641235075175,1.0688669017752892,0.9222211057211669,278.9033323664948,18.705789063094397,71.59076893317085
rolling_mod2_sdf_0.10_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod2_sdf_0.20_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod3_sdf_0.10_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod3_sdf_0.20_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod6_sdf_0.10_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
rolling_mod6_sdf_0.20_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_2ns_1expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_2ns_5expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_5ns_1expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
short_exp_5ns_5expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
spiders_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt120v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt15v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt30v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt45v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt60v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
third_obs_pt90v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod1_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod2_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod3_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
twilight_neo_mod4_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
u60_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
var_expt_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.65_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.70_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.75_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.80_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.85_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.90_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.95_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
wfd_depth_scale0.99_v1.5_10yrs.db,,,,,,,,,,,,,,,,,,,,,
