uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
40540.81920422848,10542.141537346253,20546.217137018557,7015.128020361691,,9.375273821817597,32532.723350724173,30999.907338551737,11514.544681895068,4920.238295540726,2323.7006389009603,98025.58943464041,46029.79925580957,13691.898565029443,4256.291158975062,104581.51886680753,78495.52675328436,28740.013941930327,138895.10021136742,88801.33105713612,104331.9451013603
24026.842724681785,24570.71842285533,61729.383034088714,35724.56985980016,,8513.906406369873,56464.87608325949,90876.96012818124,54787.335916904725,26963.300149858078,53484.656985639565,181500.23036954392,122095.43898126869,91716.02080260648,116641.18922383162,169024.16092195734,94708.34275193608,165713.3473039619,127339.22796387119,145734.1081465489,138241.56111131713
24017.69563330262,27177.59722616413,63554.892536476764,33485.175172814575,,2028.6772539952399,57565.291186613744,96252.3441844062,55818.48182423641,26528.08478701636,56608.57822057033,180196.1675041493,136779.7160154927,97412.35984625315,113534.25017416067,177782.91151010396,100164.62238152261,163705.24975040194,134409.3066706455,154526.6881200262,112804.82369681259
22250.093882240708,19213.700749673175,52630.70710572123,33175.78292476853,,5349.077130072391,49031.07504740462,75314.9207107973,45952.11764062514,26761.862520125043,53668.00781712367,163587.83359658316,103872.7819395254,79207.81366445294,123195.57795786399,151684.41157232845,81839.45385165114,152089.5309886921,114772.78733092081,118353.60152786673,132465.23313762728
41692.29298979085,11552.871351327227,20897.49967797125,20376.843811098886,,14554.297678447974,65315.317866506535,37097.2807046455,17917.299550763422,31540.19376142265,58434.08204713607,205213.91529560272,66906.07758065408,69043.99059389734,114133.73223869037,214822.29497311066,47947.757318609976,103429.0217236505,119704.77386187563,62435.254642312335,210577.2157561124
18572.277450824826,20610.844875791932,57163.13194126291,34242.82851333763,,3719.546799246424,54293.662794653304,78725.00758442862,48719.04367551141,28180.750166580092,49433.31581442125,182117.7962960047,108144.80059645444,86907.66314267478,118948.92569043687,159404.45496703664,85445.90056577555,152828.8858038481,120541.90061734575,129921.32617390966,141076.0564455293
17809.674455459262,19053.090276366474,52156.909729841864,31912.25870455267,,1790.370897330835,53216.518049525424,73220.67543922558,44621.59032327565,25799.512436027973,51049.86978950329,223706.8395225203,102431.4067495395,86120.78840873449,113595.41307751705,151760.21754615984,86538.6615397873,154376.89265196,116429.53409288127,130458.06402952889,186462.10203171105
23309.19188208693,18259.464584635105,52665.90038337095,32349.610833832154,,6910.123618241756,52272.6162320627,72358.53063998505,44169.0787348798,26487.314747631408,49650.84946330685,180329.37893712777,101974.92044716791,91177.71763398427,118884.4780728373,159591.0099700311,81643.44327854164,153215.73971213182,122036.95258726065,129093.69473304463,184802.98244625633
23995.171590140028,18995.460111949156,53282.82166046833,30799.393885240228,,6319.247556555877,53577.45038036423,74093.41510910167,45250.312853278745,29013.50777873857,49168.67119221778,180747.0693533661,105289.14829778619,86352.42660407689,127474.74234542705,118335.60894232431,85386.49200394868,150045.5674767303,87484.5205266468,128223.2175445421,178763.45757115903
23574.085169339218,19213.3641543556,52069.19178621257,32388.87059689581,,4053.3100213254547,55334.20514811957,73069.07625958759,44806.35908807076,26893.153835993984,56188.7941754515,230384.9105001841,103758.75557561942,86913.08203004727,119909.82837121861,157347.5681650784,84303.30387459407,153309.14919117733,113483.95675401151,128839.151731287,184715.3887339634
