db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,156,156,148,147,0,0,169,171,161,98,31,162,164,152,75,165,162,162,170,164,161
alt_dust_v1.5_10yrs.db,54,55,80,70,0,5,72,82,58,66,34,62,79,65,61,62,65,88,65,166,173
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,49,68,62,68,0,10,78,81,61,75,22,63,117,122,86,63,81,88,67,175,260
baseline_2snaps_v1.5_10yrs.db,148,133,151,149,0,7,162,164,158,94,37,161,164,143,93,163,159,162,164,173,160
baseline_v1.5_10yrs.db,160,164,164,161,0,0,168,166,164,110,26,167,168,161,81,167,167,164,168,168,160
bulges_bs_v1.5_10yrs.db,73,62,73,60,0,1,97,116,81,55,31,99,105,112,81,98,102,117,100,128,110
bulges_bulge_wfd_v1.5_10yrs.db,110,80,109,82,0,16,129,144,104,77,31,129,130,125,114,128,130,135,128,147,133
bulges_cadence_bs_v1.5_10yrs.db,79,60,81,70,0,8,97,108,85,37,31,98,120,98,78,98,107,98,98,151,108
bulges_cadence_bulge_wfd_v1.5_10yrs.db,104,67,91,78,0,0,124,135,106,55,25,128,139,104,61,129,129,125,129,151,139
bulges_cadence_i_heavy_v1.5_10yrs.db,77,77,65,70,0,2,122,116,93,63,46,128,134,94,83,128,122,125,129,151,133
bulges_i_heavy_v1.5_10yrs.db,82,63,76,75,0,5,121,115,93,52,33,129,134,114,71,127,129,128,129,147,134
daily_ddf_v1.5_10yrs.db,156,167,140,129,0,6,166,171,150,107,42,162,161,152,104,165,164,167,163,168,161
dcr_nham1_ug_v1.5_10yrs.db,155,75,161,163,0,0,169,163,159,109,21,164,167,160,89,168,169,163,166,164,163
dcr_nham1_ugr_v1.5_10yrs.db,158,87,148,143,0,12,168,174,166,102,13,167,169,163,107,169,168,156,168,169,161
dcr_nham1_ugri_v1.5_10yrs.db,155,68,148,147,0,0,169,166,159,104,47,164,163,133,111,166,166,182,167,167,161
dcr_nham2_ug_v1.5_10yrs.db,161,30,133,148,0,0,163,153,158,103,35,163,166,165,92,167,165,183,167,171,162
dcr_nham2_ugr_v1.5_10yrs.db,158,46,106,138,0,0,163,139,144,78,10,168,167,165,102,165,165,169,168,164,161
dcr_nham2_ugri_v1.5_10yrs.db,156,38,138,120,0,2,167,155,175,90,29,166,162,142,77,171,165,174,169,172,160
descddf_v1.5_10yrs.db,155,162,141,149,0,0,162,163,163,95,30,164,169,158,79,166,159,149,168,169,161
filterdist_indx1_v1.5_10yrs.db,264,264,249,99,0,13,264,245,242,130,38,254,245,242,135,254,252,248,264,255,263
filterdist_indx2_v1.5_10yrs.db,247,220,251,237,0,1,253,248,252,127,27,263,259,242,131,264,257,253,264,261,264
filterdist_indx3_v1.5_10yrs.db,247,250,11,30,0,0,264,264,252,169,38,263,247,213,59,263,255,250,264,257,264
filterdist_indx4_v1.5_10yrs.db,264,253,264,124,0,0,251,101,105,79,7,263,247,249,130,263,254,248,264,256,263
filterdist_indx5_v1.5_10yrs.db,247,153,245,183,0,10,248,248,233,66,36,258,254,118,143,255,250,250,264,264,264
filterdist_indx6_v1.5_10yrs.db,247,246,177,170,0,0,251,247,234,54,4,262,263,242,53,264,262,248,264,250,264
filterdist_indx7_v1.5_10yrs.db,262,252,255,234,0,0,264,253,246,112,32,264,247,237,104,264,258,254,264,257,264
filterdist_indx8_v1.5_10yrs.db,247,203,249,212,0,1,249,248,249,104,17,264,259,217,87,263,258,251,264,262,264
footprint_add_mag_cloudsv1.5_10yrs.db,151,155,160,142,0,0,160,168,159,125,52,165,168,177,127,165,161,158,166,161,161
footprint_big_sky_dustv1.5_10yrs.db,40,41,49,52,0,2,49,48,54,45,19,59,58,53,36,59,51,63,59,61,78
footprint_big_sky_nouiyv1.5_10yrs.db,20,14,23,20,0,2,37,59,22,24,9,31,30,24,23,32,26,26,32,31,32
footprint_big_skyv1.5_10yrs.db,20,15,18,19,0,0,30,56,25,38,8,32,30,33,16,32,52,27,32,30,32
footprint_big_wfdv1.5_10yrs.db,153,93,138,92,0,3,177,169,157,104,27,177,175,141,78,180,177,186,181,187,181
footprint_bluer_footprintv1.5_10yrs.db,149,183,26,38,0,0,167,170,166,127,20,164,150,146,42,165,168,152,171,159,162
footprint_gp_smoothv1.5_10yrs.db,289,189,282,242,0,6,300,305,277,145,25,301,297,251,112,301,307,291,305,297,300
footprint_newAv1.5_10yrs.db,218,70,214,106,0,7,303,272,209,65,19,301,304,236,99,296,295,268,297,297,298
footprint_newBv1.5_10yrs.db,88,41,153,66,0,0,254,218,160,55,24,265,264,214,81,267,247,212,257,252,258
footprint_no_gp_northv1.5_10yrs.db,140,147,138,142,0,0,156,153,148,78,9,159,162,157,79,162,160,157,164,168,155
footprint_standard_goalsv1.5_10yrs.db,154,159,152,152,0,0,169,172,165,104,39,165,173,166,124,167,166,162,169,165,163
footprint_stuck_rollingv1.5_10yrs.db,61,79,65,85,0,0,62,74,70,65,30,61,75,97,79,62,73,64,61,78,62
goodseeing_gi_v1.5_10yrs.db,155,172,151,151,0,0,169,171,144,129,61,162,163,141,99,166,172,157,169,164,162
goodseeing_gri_v1.5_10yrs.db,156,161,154,138,0,0,166,170,150,136,68,165,170,160,128,168,163,158,167,164,162
goodseeing_griz_v1.5_10yrs.db,162,169,150,163,0,4,166,165,158,126,51,164,168,158,136,167,163,152,169,174,161
goodseeing_gz_v1.5_10yrs.db,159,148,161,171,0,11,168,170,161,178,100,162,165,164,126,166,167,160,168,161,161
goodseeing_i_v1.5_10yrs.db,153,162,154,142,0,0,164,174,155,104,14,165,171,151,87,169,167,145,169,160,160
greedy_footprint_v1.5_10yrs.db,154,158,151,140,0,0,169,163,154,96,43,161,153,172,91,173,162,162,163,172,164
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,53,57,62,47,0,16,71,74,55,90,43,62,93,113,77,63,67,71,66,162,227
rolling_mod2_sdf_0.10_v1.5_10yrs.db,159,198,165,143,0,0,172,172,159,143,40,169,167,179,93,169,179,174,172,166,164
rolling_mod2_sdf_0.20_v1.5_10yrs.db,154,187,163,130,0,0,176,173,152,130,37,168,167,172,104,171,175,170,172,172,163
rolling_mod3_sdf_0.10_v1.5_10yrs.db,151,180,150,144,0,3,164,165,156,117,59,169,164,164,133,168,171,157,172,162,162
rolling_mod3_sdf_0.20_v1.5_10yrs.db,157,176,152,146,0,0,164,165,159,139,38,167,168,167,110,168,172,158,173,170,162
rolling_mod6_sdf_0.10_v1.5_10yrs.db,148,160,134,116,0,9,160,160,151,117,50,162,162,171,132,167,169,161,169,164,162
rolling_mod6_sdf_0.20_v1.5_10yrs.db,149,159,145,139,0,2,159,166,162,116,46,168,164,158,138,169,164,146,168,156,161
short_exp_2ns_1expt_v1.5_10yrs.db,224,291,253,195,0,2,232,264,198,96,17,172,214,205,67,173,278,188,174,206,178
short_exp_2ns_5expt_v1.5_10yrs.db,222,287,250,179,0,0,211,246,158,56,26,170,216,154,69,172,261,164,173,199,174
short_exp_5ns_1expt_v1.5_10yrs.db,280,305,281,208,0,1,289,279,195,74,30,174,253,174,70,175,304,190,179,245,211
short_exp_5ns_5expt_v1.5_10yrs.db,278,306,296,180,0,0,253,283,163,76,21,173,220,165,65,174,307,179,177,216,197
spiders_v1.5_10yrs.db,153,149,159,145,0,0,168,168,162,110,31,166,167,144,89,167,171,170,167,162,162
third_obs_pt120v1.5_10yrs.db,159,172,144,123,0,0,171,166,134,95,5,165,165,167,35,169,163,148,171,162,160
third_obs_pt15v1.5_10yrs.db,160,164,164,161,0,0,168,166,164,110,26,167,168,161,81,167,167,164,168,168,160
third_obs_pt30v1.5_10yrs.db,155,166,162,144,0,15,171,173,162,113,57,164,164,152,87,166,165,170,167,174,161
third_obs_pt45v1.5_10yrs.db,157,145,163,140,0,0,168,165,164,90,41,163,167,167,89,167,169,166,169,169,162
third_obs_pt60v1.5_10yrs.db,156,149,165,159,0,0,163,170,170,99,15,164,166,153,63,168,169,167,173,167,163
third_obs_pt90v1.5_10yrs.db,152,173,147,141,0,0,165,169,167,98,25,167,167,164,99,168,161,158,171,166,161
twilight_neo_mod1_v1.5_10yrs.db,152,228,74,143,0,2,160,154,188,96,51,286,155,145,89,286,135,130,289,156,161
twilight_neo_mod2_v1.5_10yrs.db,159,246,136,125,0,0,166,157,165,89,39,242,158,154,85,217,151,143,274,158,161
twilight_neo_mod3_v1.5_10yrs.db,159,248,140,134,0,0,164,163,159,91,39,178,158,161,89,175,147,153,200,161,163
twilight_neo_mod4_v1.5_10yrs.db,162,222,142,132,0,0,166,167,162,91,51,172,158,150,112,172,157,151,182,158,161
u60_v1.5_10yrs.db,1,22,23,28,0,0,161,181,154,113,57,165,160,164,93,164,166,173,166,176,160
var_expt_v1.5_10yrs.db,155,128,173,168,0,3,168,154,165,117,47,161,155,125,114,166,135,148,161,157,161
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,307,268,263,201,0,11,324,261,232,62,6,271,260,215,96,270,282,236,315,287,308
wfd_depth_scale0.65_v1.5_10yrs.db,304,248,260,178,0,6,321,241,207,94,35,243,252,199,88,236,259,222,317,278,305
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,304,263,267,194,0,7,322,240,234,80,38,201,235,218,118,191,257,218,304,272,307
wfd_depth_scale0.70_v1.5_10yrs.db,305,264,257,170,0,12,321,224,187,76,38,182,209,180,74,179,238,207,283,252,298
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,307,278,226,179,0,6,323,195,198,105,33,173,194,198,86,174,228,188,243,229,288
wfd_depth_scale0.75_v1.5_10yrs.db,307,263,246,158,0,15,320,203,176,86,38,173,183,168,86,172,206,194,208,237,278
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,302,272,214,177,0,6,316,191,189,108,53,173,181,172,104,173,191,207,173,212,235
wfd_depth_scale0.80_v1.5_10yrs.db,300,256,192,150,0,0,314,184,193,81,27,173,178,186,71,173,194,192,177,203,220
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,241,210,179,168,0,0,255,174,182,130,53,173,174,181,103,173,171,177,173,190,170
wfd_depth_scale0.85_v1.5_10yrs.db,202,199,162,165,0,0,229,169,182,89,40,173,171,167,106,173,175,174,173,178,173
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,161,171,167,164,0,1,173,174,162,79,21,167,170,166,103,170,169,161,170,164,162
wfd_depth_scale0.90_v1.5_10yrs.db,150,157,158,166,0,0,169,174,183,109,31,166,171,159,94,168,168,167,167,171,163
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,148,136,149,145,0,0,160,164,161,58,19,160,157,153,76,160,159,154,160,160,160
wfd_depth_scale0.95_v1.5_10yrs.db,143,122,148,144,0,0,158,160,152,105,28,159,157,147,59,160,161,158,160,159,160
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,148,138,152,154,0,0,160,155,154,66,21,160,158,141,77,160,155,153,160,160,160
wfd_depth_scale0.99_v1.5_10yrs.db,146,124,149,143,0,0,156,153,151,89,32,160,159,149,71,160,152,153,160,158,160
