uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
64358964,105854472,59535504,57796884,0,641160,65364804,62278308,65946636,53442792,18685116,60727752,65593116,59030784,41155200,60338196,60378840,57869640,56468880,56322972,50958684
13065804,41533848,33977160,44808336,0,7587468,19590948,33254820,40849524,70521948,39763116,10337112,36206676,42852096,58210740,9168084,30111264,44723376,10276776,36877212,13613220
12575556,68908068,30275928,47513376,0,7184664,20203488,36181008,42924096,59819544,22895100,4764744,39922416,69656796,112849668,6340788,34023168,43464636,6253344,38956212,12687048
30962052,71560944,48069828,49959540,0,4778892,30573792,46937340,52127532,62844624,24539688,17541576,55976436,58888548,67017312,17042832,47528496,53992332,18110520,51606360,22478076
89808372,56340,56340,18825084,0,7562376,71639460,56340,2859588,51246180,8011404,68972256,56340,30883140,32004864,66181572,56340,846648,68672232,56340,54379080
59958288,88104960,69498144,70083000,0,204012,66575196,64875888,67785084,83619504,18103212,66857364,67737204,68577768,64498716,66972708,68543784,73167840,62352252,64624536,58167108
13156740,38898252,29575548,24440184,0,1172880,13198536,29226168,33786396,37696608,21791484,5397372,38248200,42938100,79857468,6346764,29571984,48430980,4220208,43350912,8443080
28084464,77223240,57121128,53713584,0,9661104,19119744,43311996,58670316,72999468,29526768,4769136,91733652,90316440,132589404,3073176,29991492,52539192,3584664,58081104,9510120
11039832,35688096,28687212,32148720,0,11223828,11128752,27956664,35539272,29591460,23326236,4533264,40650120,43104312,58226292,3856248,23976504,38312064,3787380,38919996,4706316
20998044,37610676,58050900,61236324,0,1308996,42968952,66098376,46522800,69659568,29291616,13185972,92070648,65613564,77832144,11141532,43177644,60668820,4930344,96641856,7933968
11263608,68118372,24493428,40920228,0,1157508,11719332,21754548,33228684,84720564,51509448,2110176,95837508,61187220,98437824,77294268,67969008,52568856,2293380,36905652,4623912
11799216,64207332,24290100,56855124,0,4561416,10154196,24881976,34449696,45722700,26713188,2000592,97295940,83288664,55307016,78276312,76145436,67263912,1975644,37632312,4454784
44513784,112255812,48752496,45076068,0,3180456,52044876,51623640,54072864,78693840,26359740,34502580,58170384,68764068,88472772,30773664,50688612,63677016,30395052,54230112,38715768
67631508,66891564,60885252,67548672,0,119196,69782400,54298944,63334116,74496456,15691284,65123820,79180884,69814692,59653728,65809764,59089068,70695792,58639572,69363972,54472104
69006204,51276780,43447860,58744152,0,7490484,64543536,38414736,56016612,75466764,10290312,64482408,66271176,74427912,63312552,60612264,66042756,71512236,58783644,64037700,54717840
68254884,30214476,48615372,69791940,0,175356,67929192,44108892,54317232,99864540,45046296,63604440,53290116,56898756,93538908,64176624,56674368,72307008,59835528,69486516,58153320
69307344,26430948,35913240,61731396,0,100224,66747168,20615004,63835776,81036468,20878812,58656060,76435524,73241496,84948948,63005580,57244212,69732756,55600632,66926700,57807396
73168236,56099340,13299624,49651452,0,156024,67400388,13164408,38530476,75707028,8047044,65011464,58283676,78735384,63572328,59302476,67171140,75179484,60872040,64969164,54157320
69586704,25842996,35123076,53423172,0,2119068,72080316,26671680,53529480,65951856,15531624,63213696,34192188,60023628,45392004,66440484,47550096,73388628,57232620,71619264,53733420
56729376,107440848,60234480,53610876,0,360468,60914340,60644052,58918608,79689816,19250316,57189528,70980984,66389760,51882876,56873808,49153896,59252292,50914296,64893060,49975920
273984084,273983004,235672092,36262656,0,25009524,269289756,122935788,155101320,166263660,60490908,0,2890260,243160776,147680856,0,250766136,224958348,49870404,160724052,81596340
260235324,231667128,258096744,212878116,0,251568,261224496,259144020,248681340,153657216,39883500,264485196,262548684,224666892,167716332,264497472,259585992,245440692,263101896,245306880,253559340
233010072,266127336,7164,3638340,0,79236,273938832,271482084,257287356,203361156,43664688,195123420,7707744,174292488,87256080,130053456,246115584,219437280,172143828,191417040,122980284
273979368,267296760,273157308,62371980,0,138744,209949300,7451388,19631700,89210520,11028888,164517192,8194500,249649524,124425972,111157308,263863800,200608596,187092612,130327884,140044212
85823064,142438680,194032980,100305900,0,5097096,31347648,130359492,133051536,62231976,32477292,477324,203175720,46375344,131427576,2242620,180479736,236758176,264618900,266820876,264634884
162114768,262462176,65054376,101933820,0,1066932,189478512,104830380,167372748,50867460,7287300,184122576,264605616,240668604,65927412,264613500,264510720,208034208,190655136,111335256,146832660
265286988,266409252,263927556,208748952,0,121500,264621960,263912832,202806972,131918328,35625420,231130620,183657780,243708480,102250296,229139640,261734796,246429468,246950712,230642604,215385624
205955208,218529828,187272252,161872380,0,883836,213914160,195594876,218344788,105217632,24017004,187501608,258852168,168673824,84803400,263745648,261277200,258814224,264634704,262275192,264578076
58891032,103144248,66304440,57803040,0,449856,61046568,63755532,66257208,106244280,53050932,57741336,67788144,75151476,126468612,57975948,57975552,67930380,56018232,68032008,52871040
22201488,32210676,36394632,36032220,0,2577816,29979936,37409976,38686860,36590436,17656236,33225408,38057436,39532500,31670460,32592132,35158392,39379680,32074236,37477188,30581568
30398616,29053836,31991328,28117260,0,1319580,31206456,35751852,30086568,23141232,8636508,31925016,31573476,28762092,22335840,32149656,32303772,33740568,32134176,32697396,31088916
28156680,30166200,30237372,28224756,0,142380,30943080,32568984,30311748,29698704,8154252,31820904,30575376,30432816,19918584,31442544,28810188,32233824,31407084,31263984,29565828
6503616,58507524,39214188,25976484,0,1192536,1640988,26089524,47084688,63644760,17398440,56340,47566404,65506860,63990504,694800,26814132,67097052,56340,42261372,1480608
67807476,115678476,1935036,8687736,0,73728,98282376,94144572,78900912,88117416,13865976,61512876,10035540,49051152,26292708,48358512,60299964,48802824,50364,17494056,64260
127372356,166894848,206418780,142710876,0,3310668,124151292,219353616,216672156,177303528,33829056,80671356,225341388,190860696,127584396,63950112,174284352,233212104,51453036,202745916,75229308
2713968,66785220,58524048,39838608,0,8567856,162288,27715860,73184292,73305144,37871784,64260,81336060,143265492,118164132,64260,20680956,84973644,58284,23587992,81252
