db,FoM_CI,FoM_LS,FoM_PMT,total,FoM_tgaps,FoM_EG,FoM_Gal,FoM_depth
agnddf_v1.5_10yrs,0.5551330798479087,,0.5835988579863642,0.6920684843741912,0.44337621285623563,0.5647623634954141,0.610002427161747,0.9317416747212636
alt_dust_v1.5_10yrs,0.768060836501901,,0.5234046858161049,0.7848928768538883,0.6039651092715974,0.5547011657874388,0.30760664929053166,0.8002196070054964
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.768060836501901,,0.44880670348514246,0.739555681282339,0.6795588846609816,0.6444239854425514,0.37107718925479677,0.6920880991792218
baseline_2snaps_v1.5_10yrs,0.5779467680608364,,0.8459545895208912,0.8653812382869661,0.40975919012518663,0.33047304316562454,0.39678437059765104,0.8638925505915604
baseline_v1.5_10yrs,0.5665399239543726,,0.6633057973243179,0.7474432182504562,0.47712249807944185,0.6368591612756492,0.6735568603016753,0.9227764953597057
bulges_bs_v1.5_10yrs,0.8479087452471482,,0.7778716560873237,0.9880739627068956,0.35452445507016406,0.24599750347845153,0.2192287252323163,0.9272739988405699
bulges_bulge_wfd_v1.5_10yrs,0.8707224334600762,,0.74201267681807,0.9801456395347695,0.35106489219096887,0.23765571532568452,0.20667090320726225,0.9298845374616063
bulges_cadence_bs_v1.5_10yrs,0.8365019011406845,,0.6546882891080458,0.9062762715181657,0.36578657622050786,0.25609456125179775,0.24790390921234734,0.9234567146703637
bulges_cadence_bulge_wfd_v1.5_10yrs,0.9657794676806083,,0.6796240776982582,1.0,0.3510189335893482,0.22962627784239054,0.18645990237516544,0.9249916113074609
bulges_cadence_i_heavy_v1.5_10yrs,0.7946768060836503,,0.6993550998128192,0.9080033345573335,0.35511880768616777,0.23208490708908808,0.19603108744213693,0.9301889882898515
bulges_i_heavy_v1.5_10yrs,0.8783269961977187,,0.558381964376419,0.8731651056721922,0.3513458548643682,0.22811091068808761,0.21347385411270636,0.9251364181244913
daily_ddf_v1.5_10yrs,0.612167300380228,,0.4799988263237042,0.6637679429896043,0.40323087753844195,0.38630412818707316,0.5075386051229932,0.9120675840351412
dcr_nham1_ug_v1.5_10yrs,0.5779467680608364,,0.6716021275689709,0.7594178942540745,0.4650861967744162,0.5638931061197539,0.629893799774788,0.8761232566288448
dcr_nham1_ugr_v1.5_10yrs,0.6159695817490494,,0.6910041455842779,0.7943180449586225,0.4514901897103181,0.520461237843714,0.6325436324806288,0.8678532172563045
dcr_nham1_ugri_v1.5_10yrs,0.5893536121673003,,0.6722634421199292,0.7667523616504259,0.4491709140167888,0.5169480071143838,0.5792885849439285,0.8473143313240092
dcr_nham2_ug_v1.5_10yrs,0.6349809885931559,,0.8053336121427771,0.8753564466182608,0.4454313184984179,0.5207483311576755,0.5691593187190604,0.8410862812936617
dcr_nham2_ugr_v1.5_10yrs,0.49429657794676807,,0.7501450918320364,0.7563139591341178,0.3998473288495683,0.4642169590432274,0.5067168178539411,0.8079716749540832
dcr_nham2_ugri_v1.5_10yrs,0.5931558935361215,,0.5884997404615947,0.7181555171170068,0.4059233910399435,0.46220336772930043,0.5199364691671667,0.7868789684588346
descddf_v1.5_10yrs,0.5931558935361215,,0.7593920121027263,0.8220159178807492,0.4475700681372575,0.5394104820231129,0.577230223133301,0.9346354034807465
filterdist_indx1_v1.5_10yrs,0.14068441064638776,,0.9834510991383852,0.683197452042643,0.5706868971510105,0.54011581220183,0.5189928694829041,0.8888383330304929
filterdist_indx2_v1.5_10yrs,0.1292775665399239,,0.7435848575752759,0.5304853186725186,0.5393694789220947,0.9138600048819425,0.8430093862759171,0.9632384214249585
filterdist_indx3_v1.5_10yrs,0.15209125475285168,,0.8676427276365315,0.6197470433641139,0.5408721160230606,0.6008082952434821,0.557646328243683,0.9154641188342465
filterdist_indx4_v1.5_10yrs,0.14448669201520914,,1.0,0.6955659571960401,0.480675810056877,0.5365028995972152,0.5128849383998305,0.9222760320935164
filterdist_indx5_v1.5_10yrs,0.15589353612167298,,0.8767245962732473,0.6275774324754795,0.44353835093900895,0.5016291926363369,0.503411002573571,1.0
filterdist_indx6_v1.5_10yrs,0.17490494296577946,,0.9817527736168918,0.7029629417240268,0.41926519413762625,0.5818511299792342,0.5298887559636926,0.9487547376162617
filterdist_indx7_v1.5_10yrs,0.05323193916349805,,0.8658086627337895,0.5585502744772994,0.5838124628377308,0.8274973020684772,0.7588259392218065,0.9435493064880531
filterdist_indx8_v1.5_10yrs,0.06844106463878322,,0.8883503789368402,0.5814934860586526,0.480869098233208,0.7392445656697688,0.6908091512751428,0.9754082264128385
footprint_add_mag_cloudsv1.5_10yrs,0.5361216730038023,,0.7888572463184911,0.8052607659947683,0.46396451865737104,0.5526272003196626,0.6341592502455016,0.9230853471228737
footprint_big_sky_dustv1.5_10yrs,0.6159695817490494,,0.80161656828739,0.8615431478908291,0.47809442997623175,0.5861943319001899,0.36719711613960254,0.8046922567873593
