db,uu,ug,ur,ui,uz,uy,gg,gr,gi,gz,gy,rr,ri,rz,ry,ii,iz,iy,zz,zy,yy
agnddf_v1.5_10yrs.db,23540542,86173893,21728112,15738378,0,0,22187113,24830416,35106971,26939009,9939739,22278825,24568902,23631963,16871638,21006611,19144103,14928590,20473666,20624149,21464061
alt_dust_v1.5_10yrs.db,1181205,10697955,3904535,5496433,0,16792345,2678166,3239903,5800601,51673150,32755318,1177385,3239903,5394362,19726258,395291,2076408,5331370,1934691,4273669,2457809
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,408455,33439627,2537632,16034533,0,5280942,2269711,3239903,8226974,24515693,4834302,772750,4815253,53336007,122088522,1372954,1770118,2862444,799926,4273669,1934691
baseline_2snaps_v1.5_10yrs.db,12533213,60528845,16948696,19229399,0,2677717,11145861,18850393,28053567,35297369,13323355,8974376,17943099,29707219,47081805,6969106,14805369,14489979,8457225,21134543,11086143
baseline_samefilt_v1.5_10yrs.db,39109270,0,0,30102057,0,2710115,25273327,0,2204621,35064460,1498525,22342932,0,39626877,12063106,21357215,0,0,23157639,0,20295165
baseline_v1.5_10yrs.db,20065001,72897126,26959511,21708913,0,0,22165325,23019404,28980529,77336855,5371635,21929669,21988981,29607022,45479567,22941085,23377131,22019101,22510376,24234341,21856638
bulges_bs_v1.5_10yrs.db,404635,9593605,1543937,3310915,0,684713,1226151,3561256,7927373,19458477,11086136,2018678,3396683,6773394,86704244,1027322,2681385,6365083,639430,4941281,1893483
bulges_bulge_wfd_v1.5_10yrs.db,18465232,83614914,51193206,61268129,0,10364063,13140487,47122138,72527992,74057686,19391873,3812456,99899991,85593681,144053189,1063225,4204371,4637412,5636722,58393197,5447358
bulges_cadence_bs_v1.5_10yrs.db,795705,4427228,2727621,2281375,0,7502023,1396369,3499587,7279837,7504281,10602957,792527,4951012,11196396,25431808,404635,1264585,3581612,404635,3659995,642608
bulges_cadence_bulge_wfd_v1.5_10yrs.db,17595033,12530024,81801203,58525862,0,0,65238425,81437352,67435129,94855870,53970421,25898629,93926560,74275490,94511175,10938443,26168798,37505327,9205196,112211961,10225066
bulges_cadence_i_heavy_v1.5_10yrs.db,795705,38877888,3043047,14796148,0,767418,1267763,1094745,18556481,93685527,45548759,472058,94842405,67517528,119292871,118327941,70789846,4485418,0,4478341,1468927
bulges_i_heavy_v1.5_10yrs.db,1452651,66346136,2284811,18515691,0,5207297,706853,4371664,16339194,33615539,18615092,0,101726657,66510994,38319732,117923306,89491059,31073803,387892,4888478,1395991
daily_ddf_v1.5_10yrs.db,16721304,82586798,14900130,12108474,0,1477795,18439630,19498324,24788480,46183556,22300580,12750532,20071346,44242232,87225149,11864127,15457493,18753664,13324625,22660093,17228673
dcr_nham1_ug_v1.5_10yrs.db,23610125,88841234,22481236,28096402,0,0,24753864,24933213,37153484,43520392,4834646,22661545,29767810,28833468,31059216,22593778,18453589,20831247,21325483,25971271,21252891
dcr_nham1_ugr_v1.5_10yrs.db,24170958,46563854,21392882,22597904,0,4174914,19840385,16372825,29633615,65617504,4337312,22239870,22856683,41835268,28490062,21576424,21175352,21544979,19138673,23465709,18525623
dcr_nham1_ugri_v1.5_10yrs.db,24335349,28153544,20787488,25802304,0,0,22643308,18536879,38667518,106820918,49254117,21509213,19876201,20739202,96988503,22054610,14551930,20532019,19587347,25751349,22126489
dcr_nham2_ug_v1.5_10yrs.db,22892690,40691981,12923678,29717271,0,0,21967339,11185507,106668047,83806810,7120505,20091353,27662650,36064366,87441648,21230017,16527579,17065191,19207338,25970060,22163761
dcr_nham2_ugr_v1.5_10yrs.db,24798764,80931837,5792685,11382807,0,0,21356224,8424827,26610545,69947726,4111941,22255528,19740316,47853147,28942413,19761848,20563114,20507407,20878626,24317868,19802167
dcr_nham2_ugri_v1.5_10yrs.db,23236531,38986524,27834890,19501803,0,407813,23953512,12323117,47181118,40346447,6846794,21547132,12552944,22423998,18784579,22335185,15579207,24507411,19684533,27545933,20789884
descddf_v1.5_10yrs.db,20420972,76574458,20307836,10525325,0,0,21159607,22554713,28519784,64580734,10220467,20726910,25928493,41889982,22981567,20094054,13456919,17521404,17955689,24051863,20316840
filterdist_indx1_v1.5_10yrs.db,277537339,277537339,255384562,18913742,0,47956119,273594575,142841801,239572069,202299257,95226860,0,2854138,247775308,189543845,0,256670684,199223704,56368269,203612321,115955255
filterdist_indx2_v1.5_10yrs.db,265887735,233985002,265697097,210783099,0,0,267311554,270621563,259345905,191221194,67083323,270621563,269954972,239886952,200687201,270621563,267174918,178564828,270096023,254363530,266526894
filterdist_indx3_v1.5_10yrs.db,243903724,271183659,0,1405665,0,0,277537339,276590213,270999235,232343821,30223791,221229991,9101075,149948375,97693502,164163662,256201959,191566004,212223066,233896857,183952467
filterdist_indx4_v1.5_10yrs.db,277537339,272487929,276889380,33553505,0,0,193098498,4371267,39656033,77072211,6496571,196097573,6803027,254660121,123182570,114859313,268870457,138400873,198105020,131576845,175142415
filterdist_indx5_v1.5_10yrs.db,87353602,145782438,219300373,51128893,0,1251591,31506117,142085435,129388579,61906380,32473685,0,228953069,46290051,115054748,2235607,173200223,212251489,270621563,275377085,270621563
filterdist_indx6_v1.5_10yrs.db,168907822,269539220,52241655,68061005,0,0,192364076,143723001,200227457,40226113,7973003,222926447,270621563,249300734,59519882,270621563,270621563,148741622,201092613,163178856,193607782
filterdist_indx7_v1.5_10yrs.db,270621563,270798290,269746085,210433032,0,0,270621563,270621563,228440730,160049178,38298128,251395441,225978568,254712717,107326412,227264171,267044191,228568316,265198813,265773992,260206638
filterdist_indx8_v1.5_10yrs.db,216539116,236177900,179793034,155573462,0,658590,222750209,209610109,249873770,137117780,17350871,216786632,268481155,180747289,88886027,270621563,265677101,261080186,270621563,268885739,270621563
footprint_add_mag_cloudsv1.5_10yrs.db,22230278,95006096,26986612,17791944,0,0,20068042,22945153,48417820,89202185,58041431,20983776,23151465,42716464,143012689,20518245,19023510,19966996,20899452,25934603,19638436
footprint_big_sky_dustv1.5_10yrs.db,803746,3935668,3854242,4273669,0,0,2262240,4273669,7276572,11112971,5291734,3239903,3783101,5992228,6672317,2312150,3730471,3730471,2720605,3730471,2720605
footprint_big_sky_nouiyv1.5_10yrs.db,0,0,0,0,0,0,0,5984621,0,771421,0,0,0,0,0,0,0,0,0,0,0
footprint_big_skyv1.5_10yrs.db,0,0,0,0,0,0,0,1707342,110326,6679766,0,0,0,352457,0,0,0,0,0,0,0
footprint_big_wfdv1.5_10yrs.db,3179040,48880495,13065293,6228136,0,0,766225,14586197,25703007,33283354,6720613,0,18797365,22389017,43080150,543198,8356738,19802604,0,19193107,1453541
footprint_bluer_footprintv1.5_10yrs.db,24774603,69679077,1760562,6695271,0,0,40540189,37767796,31759921,54588464,4054718,20413988,3633841,15755968,18468281,17322106,18446782,15923581,0,8973831,0
footprint_gp_smoothv1.5_10yrs.db,125942836,187044396,222886861,87185850,0,1245523,129496273,266346932,269786359,199013028,25063097,83402330,251261238,190673449,150855242,64612980,151114355,157194681,64369922,248402711,168802498
footprint_newAv1.5_10yrs.db,1043943,58301454,66306269,39030206,0,8169990,0,30070239,119046365,88793293,64441933,0,95000181,127936224,135807228,0,7797907,33479360,0,27434663,0
footprint_newBv1.5_10yrs.db,0,21474476,33928558,12422856,0,0,0,17263672,76304008,45076751,32957840,0,92606714,129325923,92513968,0,4574773,35816292,0,24702290,0
footprint_no_gp_northv1.5_10yrs.db,16433897,78669441,14929617,16552111,0,0,17845263,20401034,25711862,17317923,1461563,15999898,20313350,33003561,22850193,16594127,16571309,16154891,15743040,21478268,15736562
footprint_standard_goalsv1.5_10yrs.db,20865715,125767396,23606618,18795423,0,0,22965567,23844266,35033440,31151645,9379872,21953489,23414499,28068247,107176017,21361794,20139641,21477233,22286639,25709584,21917025
footprint_stuck_rollingv1.5_10yrs.db,13406570,34004498,11422751,11642669,0,0,13049130,10861258,15024294,21342359,5418951,11885939,12073806,14885308,34157621,11946022,9703532,10613258,13103748,9784933,12335506
goodseeing_gi_v1.5_10yrs.db,23805277,66499506,19367257,13056161,0,0,24077691,24002726,21879768,47356067,21569900,22743386,24654483,21765472,31696508,21384735,15958615,14183469,20608684,23549211,22754462
goodseeing_gri_v1.5_10yrs.db,22849723,72414701,22043825,14772551,0,0,21321782,22591262,31831157,111663780,99513003,20772410,21477115,23389266,99131125,19975202,19069161,14165038,20392752,24155506,22832255
goodseeing_griz_v1.5_10yrs.db,22756253,125777025,22216827,21060147,0,2270589,22862577,24536294,35039094,155795388,17266929,21826068,24801268,34809251,48270556,19837026,14287183,18095950,20227147,25621762,21174200
goodseeing_gz_v1.5_10yrs.db,22866220,69659809,22939708,35037331,0,2063649,21905162,24388200,38719154,94734571,37937456,21353049,22309246,32590369,48446561,20973358,16529892,14252304,22543827,25073156,23397063
goodseeing_i_v1.5_10yrs.db,19994006,48231377,23059004,22433901,0,0,21688398,22517066,27162723,68146471,2696300,21992546,24329665,21942806,26515405,22571078,21430981,16534105,21915627,19821178,21440730
greedy_footprint_v1.5_10yrs.db,23179948,65091977,21275750,19635241,0,0,23418868,22349300,23354020,66132298,22816202,22021463,15837485,28651595,30049615,22469700,10388355,23814536,20188295,32695488,22845234
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,799926,17845956,5710800,4852911,0,82885770,772750,2344353,7700372,81699419,38781044,772750,6138045,39518042,124257000,1512224,914589,5752195,1469785,5358451,1487617
rolling_mod2_sdf_0.10_v1.5_10yrs.db,23853924,107158861,42916045,15082302,0,0,22698849,24947003,33306501,138264020,11653345,20027027,26701635,33495332,24838909,18759547,20951602,19186591,17578720,21093932,21211907
rolling_mod2_sdf_0.20_v1.5_10yrs.db,24428723,148122621,24179911,16674602,0,0,24870684,25590745,31067266,78632979,24181223,20445057,24529409,38219168,42671396,18159578,20628428,23589186,20102968,24507890,21037562
rolling_mod3_sdf_0.10_v1.5_10yrs.db,22757031,66924418,19738965,25337532,0,1089903,25281765,24634988,32416589,71615696,21004709,19877433,27012558,31732692,36012140,22128491,23398885,19509322,23284582,23995804,24172348
rolling_mod3_sdf_0.20_v1.5_10yrs.db,23733818,71531264,18727803,17480140,0,0,22992016,25654578,32487190,110125512,8561541,21390568,27888913,28569335,51840760,22749523,22627730,20493305,20905110,28868112,22882259
rolling_mod6_sdf_0.10_v1.5_10yrs.db,13619261,49646729,18068336,9822876,0,2210558,21318182,25560772,29944396,103969889,10583922,20092014,26674185,32393196,42513763,18865820,23133331,23346223,21526085,25902534,23242233
rolling_mod6_sdf_0.20_v1.5_10yrs.db,14772759,57289392,19568414,15152268,0,468428,22244775,26202804,35183636,40924554,9909374,17875313,26366763,31219625,77831456,20915886,23776186,20636166,20088144,25899516,23010402
short_exp_2ns_1expt_v1.5_10yrs.db,32023628,292856197,159289503,81821218,0,0,29618126,77729891,103617675,37149256,1102165,26042051,34221968,117960561,14618234,26513912,55749517,38046977,27464889,41227478,27587080
short_exp_2ns_5expt_v1.5_10yrs.db,32551626,292094988,75266352,53693715,0,0,29579952,56682020,45161048,12403999,7977798,25913973,37705205,73563989,22272845,26496447,31235346,22131353,26122773,39827639,27307904
short_exp_5ns_1expt_v1.5_10yrs.db,55026751,300521306,178881712,54413074,0,7866585,36613243,117109264,144035809,18394378,6344357,33368166,41493913,89680252,14609009,32587019,88017278,70608122,33893706,67541477,31594048
short_exp_5ns_5expt_v1.5_10yrs.db,79178549,292887602,263994877,51607905,0,0,35593204,83955661,46240032,36869955,3768527,30467934,41939805,57176569,12869909,31763878,129687690,22930688,31455450,40328665,32544026
spiders_v1.5_10yrs.db,20878531,79373551,21882810,15238303,0,0,22139077,24248408,35255009,76016530,12802835,22379199,23981248,22335901,74485941,19938004,19707603,22572397,21570846,27103713,21414102
third_obs_pt120v1.5_10yrs.db,20728065,55132356,20211278,14924558,0,0,22865703,22361321,25247922,138434832,525540,22679326,18080468,60703277,9625066,21481941,12978142,13994076,23211725,18237009,23006366
third_obs_pt15v1.5_10yrs.db,20065001,72897126,26959511,21708913,0,0,22165325,23019404,28980529,77336855,5371635,21929669,21988981,29607022,45479567,22941085,23377131,22019101,22510376,24234341,21856638
third_obs_pt30v1.5_10yrs.db,19337925,93462437,26343358,13157445,0,2344555,21276481,22687414,38044680,45775442,20634596,21985178,24346164,27496965,31992417,21182126,20712768,22458143,21263789,26921434,21480197
third_obs_pt45v1.5_10yrs.db,22365546,55853210,29374850,16867552,0,0,24401393,27828208,37308628,122000759,10889521,19996563,26271565,42730863,26223665,21912966,19822142,15766127,22856166,22604633,23858873
third_obs_pt60v1.5_10yrs.db,21416519,76689540,23637705,31478209,0,0,23825781,25683795,85212083,155078967,3590761,22204657,26875542,26507454,57433080,20255326,16787633,16780033,20838084,22677525,24292249
third_obs_pt90v1.5_10yrs.db,19968879,94626522,22081052,16623502,0,0,23298420,24400111,42772548,141883513,103241833,24543892,22495794,28902805,139009990,22983391,17208327,16682552,22605005,21469434,22891289
twilight_neo_mod1_v1.5_10yrs.db,24924792,220437303,12465695,46228509,0,686546,28969924,22548266,59634695,27713854,10377535,40427400,22430682,30823121,45807404,39396736,10242987,12194680,70286928,21659449,32336132
twilight_neo_mod2_v1.5_10yrs.db,25308588,252642666,17902800,15526920,0,0,27258284,24062350,38811584,21799127,8055291,32385679,22919777,29696309,41130426,29406872,16146805,20465593,32054408,24943864,27097815
twilight_neo_mod3_v1.5_10yrs.db,25743016,241717335,18375816,13398768,0,0,26165829,23246279,34443281,20948120,9595820,27227185,22889921,32038405,35680193,28284699,20505061,20191160,28159427,23387370,25540299
twilight_neo_mod4_v1.5_10yrs.db,22817718,178401752,21522060,18589380,0,0,25547195,26314144,30819236,67451265,69755962,28233719,23426476,25278250,83235939,25931438,18082107,19876851,25329403,24547562,24865899
u60_v1.5_10yrs.db,0,10944252,1021942,959399,0,0,16553104,28183598,28212940,56179044,19010401,16677635,20516859,47456551,29430935,16648384,20318849,21547462,19281467,25857022,19668634
var_expt_v1.5_10yrs.db,18712691,62972916,27577469,42199543,0,4453381,18550526,22191989,36036327,65589654,18663658,13237726,22064267,16944717,28772013,11761618,1863253,15965126,8293463,19835840,13557370
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,281161971,292687304,177318494,46578575,0,38831131,251743284,17183163,71315118,35897017,14129634,2033578,20422287,66406271,82762326,1694032,8074500,18030476,2262906,22486646,1598504
wfd_depth_scale0.65_v1.5_10yrs.db,280871410,292196295,175703988,29451873,0,5107781,191576252,17042253,46656297,40560039,22844527,1694032,14699566,37126570,34245908,1694032,9053676,18313923,1694032,17676041,543198
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,284046540,292221504,114040616,32993015,0,3975038,98593389,17634835,60621822,24693070,11773757,4702441,25272541,58512644,76584981,4623827,16400431,23895428,7593759,22963965,3339458
wfd_depth_scale0.70_v1.5_10yrs.db,279861339,294284956,120401770,25176174,0,13402472,54837634,17370497,40902693,51501386,29007384,2136533,20002772,35150977,64727724,1694032,15215514,21265275,2810258,17554678,1427487
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,275156300,293807336,48901659,38782720,0,13850413,19897989,23350820,49974585,50472189,20787487,10506169,24300715,30878890,70059120,7847098,16131174,22460154,9137874,26300308,13389668
wfd_depth_scale0.75_v1.5_10yrs.db,267228176,293298225,51694088,22962053,0,14138610,12204671,18866257,32031439,57605497,26984191,1076147,21952392,31790558,78121099,2409412,15827473,43068602,4173281,18498113,4630611
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,124289409,244157234,84656132,61719504,0,5583261,22495010,27684803,41504829,78906487,46741929,16211167,23983715,26514636,97589465,18192926,19120925,26794503,17132822,28315949,18976164
wfd_depth_scale0.80_v1.5_10yrs.db,52683895,228254318,26312105,20590868,0,0,12897645,21737082,53641207,98250583,28156088,7764131,21514261,29332620,47392095,9514676,19390062,18117088,10673393,22515635,10079471
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,27182067,155404682,31617984,42340835,0,0,24696420,28716381,46589499,166337161,43756956,21971554,26833879,28935944,69376162,22868780,19765036,22270977,23225850,27413703,22666524
wfd_depth_scale0.85_v1.5_10yrs.db,21940195,184276840,21221677,42418662,0,0,20171490,23212728,52191308,60299599,16690461,16186061,24829007,42499662,60125730,13249892,18828158,19768664,14835306,26219254,19719295
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,26696075,74723277,28199895,16564965,0,686451,25074657,24749774,34075356,70681719,4332804,25163318,27162527,27561020,130918117,24258766,21356054,24558089,24364715,26914456,23584967
wfd_depth_scale0.90_v1.5_10yrs.db,21738654,97864467,22354750,27701798,0,0,22708878,24676357,63040975,169195403,8649317,21550665,25490413,23978584,23781297,21920668,21283318,22214258,22864297,27063115,22665482
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,26588143,29933724,26335181,17230123,0,0,27834354,28293590,35111906,16942659,3544772,25540299,27474361,31920566,17923134,25540299,23002852,26214087,26319893,27568438,26122773
wfd_depth_scale0.95_v1.5_10yrs.db,20571963,26039049,23907154,18083264,0,0,24495237,26584479,31446881,71540288,26180366,23987483,25235448,23510417,56545962,23987902,22375574,25406816,25391005,24280528,22704340
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,23244164,28609062,28667331,26038779,0,0,26693567,32865949,35367025,17571718,7029985,26439513,29481454,22660120,21029478,26122773,24156151,27866094,26496447,29188537,25931438
wfd_depth_scale0.99_v1.5_10yrs.db,21992044,22831216,26499386,24399042,0,0,25368081,26112035,31962088,24444468,10536470,25540299,28122259,27579917,18243559,25540299,24020983,24721428,25540299,27344465,25913973
